indice_interno,clase,archivo,distribucion,numero_capas,error_final,forma_w_final,forma_h_final,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos,capa_4_rango,capa_4_error,capa_4_ortogonalidad_h,capa_4_segundos,capa_5_rango,capa_5_error,capa_5_ortogonalidad_h,capa_5_segundos
30,N,New_N_031.wav,10-9-7-5-4,5,0.40327779118840973,126x4,4x212,10,0.05688611069204056,0.3215684870960314,0.018833100009942427,9,0.11259373084332194,0.2146688461852193,0.007194000005256385,7,0.15845136582788852,0.20083407663637806,0.006891099998028949,5,0.3503142508092829,0.210894951195778,0.00800499998149462,4,0.36136165639454637,0.19338975889574514,0.007743299996946007
31,N,New_N_032.wav,10-9-7-5-4,5,0.4206414124612355,126x4,4x212,10,0.05865086053036648,0.3833631407414579,0.01699079998070374,9,0.17513324639212674,0.21472104813676582,0.00837979998323135,7,0.3060303040624425,0.1924129072902765,0.008265699987532571,5,0.3753106616664261,0.17263505359756473,0.00835029999143444,4,0.2936732706443045,0.17077520235917235,0.00674430001527071
32,N,New_N_033.wav,10-9-7-5-4,5,0.4541214127137228,126x4,4x212,10,0.07555717318856035,0.3634623900811438,0.020633200008887798,9,0.1654406693473259,0.19618763640222484,0.006876699975691736,7,0.269661835009649,0.17274937946888208,0.008146099979057908,5,0.4063084335218496,0.16263334774679772,0.007200899999588728,4,0.3317289372580756,0.15191623655389344,0.006802299991250038
33,N,New_N_034.wav,10-9-7-5-4,5,0.4317629577206365,126x4,4x212,10,0.06989315214736046,0.36552864630997656,0.022474099998362362,9,0.15285547278546707,0.23823406863601912,0.008943199994973838,7,0.33906963858866346,0.16756802131389414,0.008183500001905486,5,0.4029595341648091,0.15730693138867644,0.006164499995065853,4,0.35259249727276093,0.15930687780096012,0.005390899983467534
34,N,New_N_035.wav,10-9-7-5-4,5,0.4700820338482952,126x4,4x212,10,0.06028890699178969,0.3069117629169673,0.02161649998743087,9,0.17893976499699651,0.14835363339897686,0.009173099999316037,7,0.3125396088902164,0.11491038415437008,0.008075499994447455,5,0.3135151404381275,0.09833631069072321,0.0071331999788526446,4,0.3705458899144034,0.09972379978612723,0.007352300017373636
35,N,New_N_036.wav,10-9-7-5-4,5,0.4611638052773489,126x4,4x212,10,0.06519994067090905,0.3614844907289765,0.016604000004008412,9,0.16239685810059942,0.15059716401131235,0.00564940000185743,7,0.256264447390302,0.10332023063524483,0.008628399984445423,5,0.3827902842580311,0.1054623071353205,0.007055199996102601,4,0.4037036035652822,0.12193554102829078,0.0061064000183250755
36,N,New_N_037.wav,10-9-7-5-4,5,0.47123438829035263,126x4,4x212,10,0.05472514283372156,0.3369836870140131,0.01750519999768585,9,0.1403015641747752,0.15258705819862367,0.009367599996039644,7,0.2617907872554947,0.11242475044950574,0.008857899985741824,5,0.3501211376850909,0.08351978980929008,0.006915099977049977,4,0.3474159228306963,0.0916069391544372,0.005837200005771592
37,N,New_N_038.wav,10-9-7-5-4,5,0.44128869452764347,126x4,4x212,10,0.05660505328868805,0.32272252012459923,0.020002600009320304,9,0.1295376209983179,0.12438425607157771,0.009431200014660135,7,0.2348367317792313,0.0908291278772307,0.009147300006588921,5,0.3728947742283616,0.08331244543194448,0.007085799996275455,4,0.3884445033332406,0.08846139012318344,0.00797850001254119
38,N,New_N_039.wav,10-9-7-5-4,5,0.5088662618609137,126x4,4x212,10,0.04036035859898197,0.4435451098388398,0.01932760002091527,9,0.10464083042391759,0.1818592700983814,0.008475000009639189,7,0.20147821868594135,0.1612606154791597,0.007935700006783009,5,0.3759215633134403,0.17468545382758247,0.006891500001074746,4,0.35368190285851797,0.17908872881823745,0.006931100011570379
39,N,New_N_040.wav,10-9-7-5-4,5,0.46351962664388907,126x4,4x212,10,0.04724136891208161,0.3535745088185742,0.0181628999998793,9,0.11082721322656673,0.12806819927279714,0.008195699978386983,7,0.20795936244667693,0.09441775127141518,0.008135100011713803,5,0.301602289027983,0.07986771030398614,0.007054800022160634,4,0.35763500392785674,0.0818960050857329,0.005670900020049885
40,N,New_N_041.wav,10-9-7-5-4,5,0.49952070878833105,126x4,4x212,10,0.05454798740738684,0.39608345161080194,0.018759400001727045,9,0.12993700109098866,0.16787837049874926,0.00830580000183545,7,0.24529885021423842,0.11892415597386732,0.00813549998565577,5,0.38146911241771786,0.12084649752640456,0.0069964000140316784,4,0.3493837377851629,0.12323890714697887,0.005895200010854751
41,N,New_N_042.wav,10-9-7-5-4,5,0.48720896009955367,126x4,4x212,10,0.057196602745634394,0.388474225680833,0.019960599980549887,9,0.13739975979407448,0.19266802889164622,0.007720499997958541,7,0.2962350322436191,0.15147249523721923,0.008191600005375221,5,0.35013716299191233,0.16541759277268495,0.006392999988747761,4,0.29296813459122667,0.16324080050952114,0.005411499994806945
42,N,New_N_043.wav,10-9-7-5-4,5,0.42843733964074665,126x4,4x212,10,0.05095374691093799,0.3989306446979744,0.016384400019887835,9,0.12917659213044339,0.21457502887560798,0.007598199998028576,7,0.23757904225387508,0.17734882507902106,0.007517099991673604,5,0.38585539777550043,0.18802978792940467,0.007369300001300871,4,0.29941427477198734,0.17594103446287757,0.0046934999991208315
43,N,New_N_044.wav,10-9-7-5-4,5,0.44671152448641976,126x4,4x212,10,0.06853864925229408,0.37501505670543583,0.021735699992859736,9,0.13070899412287412,0.14625311585563136,0.009619399992516264,7,0.21538596948889926,0.12340997881877118,0.009033499984070659,5,0.37477924965959336,0.10708220616116022,0.007396799977868795,4,0.29947564156140866,0.0978172554694597,0.006798300018999726
44,N,New_N_045.wav,10-9-7-5-4,5,0.3944332774335834,126x4,4x212,10,0.0563174224012543,0.3863731306367383,0.020094200008315966,9,0.1279345198847267,0.1976215338973869,0.00934750001761131,7,0.24848117105902037,0.14954134776737793,0.0073352999752387404,5,0.38974991454855074,0.15537199185511102,0.0073136000137310475,4,0.3641530835254472,0.17234535190535963,0.006224800017662346
45,N,New_N_046.wav,10-9-7-5-4,5,0.42621174103652637,126x4,4x212,10,0.05299898222646777,0.38794120852306224,0.01783279998926446,9,0.19526566654999516,0.15204440510881811,0.008986900007585064,7,0.3239383265379118,0.13003549608164033,0.00886889998218976,5,0.3820447256752462,0.12417173621995081,0.007925000012619421,4,0.3167258838646758,0.14145048958674378,0.006772199994884431
46,N,New_N_047.wav,10-9-7-5-4,5,0.4777940157672231,126x4,4x212,10,0.059457182064484894,0.3797646911137399,0.019239599991124123,9,0.16649250631899562,0.1648497943812034,0.007740700006252155,7,0.22618155550278052,0.15110707773267873,0.007178899977589026,5,0.32968560722170565,0.14467397019195088,0.007601400022394955,4,0.29023881131349216,0.18011270681825373,0.006313499994575977
47,N,New_N_048.wav,10-9-7-5-4,5,0.4118933760095287,126x4,4x212,10,0.054173628128061,0.37246203451837556,0.019504199997754768,9,0.1426288361738632,0.1840154803608827,0.005187500006286427,7,0.3017047488347018,0.13996135070286708,0.006024500005878508,5,0.3981288660706484,0.12317050369945395,0.005989599972963333,4,0.38712390003088765,0.11368687983988979,0.006459600001107901
48,N,New_N_049.wav,10-9-7-5-4,5,0.48500670387491124,126x4,4x212,10,0.04970289729344069,0.3935088885942848,0.015830499993171543,9,0.15831604692544798,0.2000096374143837,0.00800949998665601,7,0.28529585698562465,0.16519470332455835,0.009152199985692278,5,0.4131538263957345,0.1814240469292758,0.008336400002008304,4,0.32249014224205635,0.17216915757280216,0.0074831999954767525
49,N,New_N_050.wav,10-9-7-5-4,5,0.44581413414501575,126x4,4x212,10,0.0538879580918445,0.38914938619463724,0.023223299998790026,9,0.23514756949995713,0.16517370694319908,0.011053399997763336,7,0.2822666542234636,0.1491821979122153,0.01036690000910312,5,0.4040435140534136,0.1324983152716282,0.007626699982210994,4,0.38844295868716083,0.13958942836321128,0.0075536000076681376
50,N,New_N_051.wav,10-9-7-5-4,5,0.45877936674610464,126x4,4x212,10,0.05578795080072438,0.3966518821736328,0.020865099999355152,9,0.14302226987015512,0.13241503152735096,0.011040700017474592,7,0.2967031144868391,0.08121844185225748,0.008378099999390543,5,0.33759202659810233,0.08081261598932528,0.009319900011178106,4,0.33692953373879514,0.0769102828644397,0.007560500002000481
51,N,New_N_052.wav,10-9-7-5-4,5,0.37418166101162015,126x4,4x212,10,0.06493816197906688,0.42221274708986184,0.02201960000093095,9,0.16581051498034416,0.20890417475364012,0.009126500022830442,7,0.200693757550815,0.1761756728347617,0.00949409999884665,5,0.3367450111299686,0.18311635815587812,0.007368800026597455,4,0.25840473379402445,0.1574845484577524,0.00864809998893179
52,N,New_N_053.wav,10-9-7-5-4,5,0.3831520134786273,126x4,4x212,10,0.05337359734544115,0.4006151913724988,0.022746400005416945,9,0.13378160704682052,0.19011647582342533,0.00928369999746792,7,0.1696534046208703,0.1494377594218071,0.008408599998801947,5,0.30296380080219276,0.16700589658805293,0.008120799990138039,4,0.26402322712879983,0.16171211233710484,0.0064252000011038035
53,N,New_N_054.wav,10-9-7-5-4,5,0.4453337839180463,126x4,4x212,10,0.05077760778614856,0.40928707970884326,0.022587999992538244,9,0.12651249297207387,0.16157881091173898,0.007984700001543388,7,0.23809238965131255,0.1409386204312873,0.00931029999628663,5,0.4008658670881962,0.12902636035977738,0.0073299999930895865,4,0.33270008563738296,0.12031135860782556,0.0072957000229507685
54,N,New_N_055.wav,10-9-7-5-4,5,0.5281647582593769,126x4,4x212,10,0.06339604126255148,0.3927596513194669,0.02554900001268834,9,0.13586708676385312,0.160866046347137,0.009205799986375496,7,0.3278096082884667,0.12401476531651232,0.009766000002855435,5,0.4041256760886665,0.14247307955527466,0.009877700009383261,4,0.3172919142730257,0.1296506838805686,0.008538900001440197
