indice_interno,clase,archivo,distribucion,error_final,forma_w_final,forma_h3,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
81,N,New_N_082.wav,10-6-4,0.2284057815406148,126x4,4x212,10,0.05962594938157471,0.34837718402892365,0.012007099998299964,6,0.2716436770170768,0.1939115935222432,0.004770600000483682,4,0.356272204971053,0.1329676380055103,0.004873400001088157
82,N,New_N_083.wav,10-6-4,0.2813303696257834,126x4,4x212,10,0.05416819925449137,0.3150654005205521,0.011451000002125511,6,0.2783822426673478,0.19255598080965539,0.004753299999720184,4,0.3110746197947748,0.16419582845398642,0.003432600002270192
83,N,New_N_084.wav,10-6-4,0.23354445084088502,126x4,4x212,10,0.06478237108522114,0.374152046700124,0.012005199998384342,6,0.20180881708122453,0.18619611357843577,0.004827400000067428,4,0.34050639042198044,0.2014111059301138,0.00341159999879892
84,N,New_N_085.wav,10-6-4,0.2820935683170197,126x4,4x212,10,0.057874380679793676,0.36570831371294704,0.012080199998308672,6,0.1970878902791588,0.2655507939064106,0.004075400000147056,4,0.37685433540690877,0.18674132724390255,0.004447700001037447
85,N,New_N_086.wav,10-6-4,0.2854991328131845,126x4,4x212,10,0.05249249426854869,0.3342492396885933,0.011260999999649357,6,0.29111359696041283,0.20993677171907782,0.004715100003522821,4,0.3890634434689908,0.23815445376949648,0.003428600000916049
86,N,New_N_087.wav,10-6-4,0.2283877814906168,126x4,4x212,10,0.06702596476123909,0.3693743371663784,0.012069100001099287,6,0.27326551018149337,0.22334048553297361,0.004082100000232458,4,0.40420911221745875,0.2169018334478526,0.003394700001081219
87,N,New_N_088.wav,10-6-4,0.23625765200360657,126x4,4x212,10,0.059331002163523515,0.40595132276559026,0.011863799998536706,6,0.32040844426364007,0.2539763446080896,0.0040859000000637025,4,0.4018516689020883,0.24013615782743067,0.004767600003106054
88,N,New_N_089.wav,10-6-4,0.2960694311065737,126x4,4x212,10,0.0560175970512171,0.41207697989680797,0.011085500002081972,6,0.17073103926275726,0.15509491051421492,0.0049323000021104235,4,0.3223847433990506,0.16379229337260318,0.003424599999561906
89,N,New_N_090.wav,10-6-4,0.26703545400139694,126x4,4x212,10,0.05912039506836323,0.3172871102550782,0.011758299999200972,6,0.3460513386336316,0.18652306299761132,0.004072699997777818,4,0.4675929031667572,0.19524795259979755,0.0033968999996432103
90,N,New_N_091.wav,10-6-4,0.2503634794932667,126x4,4x212,10,0.060699466407458776,0.4051435255250585,0.01174660000106087,6,0.3395433215317506,0.1954296360260346,0.0047781000030227005,4,0.3818099864695206,0.1422910317235496,0.003447399998549372
