indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos
80,SNR_-8db,N,New_N_081.wav,10,DeepONMF_H1,1,0.3856563034988266,10x212,0.007460199994966388,10,0.3856563034988266,0.28994083976325324,0.006863599992357194
81,SNR_-8db,N,New_N_082.wav,10,DeepONMF_H1,1,0.3917479532440998,10x212,0.007765200105495751,10,0.3917479532440998,0.3009718537300298,0.007154799997806549
82,SNR_-8db,N,New_N_083.wav,10,DeepONMF_H1,1,0.3854697620726854,10x212,0.006975000025704503,10,0.3854697620726854,0.29760197322998194,0.006385000073350966
83,SNR_-8db,N,New_N_084.wav,10,DeepONMF_H1,1,0.3873358475009105,10x212,0.007052899920381606,10,0.3873358475009105,0.3057278591343534,0.006480199983343482
84,SNR_-8db,N,New_N_085.wav,10,DeepONMF_H1,1,0.3920750569354231,10x212,0.0068703000433743,10,0.3920750569354231,0.2878876244394479,0.006307600066065788
85,SNR_-8db,N,New_N_086.wav,10,DeepONMF_H1,1,0.39113059269100553,10x212,0.007678599911741912,10,0.39113059269100553,0.29949807244373705,0.007015999988652766
86,SNR_-8db,N,New_N_087.wav,10,DeepONMF_H1,1,0.3885847383373448,10x212,0.007383799995295703,10,0.3885847383373448,0.3067223130289491,0.006641300045885146
87,SNR_-8db,N,New_N_088.wav,10,DeepONMF_H1,1,0.38610747789685945,10x212,0.007756900042295456,10,0.3861074778968594,0.3129733357389199,0.007026999955996871
88,SNR_-8db,N,New_N_089.wav,10,DeepONMF_H1,1,0.3860140851874588,10x212,0.0067381999688223004,10,0.3860140851874588,0.3348600839003916,0.006121100042946637
89,SNR_-8db,N,New_N_090.wav,10,DeepONMF_H1,1,0.39057848328534,10x212,0.008306700037792325,10,0.39057848328534,0.27763253542680416,0.007672700099647045
90,SNR_-8db,N,New_N_091.wav,10,DeepONMF_H1,1,0.38458364310215587,10x212,0.007039099931716919,10,0.38458364310215587,0.31125919686484044,0.00635149993468076
91,SNR_-8db,N,New_N_092.wav,10,DeepONMF_H1,1,0.3841584184201531,10x212,0.008352099917829037,10,0.3841584184201531,0.295710734556011,0.007717500091530383
92,SNR_-8db,N,New_N_093.wav,10,DeepONMF_H1,1,0.38904345981331717,10x212,0.007541300030425191,10,0.38904345981331717,0.3006787950245324,0.006722899968735874
93,SNR_-8db,N,New_N_094.wav,10,DeepONMF_H1,1,0.3857343606966442,10x212,0.007037600036710501,10,0.3857343606966442,0.30431986335816447,0.00634999992325902
94,SNR_-8db,N,New_N_095.wav,10,DeepONMF_H1,1,0.3879784951523669,10x212,0.007818800047971308,10,0.3879784951523669,0.300213147716499,0.006995700066909194
95,SNR_-8db,N,New_N_096.wav,10,DeepONMF_H1,1,0.3877810267622275,10x212,0.007931899977847934,10,0.3877810267622275,0.28850807801642886,0.007125900010578334
96,SNR_-8db,N,New_N_097.wav,10,DeepONMF_H1,1,0.3870919457697986,10x212,0.007428899989463389,10,0.3870919457697986,0.3360668443997049,0.006779099931009114
97,SNR_-8db,N,New_N_098.wav,10,DeepONMF_H1,1,0.3879747767121057,10x212,0.0068876000586897135,10,0.3879747767121057,0.2785554357814045,0.006263999966904521
98,SNR_-8db,N,New_N_099.wav,10,DeepONMF_H1,1,0.3842467294870078,10x212,0.007652300060726702,10,0.3842467294870078,0.3325368408360884,0.006969999987632036
99,SNR_-8db,N,New_N_100.wav,10,DeepONMF_H1,1,0.3822504128793824,10x212,0.007111300015822053,10,0.3822504128793824,0.3348881871888114,0.00640650000423193
