distribucion,numero_capas,representacion,modo_rapido
20-6-2,3,DeepONMF_H3,False
20-9-4-2,4,DeepONMF_H4,False
20-4,2,DeepONMF_H2,False
20-9-4,3,DeepONMF_H3,False
20-12-7-4,4,DeepONMF_H4,False
20-6,2,DeepONMF_H2,False
20-11-6,3,DeepONMF_H3,False
20-13-9-6,4,DeepONMF_H4,False
20-8,2,DeepONMF_H2,False
20-13-8,3,DeepONMF_H3,False
20-15-11-8,4,DeepONMF_H4,False
20-10,2,DeepONMF_H2,False
20-14-10,3,DeepONMF_H3,False
20-16-13-10,4,DeepONMF_H4,False
18-2,2,DeepONMF_H2,False
18-6-2,3,DeepONMF_H3,False
18-9-4-2,4,DeepONMF_H4,False
18-4,2,DeepONMF_H2,False
18-8-4,3,DeepONMF_H3,False
18-11-7-4,4,DeepONMF_H4,False
18-6,2,DeepONMF_H2,False
18-10-6,3,DeepONMF_H3,False
18-12-9-6,4,DeepONMF_H4,False
18-8,2,DeepONMF_H2,False
18-12-8,3,DeepONMF_H3,False
18-14-10-8,4,DeepONMF_H4,False
18-10,2,DeepONMF_H2,False
18-13-10,3,DeepONMF_H3,False
18-15-12-10,4,DeepONMF_H4,False
16-2,2,DeepONMF_H2,False
16-6-2,3,DeepONMF_H3,False
16-8-4-2,4,DeepONMF_H4,False
16-4,2,DeepONMF_H2,False
16-8-4,3,DeepONMF_H3,False
16-10-6-4,4,DeepONMF_H4,False
16-6,2,DeepONMF_H2,False
16-10-6,3,DeepONMF_H3,False
16-12-8-6,4,DeepONMF_H4,False
16-8,2,DeepONMF_H2,False
16-11-8,3,DeepONMF_H3,False
16-13-10-8,4,DeepONMF_H4,False
16-10,2,DeepONMF_H2,False
16-13-10,3,DeepONMF_H3,False
16-14-12-10,4,DeepONMF_H4,False
14-2,2,DeepONMF_H2,False
14-5-2,3,DeepONMF_H3,False
14-7-4-2,4,DeepONMF_H4,False
14-4,2,DeepONMF_H2,False
14-7-4,3,DeepONMF_H3,False
14-9-6-4,4,DeepONMF_H4,False
14-6,2,DeepONMF_H2,False
14-9-6,3,DeepONMF_H3,False
14-11-8-6,4,DeepONMF_H4,False
14-8,2,DeepONMF_H2,False
14-11-8,3,DeepONMF_H3,False
14-12-10-8,4,DeepONMF_H4,False
14-10,2,DeepONMF_H2,False
14-12-10,3,DeepONMF_H3,False
14-13-11-10,4,DeepONMF_H4,False
12-2,2,DeepONMF_H2,False
12-5-2,3,DeepONMF_H3,False
12-7-4-2,4,DeepONMF_H4,False
12-4,2,DeepONMF_H2,False
12-7-4,3,DeepONMF_H3,False
12-8-6-4,4,DeepONMF_H4,False
12-6,2,DeepONMF_H2,False
12-8-6,3,DeepONMF_H3,False
12-10-8-6,4,DeepONMF_H4,False
12-8,2,DeepONMF_H2,False
12-10-8,3,DeepONMF_H3,False
12-10-9-8,4,DeepONMF_H4,False
12-10,2,DeepONMF_H2,False
12-11-10,3,DeepONMF_H3,False
12-11-11-10,4,DeepONMF_H4,False
10-2,2,DeepONMF_H2,False
10-4-2,3,DeepONMF_H3,False
10-6-3-2,4,DeepONMF_H4,False
10-4,2,DeepONMF_H2,False
10-6-4,3,DeepONMF_H3,False
10-7-5-4,4,DeepONMF_H4,False
10-6,2,DeepONMF_H2,False
10-8-6,3,DeepONMF_H3,False
10-8-7-6,4,DeepONMF_H4,False
10-8,2,DeepONMF_H2,False
10-9-8,3,DeepONMF_H3,False
10-9-9-8,4,DeepONMF_H4,False
8-2,2,DeepONMF_H2,False
8-4-2,3,DeepONMF_H3,False
8-5-3-2,4,DeepONMF_H4,False
8-4,2,DeepONMF_H2,False
8-6-4,3,DeepONMF_H3,False
8-6-5-4,4,DeepONMF_H4,False
8-6,2,DeepONMF_H2,False
8-7-6,3,DeepONMF_H3,False
8-7-7-6,4,DeepONMF_H4,False
