indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos
20,SNR_0db,N,New_N_021.wav,14-6,DeepONMF_H2,2,nndsvd,0.3232617304065267,6x212,0.02091109997127205,14,0.2766238108320818,0.32572259492058364,0.01614049996715039,6,0.19878264664373577,0.3290714299028539,0.003309600055217743
21,SNR_0db,N,New_N_022.wav,14-6,DeepONMF_H2,2,nndsvd,0.32959727431927965,6x212,0.020286999992094934,14,0.28151101036119724,0.32370140992709134,0.01602360000833869,6,0.1979849352712115,0.3361923081743604,0.0031849000370129943
22,SNR_0db,N,New_N_023.wav,14-6,DeepONMF_H2,2,nndsvd,0.3242007118925986,6x212,0.02050540002528578,14,0.2740773549185567,0.32741569360239126,0.01572879997547716,6,0.19746799515609298,0.3288722449184423,0.003909099963493645
23,SNR_0db,N,New_N_024.wav,14-6,DeepONMF_H2,2,nndsvd,0.3275102800620455,6x212,0.019335499964654446,14,0.28040914442575393,0.32510523288862586,0.015576500096358359,6,0.19776591023986512,0.32242808567228187,0.0029070000164210796
24,SNR_0db,N,New_N_025.wav,14-6,DeepONMF_H2,2,nndsvd,0.3315421209523928,6x212,0.020497499965131283,14,0.28173162272512986,0.3273686795872166,0.016018599970266223,6,0.19838130909713153,0.33186631362389907,0.0036250000121071935
25,SNR_0db,N,New_N_026.wav,14-6,DeepONMF_H2,2,nndsvd,0.3272767452802721,6x212,0.02127900009509176,14,0.2803471994124828,0.3343114626531405,0.01610329991672188,6,0.1985481237571226,0.3558182724978336,0.0041677000699564815
26,SNR_0db,N,New_N_027.wav,14-6,DeepONMF_H2,2,nndsvd,0.32402440465202703,6x212,0.019036800018511713,14,0.2783040201337707,0.3267552705516132,0.015117599978111684,6,0.1923972672118871,0.34094152674970196,0.0030882999999448657
27,SNR_0db,N,New_N_028.wav,14-6,DeepONMF_H2,2,nndsvd,0.32659634133323434,6x212,0.01953240006696433,14,0.2799565036631184,0.3304951428644573,0.015822599991224706,6,0.19515870841831925,0.3251507182208538,0.0030101999873295426
28,SNR_0db,N,New_N_029.wav,14-6,DeepONMF_H2,2,nndsvd,0.3327467242283245,6x212,0.01959420007187873,14,0.2854501860028105,0.31815283246879883,0.015597200021147728,6,0.20217282968200445,0.32542150631218586,0.003174099954776466
29,SNR_0db,N,New_N_030.wav,14-6,DeepONMF_H2,2,nndsvd,0.32402020824627126,6x212,0.020469399983994663,14,0.2779435221659032,0.32412400304868183,0.016019799979403615,6,0.19789267492147614,0.3488872108307862,0.003477600053884089
