indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos,capa_4_rango,capa_4_error,capa_4_ortogonalidad_h,capa_4_segundos
495,SNR_8db,MR,New_MR_096.wav,24-15-10-6,DeepONMF_H4,4,0.46658917186086407,6x212,0.025859199929982424,24,0.16399685198728886,0.21914863586853867,0.014365400071255863,15,0.28923900934791735,0.1436821820575232,0.004391100024804473,10,0.35518995925418223,0.13232760198127308,0.003287400002591312,6,0.4734559458633916,0.13258624524457224,0.002767500001937151
496,SNR_8db,MR,New_MR_097.wav,24-15-10-6,DeepONMF_H4,4,0.47169508506740304,6x212,0.026715300045907497,24,0.16799485565923686,0.23374541147928105,0.014483800041489303,15,0.31874682787002256,0.12636038284089646,0.0054447000147774816,10,0.38630632137405096,0.11679194173263466,0.003236299962736666,6,0.5223732473497453,0.12257516078717821,0.0024676999310031533
497,SNR_8db,MR,New_MR_098.wav,24-15-10-6,DeepONMF_H4,4,0.4309080027154909,6x212,0.02609140006825328,24,0.12680337582102508,0.23975634272492566,0.014587000012397766,15,0.308975815622203,0.1350511807311241,0.004460300086066127,10,0.4125810613874983,0.131997455407398,0.0036706000100821257,6,0.48524160697141644,0.12222765193040272,0.002530599944293499
498,SNR_8db,MR,New_MR_099.wav,24-15-10-6,DeepONMF_H4,4,0.4544140934944894,6x212,0.024654699955135584,24,0.17092256322545482,0.25279576989003877,0.013376899994909763,15,0.30300677968619755,0.1428702327868116,0.004612499964423478,10,0.36805852844494724,0.14571663816180278,0.0032412000000476837,6,0.4800796468310634,0.15835118959596797,0.0024649000260978937
499,SNR_8db,MR,New_MR_100.wav,24-15-10-6,DeepONMF_H4,4,0.43842870717730537,6x212,0.02720059989951551,24,0.12856626653771955,0.2731949730750976,0.015266000060364604,15,0.32420592465637565,0.15274979327740218,0.005154000013135374,10,0.38161397810168723,0.12949748144385592,0.0032541999826207757,6,0.5184181214732727,0.15124293140538844,0.002479500020854175
500,SNR_8db,MR,New_MR_101.wav,24-15-10-6,DeepONMF_H4,4,0.49635582367935377,6x212,0.02595469995867461,24,0.1641903960620995,0.2430473134773227,0.014466200023889542,15,0.36606390747317236,0.14761974592986546,0.0044784999918192625,10,0.4246815764083258,0.1360962935607004,0.003196900011971593,6,0.4851177232561196,0.14305292142405251,0.00254979997407645
501,SNR_8db,MR,New_MR_102.wav,24-15-10-6,DeepONMF_H4,4,0.46829552866899615,6x212,0.027567900018766522,24,0.15850342851601482,0.2617546169777843,0.01510629989206791,15,0.28509847964488266,0.14906878275552493,0.005367000005207956,10,0.3626270123804453,0.15663918871345195,0.0034002000465989113,6,0.45955099865660887,0.1402499305895825,0.002528600045479834
502,SNR_8db,MR,New_MR_103.wav,24-15-10-6,DeepONMF_H4,4,0.4500089707168253,6x212,0.02606599999126047,24,0.16002052474973472,0.22828664553745326,0.014445799984969199,15,0.30040570211837053,0.1483315791539875,0.004419400007463992,10,0.400198579404217,0.13786746965951663,0.003513999981805682,6,0.4707230655523448,0.1804639359930447,0.0026860999641939998
503,SNR_8db,MR,New_MR_104.wav,24-15-10-6,DeepONMF_H4,4,0.4584328644331991,6x212,0.026187799987383187,24,0.1599617652672899,0.25698836963850685,0.015145199955441058,15,0.26371602766260127,0.1237952549036609,0.004481000010855496,10,0.3226447101086875,0.12648080985712787,0.0032001000363379717,6,0.4530873439554132,0.1251552375966645,0.0024479000130668283
504,SNR_8db,MR,New_MR_105.wav,24-15-10-6,DeepONMF_H4,4,0.4632786234436108,6x212,0.027955500059761107,24,0.15982479993651302,0.26044944371456863,0.01601950009353459,15,0.29424529701518837,0.14280877994875923,0.005169900017790496,10,0.40645871731357314,0.14786033090027603,0.0033463999861851335,6,0.4570199948317598,0.11927227332325886,0.0025289999321103096
505,SNR_8db,MR,New_MR_106.wav,24-15-10-6,DeepONMF_H4,4,0.5231051809770378,6x212,0.0264035000000149,24,0.15892672993841248,0.23473630702265647,0.014129199902527034,15,0.3160051954177217,0.12296501706236249,0.0049001999432221055,10,0.38269097885913594,0.10034989703681783,0.003252499969676137,6,0.510948311668448,0.10741729938745981,0.0031594999600201845
506,SNR_8db,MR,New_MR_107.wav,24-15-10-6,DeepONMF_H4,4,0.45065980530630695,6x212,0.026050399988889694,24,0.16219820436875798,0.2313924994186896,0.013825900037772954,15,0.29045588678924605,0.1637486105673073,0.0053659999975934625,10,0.35478771677928833,0.15289523264928762,0.0033128000795841217,6,0.43412039240792416,0.13345165234529038,0.002513500046916306
507,SNR_8db,MR,New_MR_108.wav,24-15-10-6,DeepONMF_H4,4,0.4521534414625166,6x212,0.028499200008809566,24,0.162828491300342,0.27030371437080675,0.016236099996604025,15,0.28748337641402594,0.1516063396301831,0.004562899935990572,10,0.3793711719353752,0.13134844931961628,0.004106199950911105,6,0.49439335171780724,0.12639760536455777,0.002631999901495874
508,SNR_8db,MR,New_MR_109.wav,24-15-10-6,DeepONMF_H4,4,0.4377079888186247,6x212,0.025649300077930093,24,0.16295532222723452,0.23159136061642535,0.01437150000128895,15,0.26611203677479245,0.14424805082156084,0.004561400040984154,10,0.34590442900928636,0.12357880442753197,0.003235099953599274,6,0.49943605262372237,0.1169393830923394,0.0024550999514758587
509,SNR_8db,MR,New_MR_110.wav,24-15-10-6,DeepONMF_H4,4,0.4568683351514312,6x212,0.025786599959246814,24,0.16071483720782634,0.2559507882911324,0.01400710002053529,15,0.3069408859436184,0.12764338017232785,0.004977800068445504,10,0.3710517808207866,0.13824688983047745,0.003397200023755431,6,0.4634854155395297,0.13208225383738617,0.0025551000144332647
510,SNR_8db,MR,New_MR_111.wav,24-15-10-6,DeepONMF_H4,4,0.4632157429862868,6x212,0.028797299950383604,24,0.15842720027502266,0.2607733917325951,0.01681149995420128,15,0.2943710666401918,0.13224319562494474,0.004641899955458939,10,0.43349865897327905,0.12334498722550233,0.0033765999833121896,6,0.5242844322609539,0.13479134526037242,0.0030163999181240797
511,SNR_8db,MR,New_MR_112.wav,24-15-10-6,DeepONMF_H4,4,0.4753489906058537,6x212,0.02599009999539703,24,0.1603591952310559,0.25411379582496124,0.012645000009797513,15,0.2670234589279931,0.13018987631430468,0.0062682999996468425,10,0.32624594602106793,0.11188233359147556,0.003386199939996004,6,0.48998742858886285,0.13133546153517375,0.0025616000639274716
512,SNR_8db,MR,New_MR_113.wav,24-15-10-6,DeepONMF_H4,4,0.40350149758648207,6x212,0.028703600051812828,24,0.15816926630381076,0.22517464570555787,0.01577749999705702,15,0.2881493309591012,0.15391094464622926,0.005911899963393807,10,0.3480567722992363,0.12789880745505616,0.0034808000782504678,6,0.4673225848952205,0.1304499946657855,0.002585900016129017
513,SNR_8db,MR,New_MR_114.wav,24-15-10-6,DeepONMF_H4,4,0.4481939116288724,6x212,0.025772099965251982,24,0.15778740162454902,0.286710727223519,0.014448400004766881,15,0.28606156517829856,0.14243788874841026,0.004476599977351725,10,0.3974671576969824,0.13275215150638073,0.0032456000335514545,6,0.4895930829535983,0.13739074240850538,0.002460499992594123
514,SNR_8db,MR,New_MR_115.wav,24-15-10-6,DeepONMF_H4,4,0.4596208616712248,6x212,0.028867000015452504,24,0.1610815773453136,0.2563597307397654,0.015535300015471876,15,0.26539592166029313,0.14583189983506872,0.006294800085015595,10,0.3816559232521048,0.160086201475998,0.003396600019186735,6,0.43480146807203585,0.1456559269661846,0.002518199966289103
515,SNR_8db,MR,New_MR_116.wav,24-15-10-6,DeepONMF_H4,4,0.4916894338722627,6x212,0.02696669998113066,24,0.1623764105292187,0.241522103122714,0.01490950002335012,15,0.25266165390036355,0.1371640614623109,0.0046882000751793385,10,0.35843056040380966,0.12340444774549843,0.003777500009164214,6,0.500161783799969,0.11302797832834778,0.0026639000279828906
516,SNR_8db,MR,New_MR_117.wav,24-15-10-6,DeepONMF_H4,4,0.4294322998748386,6x212,0.026380799943581223,24,0.16160873241994522,0.26681043650290703,0.0149747000541538,15,0.34113691020795517,0.14514963672262798,0.0045695999870076776,10,0.42135653783315385,0.13448325369561137,0.0032546999864280224,6,0.49054299228463344,0.15140954773188875,0.0025671999901533127
517,SNR_8db,MR,New_MR_118.wav,24-15-10-6,DeepONMF_H4,4,0.4702890328799313,6x212,0.027540299925021827,24,0.16122742023055459,0.2825051817861163,0.015452399966306984,15,0.2726148958989714,0.1339090408744178,0.005062400014139712,10,0.3599579080947055,0.12084791020355544,0.0032675000838935375,6,0.4604955807340273,0.10776282655080686,0.002466500038281083
518,SNR_8db,MR,New_MR_119.wav,24-15-10-6,DeepONMF_H4,4,0.5073129101454035,6x212,0.0271001000655815,24,0.16107185474050073,0.25581250841187936,0.014262299984693527,15,0.2760618363019743,0.12395056352264518,0.004675199976190925,10,0.3531725310069876,0.1168044526264844,0.0036684999940916896,6,0.46604443326770323,0.1114044004488358,0.003388599958270788
519,SNR_8db,MR,New_MR_120.wav,24-15-10-6,DeepONMF_H4,4,0.4646570860079101,6x212,0.027932299999520183,24,0.1609447703694551,0.2535920880200079,0.01616160001140088,15,0.2809358250800592,0.12085304338701836,0.004856000072322786,10,0.35657270570231714,0.11696639177522476,0.0034681999823078513,6,0.45295020666285307,0.10120218836593707,0.0026711999671533704
520,SNR_8db,MR,New_MR_121.wav,24-15-10-6,DeepONMF_H4,4,0.4568883516673202,6x212,0.030393199995160103,24,0.1578557829692871,0.26741587520198734,0.01742069993633777,15,0.266185954340998,0.1631639377929559,0.005658600013703108,10,0.3742209495899511,0.16201617610904973,0.003595499903894961,6,0.48145713194553635,0.18793668420575613,0.002658699988387525
