distribucion,numero_capas,clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std
12-10-8-6-4,5,UjaNet,DeepONMF_H5,0.99,0.0070710678118654,0.99625,0.0055901699437494,0.965,0.0379143772202577,0.9913796175346026,0.009220113106368,0.980625,0.0180060753636099
12-10-8-6-4,5,UjaNet,DeepONMF_W,0.961,0.0089442719099991,0.9725,0.0104582503316758,0.915,0.0223606797749978,0.9786452147936712,0.0055176203199178,0.94375,0.0116926793336685
12-11,2,KNN,DeepONMF_H2,0.935,0.0145773797371132,0.98125,0.0088388347648318,0.75,0.0728868986855662,0.9403709336730904,0.016308329668119,0.865625,0.035630482034348
12-11,2,KNN,DeepONMF_W,0.852,0.0144048602908879,0.875,0.0146575492494481,0.76,0.0487339717240448,0.9359630339646025,0.0122629006685586,0.8175000000000001,0.0246657340758388
12-11,2,SVM,DeepONMF_H2,0.973,0.0125499003980111,0.9825,0.0102697979532218,0.935,0.0223606797749978,0.9837104965037696,0.005678035459621,0.95875,0.0161475133534548
12-11,2,SVM,DeepONMF_W,0.906,0.0054772255750516,0.9,0.0076546554461974,0.93,0.0209165006633518,0.9809687409639472,0.0054940809495728,0.915,0.0092174257523453
12-11,2,UjaNet,DeepONMF_H2,0.994,0.0065192024052026,0.995,0.0068465319688145,0.99,0.0136930639376291,0.9974999023399352,0.0034235111479374,0.9925,0.0081490030065033
12-11,2,UjaNet,DeepONMF_W,0.984,0.0089442719099991,0.99125,0.0071260964068696,0.955,0.0325960120260132,0.9888271604938272,0.0080903430898062,0.973125,0.0169154607534054
12-3,2,KNN,DeepONMF_H2,0.965,0.0132287565553229,0.98125,0.0116926793336685,0.9,0.05,0.975280035864008,0.012137227354413,0.940625,0.0252912719628728
12-3,2,KNN,DeepONMF_W,0.908,0.0115108644332213,0.93875,0.0161777238819309,0.7849999999999999,0.0418330013267037,0.9459737625334076,0.0094906398622854,0.8618750000000001,0.0184083455937788
12-3,2,SVM,DeepONMF_H2,0.975,0.0127475487839819,0.98125,0.0098821176880262,0.95,0.0306186217847897,0.9874286443937028,0.0076472702048756,0.965625,0.0188797593337415
12-3,2,SVM,DeepONMF_W,0.925,0.0106066017177981,0.9175,0.0161777238819309,0.955,0.0209165006633518,0.9879585178827356,0.0053591683518608,0.93625,0.0078436877487569
12-3,2,UjaNet,DeepONMF_H2,0.991,0.0119373363863133,0.99625,0.0055901699437494,0.97,0.0410791918128874,0.9925772563453724,0.0101406984641469,0.983125,0.0227073776557311
12-3,2,UjaNet,DeepONMF_W,0.957,0.0144048602908879,0.97,0.0199608992783391,0.905,0.0273861278752583,0.9761795874314804,0.0067030210803358,0.9375,0.0128847050800551
12-4,2,KNN,DeepONMF_H2,0.969,0.0102469507659596,0.985,0.0071260964068696,0.905,0.0410791918128874,0.976533466278059,0.0100365889291216,0.945,0.0210328983380797
12-4,2,KNN,DeepONMF_W,0.9,0.0145773797371132,0.91375,0.0194655143779967,0.845,0.0570087712549568,0.9595776670674006,0.0140119668275272,0.8793750000000001,0.025636430377492
12-4,2,SVM,DeepONMF_H2,0.971,0.0129421791055448,0.98125,0.0098821176880262,0.93,0.0325960120260132,0.9824915505500856,0.008166071434114,0.955625,0.0196899800025291
12-4,2,SVM,DeepONMF_W,0.929,0.0089442719099991,0.92625,0.0120221150385445,0.94,0.013693063937629,0.9840859291084854,0.0034933379233621,0.933125,0.0071942902707633
12-4,2,UjaNet,DeepONMF_H2,0.984,0.0065192024052026,0.99125,0.0071260964068695,0.955,0.0209165006633518,0.9888032951344676,0.0051114143759787,0.973125,0.0105048351962322
12-4,2,UjaNet,DeepONMF_W,0.951,0.0155724115023974,0.96125,0.0255410209271281,0.91,0.0518411033833193,0.977416135287546,0.0121098016208956,0.935625,0.0198382128101298
12-5,2,KNN,DeepONMF_H2,0.964,0.0134164078649987,0.98125,0.0098821176880262,0.8949999999999999,0.0325960120260132,0.9739507201920512,0.0080848049273566,0.938125,0.0201798553637036
12-5,2,KNN,DeepONMF_W,0.898,0.0216794833886788,0.91,0.0150519932234903,0.85,0.053033008588991,0.9604281695017964,0.013896367091146,0.8800000000000001,0.0330423497197157
12-5,2,SVM,DeepONMF_H2,0.971,0.0114017542509913,0.97875,0.0094785943050644,0.94,0.0285043856274784,0.9849205912414496,0.0071270567995414,0.959375,0.0169730945175002
12-5,2,SVM,DeepONMF_W,0.921,0.0138744369255115,0.9175,0.0155623744974858,0.935,0.0136930639376291,0.9825836327880204,0.0037284136729476,0.92625,0.0124216293214698
12-5,2,UjaNet,DeepONMF_H2,0.992,0.0057008771254956,0.9925,0.0068465319688145,0.99,0.0136930639376291,0.9974999023399352,0.0034235111479374,0.99125,0.0071260964068696
12-5,2,UjaNet,DeepONMF_W,0.958,0.0090829510622924,0.96875,0.0176776695296637,0.915,0.0518411033833193,0.978796761414686,0.0122149068907372,0.941875,0.019960899278339
12-5-4,3,KNN,DeepONMF_H3,0.965,0.0099999999999999,0.9825,0.0102697979532218,0.8949999999999999,0.0209165006633519,0.9739874593449178,0.0051156470153808,0.93875,0.0126166432738665
12-5-4,3,KNN,DeepONMF_W,0.916,0.0041833001326703,0.92375,0.0081490030065033,0.885,0.0223606797749979,0.9698695605544682,0.0054338002283403,0.9043750000000002,0.0084432850538164
12-5-4,3,SVM,DeepONMF_H3,0.974,0.0134164078649987,0.9825,0.0102697979532218,0.94,0.0285043856274784,0.9849525316455696,0.0071580396790005,0.96125,0.01882796291424
12-5-4,3,SVM,DeepONMF_W,0.926,0.0134164078649987,0.92,0.0189571886101288,0.95,0.0176776695296636,0.986651160815648,0.004490623141591,0.935,0.0083852549156242
12-5-4,3,UjaNet,DeepONMF_H3,0.987,0.0075828754440515,0.99125,0.0071260964068696,0.97,0.0209165006633519,0.9925074691406556,0.0052084398419831,0.980625,0.011566722202076
12-5-4,3,UjaNet,DeepONMF_W,0.958,0.0148323969741913,0.97375,0.0184348515046907,0.8949999999999999,0.0111803398874989,0.973750744193362,0.0027259426888339,0.934375,0.0105973905986331
12-6,2,KNN,DeepONMF_H2,0.957,0.0090829510622924,0.97625,0.0111803398874989,0.8800000000000001,0.0410791918128875,0.9703014396271572,0.0097271231091386,0.928125,0.01875
12-6,2,KNN,DeepONMF_W,0.907,0.0225277606521375,0.9275,0.01800607536361,0.825,0.0586301969977928,0.955020953062408,0.0147988776353847,0.8762500000000001,0.034559165752373
12-6,2,SVM,DeepONMF_H2,0.972,0.0139642400437689,0.98125,0.0116926793336685,0.935,0.0285043856274784,0.9837020433452454,0.0071827537826864,0.958125,0.01882796291424
12-6,2,SVM,DeepONMF_W,0.921,0.0041833001326703,0.9175,0.0027950849718747,0.935,0.0136930639376291,0.9826040268456376,0.0036273910538283,0.92625,0.0075259966117451
12-6,2,UjaNet,DeepONMF_H2,0.996,0.0054772255750516,0.99625,0.0055901699437494,0.995,0.0111803398874989,0.99875,0.0027950849718747,0.995625,0.0068465319688145
12-6,2,UjaNet,DeepONMF_W,0.967,0.0090829510622924,0.975,0.0116926793336685,0.935,0.0418330013267038,0.9837355439183676,0.0101689269871582,0.955,0.01882796291424
12-6-5,3,KNN,DeepONMF_H3,0.964,0.0096176920308356,0.98375,0.0094785943050644,0.885,0.0335410196624968,0.971661605833385,0.0079826250121108,0.934375,0.0169730945175003
12-6-5,3,KNN,DeepONMF_W,0.892,0.0090829510622925,0.90125,0.0102697979532218,0.8550000000000001,0.0209165006633519,0.9613555222019096,0.0053825130553158,0.878125,0.0114819831692961
12-6-5,3,SVM,DeepONMF_H3,0.972,0.0115108644332213,0.98,0.0092702481088695,0.94,0.0285043856274784,0.9849365135406298,0.0071339037797694,0.96,0.0171732895800425
12-6-5,3,SVM,DeepONMF_W,0.927,0.0090829510622924,0.9225,0.0104582503316759,0.945,0.0209165006633518,0.9853401361180758,0.0054641784959997,0.93375,0.0113536888278655
