indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
749,SNR_-8db,MS,New_MS_150.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.4514677680804081,6x212,0.03353060001973063,28,0.3068876173382803,0.2983576047457835,0.024782299995422363,13,0.38048945078109636,0.3123926374609062,0.004788200021721423,6,0.3628236595096633,0.2926166198481238,0.0028429999947547913
750,SNR_-8db,MS,New_MS_151.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.4413134273142924,6x212,0.03355059993918985,28,0.30458632186163076,0.29729625908276347,0.024554200004786253,13,0.3702896281406089,0.3036133462162107,0.005092299892567098,6,0.35697247347955546,0.31076371586227375,0.0028732999926432967
751,SNR_-8db,MS,New_MS_152.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.4456058765360689,6x212,0.03552729997318238,28,0.3074347668049044,0.29686753794476267,0.026940300012938678,13,0.38469133439660674,0.30876014457598383,0.004765399964526296,6,0.36615953718421984,0.32432272090501757,0.0028551999712362885
752,SNR_-8db,MS,New_MS_153.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.3567967876844216,6x212,0.034199099987745285,28,0.23351123081365413,0.2989029860057558,0.0254497000714764,13,0.24426893801484253,0.3043376839684464,0.004802100011147559,6,0.21632942733501678,0.3345616835814653,0.002852899953722954
753,SNR_-8db,MS,New_MS_154.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.4485568079565026,6x212,0.03513810003641993,28,0.30553780510801815,0.29350048308620075,0.026647099992260337,13,0.38600487421664936,0.3133169955171829,0.004720199969597161,6,0.36996877651714327,0.3417650601851246,0.002797399996779859
754,SNR_-8db,MS,New_MS_155.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.3521395172782909,6x212,0.03652590001001954,28,0.2337486855175832,0.28956132282872066,0.026436900021508336,13,0.2365498356771711,0.30676122174601456,0.005816300050355494,6,0.21526412097162764,0.3186293425225888,0.003143700072541833
755,SNR_-8db,MS,New_MS_156.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.44980120708766513,6x212,0.03199019993189722,28,0.311831614050731,0.2891915500020547,0.023132600006647408,13,0.3865846759015876,0.3088105172323745,0.004789300030097365,6,0.3714867160207986,0.3453638407168003,0.003097299952059984
756,SNR_-8db,MS,New_MS_157.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.3507865327060245,6x212,0.03587359993252903,28,0.23548230353144753,0.2881462438334544,0.027022600057534873,13,0.23818264905804093,0.30231025833891656,0.0047984999837353826,6,0.21950283132769904,0.32504545029538884,0.0032093001063913107
757,SNR_-8db,MS,New_MS_158.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.43986346932600107,6x212,0.032969299936667085,28,0.3071967239384344,0.2897050490066649,0.023604099988006055,13,0.3742243297401456,0.30824687801080003,0.005049999919719994,6,0.359896172841241,0.33520213015382466,0.0033315999899059534
758,SNR_-8db,MS,New_MS_159.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.3612973644809149,6x212,0.037122500012628734,28,0.23812612647994386,0.2922520536046269,0.026982399984262884,13,0.2485447772653425,0.29863354938511183,0.0062163000693544745,6,0.23272538344128657,0.35279457396942787,0.002882799948565662
759,SNR_-8db,MS,New_MS_160.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.451195629076426,6x212,0.03248260007239878,28,0.306857926976025,0.2847304800875242,0.022778799990192056,13,0.3805566406885081,0.3050849170953898,0.005713099963031709,6,0.35912513962188003,0.33220866452718306,0.003062599920667708
760,SNR_-8db,MS,New_MS_161.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.4461565172650537,6x212,0.036005200003273785,28,0.30715403359521404,0.28836453572844234,0.026195700047537684,13,0.387649383930428,0.29581372866655314,0.005821300088427961,6,0.3716214045830512,0.31244249228868415,0.002919199992902577
761,SNR_-8db,MS,New_MS_162.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.4489131807551774,6x212,0.03641279996372759,28,0.309447192350695,0.28782237697907875,0.0275164000922814,13,0.3841382647500247,0.3028909772456602,0.004897399921901524,6,0.3746825435129107,0.3121412520393133,0.0028976999456062913
