indice_interno,clase,archivo,distribucion,numero_capas,error_final,forma_w_final,forma_h_final,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
71,N,New_N_072.wav,14-9-5,3,0.24136315656513954,126x5,5x212,14,0.04569751056359536,0.41416836210575675,0.00919620000058785,9,0.1951292428209113,0.15361175927008172,0.00326879999920493,5,0.5243871732309803,0.16211867502582905,0.002540400004363619
72,N,New_N_073.wav,14-9-5,3,0.26333374735265436,126x5,5x212,14,0.04658729209751881,0.3504036748030711,0.00951340000028722,9,0.17210165843014374,0.19493247510476128,0.0035785000000032596,5,0.4222275255841595,0.14519163914277194,0.002525900003092829
73,N,New_N_074.wav,14-9-5,3,0.20477000487966737,126x5,5x212,14,0.05603078083337606,0.38515086581085917,0.009519500003079884,9,0.2306962235798459,0.20916866513670407,0.0035684000031324103,5,0.4718844234653927,0.2087277559957193,0.002524199997424148
74,N,New_N_075.wav,14-9-5,3,0.3319479028134982,126x5,5x212,14,0.045140546435751376,0.3676094483637966,0.009238600003300235,9,0.2070731741193166,0.163459934617855,0.0034996000031242147,5,0.4430516195777183,0.1548970471157008,0.002600499996333383
75,N,New_N_076.wav,14-9-5,3,0.27087363071595,126x5,5x212,14,0.053041500737647136,0.3655368609188283,0.009452499994949903,9,0.28066364495464796,0.17540922774022258,0.0032267999995383434,5,0.45892844242815717,0.165783110849747,0.0026164999944739975
76,N,New_N_077.wav,14-9-5,3,0.20423147368872116,126x5,5x212,14,0.047952198164736254,0.4281464007778791,0.009151299993391149,9,0.1850084504990485,0.2237541462351048,0.0031084000002010725,5,0.447790019147084,0.2038302311248684,0.0025584000031813048
77,N,New_N_078.wav,14-9-5,3,0.253138493204909,126x5,5x212,14,0.0421230733079631,0.38327645483158773,0.00909479999972973,9,0.2304916995708166,0.14976909616034592,0.003057099995203316,5,0.47556020139055866,0.11349296191034164,0.002515000000130385
78,N,New_N_079.wav,14-9-5,3,0.2977890282414806,126x5,5x212,14,0.05137989066188884,0.41422591146021753,0.009968400001525879,9,0.22324127049147538,0.17332539168880162,0.0032107000006362796,5,0.41993319073099433,0.16517429567234784,0.002452599997923244
79,N,New_N_080.wav,14-9-5,3,0.26489837592678056,126x5,5x212,14,0.047251188991874866,0.36874385715652475,0.009221599997545127,9,0.2583106890641257,0.1709140735214753,0.0032850000061444007,5,0.471959382028723,0.17805881164153628,0.0024229000046034344
80,N,New_N_081.wav,14-9-5,3,0.25982828105650246,126x5,5x212,14,0.043983324012701726,0.363537561601508,0.008419199999480043,9,0.214010238437842,0.21563100902901608,0.0028856000062660314,5,0.5031925113080444,0.23571570196902042,0.002306700000190176
81,N,New_N_082.wav,14-9-5,3,0.23902674316332354,126x5,5x212,14,0.04998066137497098,0.39430722700027515,0.008101400002487935,9,0.1898867802658495,0.21379071491116527,0.0028722999995807186,5,0.36626215766334674,0.1723125788239735,0.0022581999946851283
82,N,New_N_083.wav,14-9-5,3,0.29336861061592395,126x5,5x212,14,0.05504145404512257,0.31690492679196997,0.008104100001219194,9,0.24530805823208213,0.13643679390716942,0.0028898000018671155,5,0.4737862462474364,0.14326332086366037,0.002278899999510031
83,N,New_N_084.wav,14-9-5,3,0.3456076302698901,126x5,5x212,14,0.05293430601695076,0.37052589400683666,0.008689099995535798,9,0.23419792097338807,0.14207940036757455,0.0028437000000849366,5,0.43428215541801685,0.14154628709468378,0.002269299999170471
84,N,New_N_085.wav,14-9-5,3,0.28737791051459605,126x5,5x212,14,0.04722902301953086,0.4173000884087486,0.008849600002577063,9,0.19358610022214245,0.15849989963740072,0.002811199999996461,5,0.43652303989301294,0.14839751310543242,0.0022703000067849644
85,N,New_N_086.wav,14-9-5,3,0.321186875825884,126x5,5x212,14,0.054211598050784134,0.3530167367798005,0.007937700000184122,9,0.23434046478010329,0.15193231875714153,0.003180400002747774,5,0.5256424076186099,0.11927753357088641,0.002257500003906898
86,N,New_N_087.wav,14-9-5,3,0.2917369542572529,126x5,5x212,14,0.04973394537347518,0.4020361571337034,0.00793089999933727,9,0.22044779632872283,0.18239108777252044,0.003977899999881629,5,0.42822514037129394,0.1733581793498422,0.0022504000007756986
87,N,New_N_088.wav,14-9-5,3,0.25612408425845723,126x5,5x212,14,0.04847650801227098,0.38060383466354997,0.007667099998798221,9,0.21474014006247272,0.21937693746446113,0.004003599999123253,5,0.42568780531137934,0.21186486655117215,0.0023354000004474074
88,N,New_N_089.wav,14-9-5,3,0.29553931465986844,126x5,5x212,14,0.05134500708261782,0.3555035158271419,0.0076759000003221445,9,0.22088920864386558,0.124342179436625,0.004156499999226071,5,0.44662619340840887,0.15313094994316268,0.0024395000000367872
89,N,New_N_090.wav,14-9-5,3,0.21505602419888373,126x5,5x212,14,0.05179683144556538,0.38748271887422464,0.007970599996042438,9,0.24022607556192588,0.23003539678943527,0.0036196999935782515,5,0.4510822782484089,0.20882833830522,0.0021682000005966984
90,N,New_N_091.wav,14-9-5,3,0.2964620217020472,126x5,5x212,14,0.04825403679557356,0.39918561871214064,0.007960900002217386,9,0.27833384451126675,0.1678805211732578,0.002743799996096641,5,0.4996385922823018,0.17729379040511298,0.002250699995784089
