distribucion,clasificador,representacion,fold,clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
15-10-5,UjaNet,DeepONMF_W,2,PROMEDIO_MACRO,174,774,26,26,0.948,0.8699999999999999,0.9675,0.8717593567962257,0.91875,200
15-10-5,UjaNet,DeepONMF_W,3,PROMEDIO_MACRO,163,763,37,37,0.926,0.8150000000000001,0.95375,0.8223771173221301,0.884375,200
15-10-5,UjaNet,DeepONMF_W,4,PROMEDIO_MACRO,172,772,28,28,0.944,0.86,0.965,0.8641216678058784,0.9125,200
15-10-5,UjaNet,DeepONMF_W,5,PROMEDIO_MACRO,162,762,38,38,0.924,0.8100000000000002,0.9525,0.810690537084399,0.88125,200
10-6-4,UjaNet,DeepONMF_W,1,PROMEDIO_MACRO,169,769,31,31,0.938,0.8450000000000001,0.96125,0.8540967497623845,0.903125,200
10-6-4,UjaNet,DeepONMF_W,2,PROMEDIO_MACRO,173,773,27,27,0.946,0.865,0.96625,0.866745905569435,0.915625,200
10-6-4,UjaNet,DeepONMF_W,3,PROMEDIO_MACRO,162,762,38,38,0.924,0.8099999999999999,0.9525,0.8164229813434221,0.88125,200
10-6-4,UjaNet,DeepONMF_W,4,PROMEDIO_MACRO,170,770,30,30,0.94,0.85,0.9625,0.8520368520368521,0.90625,200
10-6-4,UjaNet,DeepONMF_W,5,PROMEDIO_MACRO,171,771,29,29,0.942,0.8550000000000001,0.96375,0.8621921236658079,0.909375,200
8-5-3,UjaNet,DeepONMF_W,1,PROMEDIO_MACRO,172,772,28,28,0.944,0.86,0.965,0.8668977698962707,0.9125,200
8-5-3,UjaNet,DeepONMF_W,2,PROMEDIO_MACRO,177,777,23,23,0.954,0.885,0.97125,0.8952978463616763,0.928125,200
8-5-3,UjaNet,DeepONMF_W,3,PROMEDIO_MACRO,172,772,28,28,0.9440000000000002,0.86,0.965,0.873220487983777,0.9125,200
8-5-3,UjaNet,DeepONMF_W,4,PROMEDIO_MACRO,175,775,25,25,0.95,0.875,0.96875,0.882620040064505,0.921875,200
8-5-3,UjaNet,DeepONMF_W,5,PROMEDIO_MACRO,177,777,23,23,0.954,0.885,0.9712499999999998,0.8893444686922948,0.928125,200
9-8-7,UjaNet,DeepONMF_H3,1,PROMEDIO_MACRO,195,795,5,5,0.99,0.975,0.99375,0.9759523809523808,0.984375,200
9-8-7,UjaNet,DeepONMF_H3,2,PROMEDIO_MACRO,181,781,19,19,0.962,0.905,0.97625,0.908460414892874,0.940625,200
9-8-7,UjaNet,DeepONMF_H3,3,PROMEDIO_MACRO,188,788,12,12,0.976,0.94,0.985,0.9417441860465116,0.9625,200
9-8-7,UjaNet,DeepONMF_H3,4,PROMEDIO_MACRO,185,785,15,15,0.97,0.925,0.98125,0.9252925935852764,0.953125,200
9-8-7,UjaNet,DeepONMF_H3,5,PROMEDIO_MACRO,190,790,10,10,0.98,0.95,0.9875,0.9503919907102284,0.96875,200
15-10-5,UjaNet,DeepONMF_H3,1,PROMEDIO_MACRO,194,794,6,6,0.988,0.97,0.9925,0.9704636826588048,0.98125,200
15-10-5,UjaNet,DeepONMF_H3,2,PROMEDIO_MACRO,177,777,23,23,0.954,0.885,0.9712499999999998,0.8873604521698336,0.928125,200
15-10-5,UjaNet,DeepONMF_H3,3,PROMEDIO_MACRO,184,784,16,16,0.968,0.92,0.98,0.9213896340397222,0.95,200
15-10-5,UjaNet,DeepONMF_H3,4,PROMEDIO_MACRO,184,784,16,16,0.968,0.9200000000000002,0.98,0.9213536361639176,0.95,200
15-10-5,UjaNet,DeepONMF_H3,5,PROMEDIO_MACRO,191,791,9,9,0.982,0.955,0.98875,0.9562508623200624,0.971875,200
