indice_interno,distribucion,numero_capas,error_final,forma_h_final,segundos_extraccion,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_4_rango,capa_4_error,capa_4_ortogonalidad_h
36,10-11-13-14,4,0.2617694110602318,14x212,0.034715599991614,10,0.05472514246615251,0.3369836844587858,11,0.08233915716244047,0.15315697197397524,13,0.13215455800586737,0.10065958666966025,14,0.17856217086340895,0.06527421382284261
37,10-11-13-14,4,0.23011699587912313,14x212,0.03741620000801049,10,0.05660505320730061,0.3227225199877972,11,0.08763305812976134,0.1640200158970265,13,0.08318307965469565,0.0732121055923471,14,0.08866667159244385,0.05982854229779305
38,10-11-13-14,4,0.24833648652723422,14x212,0.04266989999450743,10,0.0403603582071356,0.4435451067287036,11,0.10337349039807338,0.14432212386239163,13,0.05525468034885668,0.09694583925804065,14,0.1494486260277169,0.07015810567609183
39,10-11-13-14,4,0.23414293530863092,14x212,0.031212300003971905,10,0.04724136763759986,0.35357450443189964,11,0.10999209089499583,0.15356723196168048,13,0.0628937086331503,0.08808722267658818,14,0.06306001387344153,0.07677184291575471
40,10-11-13-14,4,0.26341316577248575,14x212,0.03801229997770861,10,0.05454798562330614,0.3960834480444211,11,0.10516247577756511,0.15929603291478914,13,0.11229189734045948,0.09898382530581727,14,0.0887968249514541,0.08877600516322617
41,10-11-13-14,4,0.27660669017629985,14x212,0.034780100017087534,10,0.05719660109101146,0.38847422720914865,11,0.10766658275206238,0.14957145411765269,13,0.09193195896045377,0.08945041030983522,14,0.21137543154450297,0.057381115840828494
42,10-11-13-14,4,0.24435074947055996,14x212,0.03327519999584183,10,0.05095374806275437,0.3989306440895435,11,0.0881598181715412,0.19173242805741367,13,0.08616387616366873,0.1172441154397697,14,0.06686868546631229,0.08785704848130865
43,10-11-13-14,4,0.23476281386561396,14x212,0.04128679999848828,10,0.06853864892610602,0.37501505521871703,11,0.09637594382085969,0.14810688747333167,13,0.08847827999422958,0.10061894926171974,14,0.13267086350818155,0.07445299784035468
44,10-11-13-14,4,0.2519574904464326,14x212,0.04220080000231974,10,0.05631742456546486,0.3863731274949088,11,0.09988941793903613,0.18904564440429042,13,0.16185182272836876,0.1063528179382779,14,0.05961328592599599,0.07496084804336958
45,10-11-13-14,4,0.29759973699631714,14x212,0.04391290000057779,10,0.052998981175761094,0.38794120717182373,11,0.1271525374201075,0.1336584676256048,13,0.09449064610112301,0.11059455163263966,14,0.1644483290403543,0.09504121104075197
46,10-11-13-14,4,0.24851860819416188,14x212,0.03415859999950044,10,0.059457186018820184,0.3797646931506885,11,0.12327245309780709,0.16961457434056101,13,0.14731237018043408,0.10998598441120723,14,0.05811882167538145,0.07573801773011696
47,10-11-13-14,4,0.23983520444403225,14x212,0.0381716999982018,10,0.054173630417666735,0.37246204642688224,11,0.11311136895779939,0.13964895174522096,13,0.07349376838283092,0.09168932171336458,14,0.1248343212914537,0.06571448027148741
48,10-11-13-14,4,0.27327918697161013,14x212,0.04094079998321831,10,0.04970289864821565,0.39350889354091145,11,0.12316076683973498,0.15648308546216655,13,0.13665963526118705,0.08513610938408867,14,0.13465464042780362,0.07320215390496616
49,10-11-13-14,4,0.25668542306434927,14x212,0.049625599989667535,10,0.05388795791939469,0.3891493862668569,11,0.16814805592520138,0.16271084629167595,13,0.07863980764323776,0.09444272561912055,14,0.056981651295104324,0.08973020373189772
50,10-11-13-14,4,0.2657226181855572,14x212,0.04696949999197386,10,0.05578794988142484,0.39665188218842456,11,0.13616731964412443,0.14268521749260335,13,0.08957981039003739,0.09821949605721746,14,0.13429331695617627,0.05479537618567386
51,10-11-13-14,4,0.27968414204925945,14x212,0.04837560001760721,10,0.06493816118797732,0.4222127516429423,11,0.14992687159219242,0.1935062312908919,13,0.12129715339153238,0.11863942201913422,14,0.1474298056735729,0.07457611271592812
52,10-11-13-14,4,0.2504357031560896,14x212,0.03990000000339933,10,0.053373594102116284,0.4006151878836424,11,0.13192127909804585,0.1360358907655164,13,0.09732838490117272,0.1010003418204045,14,0.10652450523401313,0.08911681602638248
53,10-11-13-14,4,0.24364349371471136,14x212,0.03351959999417886,10,0.05077760913645499,0.40928707765055516,11,0.11362093252550505,0.14687821207422308,13,0.08873760564723092,0.10277478023245337,14,0.1104215211448349,0.08434117744867939
54,10-11-13-14,4,0.2535873760023251,14x212,0.03139200000441633,10,0.06339604123525511,0.3927596523175093,11,0.11791992924483882,0.16527324390847314,13,0.13149033181116646,0.11172771840335631,14,0.07335649285254464,0.0983549342183076
55,10-11-13-14,4,0.27556278889893626,14x212,0.0414329000050202,10,0.04364583567090444,0.37952923969024477,11,0.12776680966715523,0.18189121551662235,13,0.1455871378822076,0.09665447563869405,14,0.14110513923917667,0.05790515593786187
56,10-11-13-14,4,0.2951264440494143,14x212,0.037352100014686584,10,0.04716355071592408,0.3852302396176669,11,0.11367661763187813,0.15687976213611532,13,0.0736453279174499,0.08197142792277677,14,0.21116369805776364,0.04957130468540878
57,10-11-13-14,4,0.2517492384041864,14x212,0.03551529999822378,10,0.053688490078060536,0.3794118258214477,11,0.12747041344257684,0.16452885592404898,13,0.1012002221886918,0.10203227443707565,14,0.05649694586523284,0.09589791629412668
58,10-11-13-14,4,0.2585037884601096,14x212,0.03692870002123527,10,0.06804228900865456,0.38015147383440645,11,0.10884392696254531,0.18357034226360108,13,0.07876017238027753,0.11836644687438518,14,0.13118763098790587,0.08530131715837891
59,10-11-13-14,4,0.24884846941625818,14x212,0.036103200021898374,10,0.050465051691152854,0.43573680909296836,11,0.1417122411760624,0.17764705673745299,13,0.10049912776114883,0.11009758306821837,14,0.08023694176624217,0.09847709748462469
60,10-11-13-14,4,0.2622746041700783,14x212,0.03336410000338219,10,0.0608298304137336,0.3906531773823435,11,0.12204631578334907,0.15019338370810828,13,0.06641369464337864,0.12284913727944008,14,0.0927161676177912,0.08182874258828633
61,10-11-13-14,4,0.2392846691455005,14x212,0.03399220001301728,10,0.053808491203882106,0.3782823061957284,11,0.10731559274813654,0.13739788129244349,13,0.1475722220312233,0.0875449246692011,14,0.05791536777130286,0.07599269642823696
62,10-11-13-14,4,0.26477757658944406,14x212,0.037045100005343556,10,0.05208520619902711,0.3747987866686632,11,0.10688592246864805,0.1484467312504613,13,0.20308373584788494,0.09136965581958809,14,0.09524553172446282,0.0749255296872305
