indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos
69,SNR_0db,N,New_N_070.wav,12,DeepONMF_H1,1,nndsvd,0.28506224588397566,12x212,0.015316300094127655,12,0.28506224588397566,0.3454380693789739,0.014452199917286634
70,SNR_0db,N,New_N_071.wav,12,DeepONMF_H1,1,nndsvd,0.2834197523285194,12x212,0.015305700013414025,12,0.2834197523285194,0.33860515155891524,0.014663600013591349
71,SNR_0db,N,New_N_072.wav,12,DeepONMF_H1,1,nndsvd,0.28590193236408123,12x212,0.015697899973019958,12,0.28590193236408123,0.33802609516060605,0.014970000018365681
72,SNR_0db,N,New_N_073.wav,12,DeepONMF_H1,1,nndsvd,0.2861911272531806,12x212,0.016317300032824278,12,0.2861911272531806,0.3358755539300928,0.01565320009831339
73,SNR_0db,N,New_N_074.wav,12,DeepONMF_H1,1,nndsvd,0.28483966163844726,12x212,0.015250499942339957,12,0.28483966163844726,0.3287532327933316,0.014685000060126185
74,SNR_0db,N,New_N_075.wav,12,DeepONMF_H1,1,nndsvd,0.2846898634440133,12x212,0.015025899978354573,12,0.2846898634440133,0.3261520461845985,0.014274900080636144
75,SNR_0db,N,New_N_076.wav,12,DeepONMF_H1,1,nndsvd,0.2847129175018908,12x212,0.015191099955700338,12,0.2847129175018908,0.3187510180870298,0.014490999979898334
76,SNR_0db,N,New_N_077.wav,12,DeepONMF_H1,1,nndsvd,0.28585765880558095,12x212,0.014928299933671951,12,0.28585765880558095,0.3290647931030296,0.014175400021485984
77,SNR_0db,N,New_N_078.wav,12,DeepONMF_H1,1,nndsvd,0.28709228417943816,12x212,0.014471599948592484,12,0.28709228417943816,0.3185669318962438,0.013609000016003847
78,SNR_0db,N,New_N_079.wav,12,DeepONMF_H1,1,nndsvd,0.28212244394589886,12x212,0.014843199984170496,12,0.28212244394589886,0.32612444126098017,0.014193799928762019
79,SNR_0db,N,New_N_080.wav,12,DeepONMF_H1,1,nndsvd,0.28641022925583326,12x212,0.015285500092431903,12,0.28641022925583326,0.31186339963597226,0.014532300061546266
80,SNR_0db,N,New_N_081.wav,12,DeepONMF_H1,1,nndsvd,0.2852001794318269,12x212,0.015418500057421625,12,0.2852001794318269,0.33760159698912284,0.014790600049309433
81,SNR_0db,N,New_N_082.wav,12,DeepONMF_H1,1,nndsvd,0.28337702886322347,12x212,0.014821500051766634,12,0.28337702886322347,0.3302335470862192,0.013886400032788515
82,SNR_0db,N,New_N_083.wav,12,DeepONMF_H1,1,nndsvd,0.28431661730981406,12x212,0.015598200028762221,12,0.28431661730981406,0.32430337713216983,0.014735399978235364
83,SNR_0db,N,New_N_084.wav,12,DeepONMF_H1,1,nndsvd,0.286843731479414,12x212,0.0153524000197649,12,0.286843731479414,0.3363228787608193,0.014568199985660613
84,SNR_0db,N,New_N_085.wav,12,DeepONMF_H1,1,nndsvd,0.2829624124069865,12x212,0.015513199963606894,12,0.2829624124069865,0.3306505331827583,0.014690399984829128
85,SNR_0db,N,New_N_086.wav,12,DeepONMF_H1,1,nndsvd,0.283115485682863,12x212,0.015902199898846447,12,0.283115485682863,0.3250866639799241,0.015065700048580766
86,SNR_0db,N,New_N_087.wav,12,DeepONMF_H1,1,nndsvd,0.28607677151839134,12x212,0.01475390000268817,12,0.28607677151839134,0.32229547628569444,0.01406189997214824
87,SNR_0db,N,New_N_088.wav,12,DeepONMF_H1,1,nndsvd,0.2859762008506978,12x212,0.01480430003721267,12,0.2859762008506978,0.3281930694051933,0.014166299952194095
88,SNR_0db,N,New_N_089.wav,12,DeepONMF_H1,1,nndsvd,0.28316579565776956,12x212,0.015057199983857572,12,0.28316579565776956,0.3335039629904807,0.014209600049071014
89,SNR_0db,N,New_N_090.wav,12,DeepONMF_H1,1,nndsvd,0.2841917274099602,12x212,0.016034599975682795,12,0.2841917274099602,0.33163813492051236,0.015151900006458163
90,SNR_0db,N,New_N_091.wav,12,DeepONMF_H1,1,nndsvd,0.2822337522488716,12x212,0.01517170004080981,12,0.2822337522488716,0.3153984583400741,0.014454599935561419
91,SNR_0db,N,New_N_092.wav,12,DeepONMF_H1,1,nndsvd,0.2852110039368438,12x212,0.01547099999152124,12,0.2852110039368438,0.3266957969920086,0.014519199961796403
92,SNR_0db,N,New_N_093.wav,12,DeepONMF_H1,1,nndsvd,0.281938419478919,12x212,0.015702800010330975,12,0.281938419478919,0.32585236296011094,0.01473599998280406
93,SNR_0db,N,New_N_094.wav,12,DeepONMF_H1,1,nndsvd,0.2854644869179268,12x212,0.015813800040632486,12,0.2854644869179268,0.3362341165639197,0.015049600042402744
94,SNR_0db,N,New_N_095.wav,12,DeepONMF_H1,1,nndsvd,0.28635707701887336,12x212,0.01609040005132556,12,0.28635707701887336,0.32659408940653617,0.015354100032709539
95,SNR_0db,N,New_N_096.wav,12,DeepONMF_H1,1,nndsvd,0.2847040767064037,12x212,0.015188099932856858,12,0.2847040767064037,0.32592617229185966,0.014338699984364212
96,SNR_0db,N,New_N_097.wav,12,DeepONMF_H1,1,nndsvd,0.2820637507046364,12x212,0.01555659994482994,12,0.2820637507046364,0.32964256178975254,0.014856900088489056
