indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
241,original,AS,New_AS_042.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.33173573430786707,2x212,0.020326599944382906,12,0.1024439514499407,0.2378808950638078,0.014300799928605556,5,0.16566558031504766,0.28492119008958444,0.003073600004427135,2,0.2654576716849344,0.34847302242456824,0.001985899987630546
242,original,AS,New_AS_043.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.31954109182575763,2x212,0.02000340004451573,12,0.10708872384660664,0.21341306918223202,0.013692100066691637,5,0.15256027191282348,0.25777542305395784,0.0034394999966025352,2,0.24084997855496482,0.3838533479688598,0.0021892000222578645
243,original,AS,New_AS_044.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.34762879122143003,2x212,0.019667800050228834,12,0.10230909129627203,0.2373706526209639,0.013729199999943376,5,0.16898361576959797,0.21497430209140106,0.0030863999854773283,2,0.27792578921339106,0.3271632703494952,0.002060999977402389
244,original,AS,New_AS_045.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.31634403623859175,2x212,0.020906600053422153,12,0.10360619552478874,0.24120890389438748,0.014835699927061796,5,0.1560171250616017,0.26777646268858557,0.0031519000185653567,2,0.24089866236495236,0.3153605418689543,0.0020979000255465508
245,original,AS,New_AS_046.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.3416456491133173,2x212,0.020186099922284484,12,0.1053168441354815,0.23849979345762717,0.014644399983808398,5,0.17256885980681935,0.2765892371334031,0.002701499965041876,2,0.2744997613345244,0.3764163138850196,0.001988500007428229
246,original,AS,New_AS_047.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.35381268102516816,2x212,0.020239499979652464,12,0.09952657089632438,0.2380687694464452,0.014418300008401275,5,0.17626753043644747,0.213355797948106,0.0026425999822095037,2,0.29799243635332534,0.3737596398231241,0.0022109000710770488
247,original,AS,New_AS_048.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.2749355268086375,2x212,0.02061080001294613,12,0.09270046794037286,0.2650653291797018,0.014262499986216426,5,0.11778357476598912,0.3531610935778052,0.003436999977566302,2,0.1990566813066781,0.49253167390001273,0.002108599990606308
248,original,AS,New_AS_049.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.28910189603140574,2x212,0.020124000031501055,12,0.0921285578205715,0.2320153325381219,0.01438070007134229,5,0.1094742654247636,0.34331985883694754,0.0028904000064358115,2,0.2543561850219551,0.3488522350873355,0.0020656000124290586
249,original,AS,New_AS_050.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.2936638419959436,2x212,0.020600999938324094,12,0.0964043426353114,0.2515445610240904,0.014464400010183454,5,0.11441626128884713,0.26869123488996405,0.0033198000164702535,2,0.2521029022426969,0.18698551352932108,0.0020047000143676996
250,original,AS,New_AS_051.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.2741031746946772,2x212,0.021627499954774976,12,0.09082005775255697,0.2615356332943536,0.01532290002796799,5,0.10497444232859315,0.35745333235684124,0.002923700027167797,2,0.22635042688285692,0.40151547592810743,0.0022499999031424522
251,original,AS,New_AS_052.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.3194437329370834,2x212,0.02108610002323985,12,0.086480684408533,0.24766288394245733,0.014154299977235496,5,0.10979783833811689,0.31310289721059326,0.004108300083316863,2,0.3017519787386306,0.3530221459137469,0.0020816000178456306
252,original,AS,New_AS_053.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.33355936712139533,2x212,0.019415199989452958,12,0.0964633048986995,0.2294782774263972,0.014078200096264482,5,0.12253362121380959,0.1987555828402486,0.0026920000091195107,2,0.2705873216261427,0.11958308552171193,0.001985599985346198
253,original,AS,New_AS_054.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.2863894967627443,2x212,0.019977199961431324,12,0.08723561384093528,0.2349447867768759,0.014068100019358099,5,0.11311276230845044,0.2993746268853202,0.002980099990963936,2,0.23249611078248647,0.2114111159756219,0.002001299988478422
254,original,AS,New_AS_055.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.3300149358094746,2x212,0.020254599978215992,12,0.08894354127953907,0.2536344670810514,0.014150999952107668,5,0.14494161639601208,0.3024583812180137,0.0032109000021591783,2,0.3094848507168601,0.17434029717044855,0.001974700018763542
255,original,AS,New_AS_056.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.28852024378839874,2x212,0.020040900097228587,12,0.10705070251087478,0.24530461947835963,0.014451000024564564,5,0.12337254104091255,0.3219790824895682,0.0026400999631732702,2,0.22525686340351597,0.2550332581635245,0.002200899994932115
256,original,AS,New_AS_057.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.2727281092997356,2x212,0.02022990002296865,12,0.09220395020473618,0.21487650794075874,0.013462499948218465,5,0.14301993913158462,0.31255479508271566,0.0040330999763682485,2,0.2224296774520105,0.2450828454477822,0.0020195000106468797
257,original,AS,New_AS_058.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.27755261897731626,2x212,0.02092739997897297,12,0.09067975469642035,0.22638060195894702,0.014466200023889542,5,0.11549806429203424,0.30981107203961167,0.003747600014321506,2,0.21870268596156597,0.2567038751933476,0.0020770999835804105
258,original,AS,New_AS_059.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.2819237500857552,2x212,0.0196031000232324,12,0.10720789906778247,0.2379231765108883,0.014165299944579601,5,0.10761586713105242,0.33728823756672865,0.0026504999259486794,2,0.2098180317069653,0.15472856242263044,0.001955399988219142
259,original,AS,New_AS_060.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.2830784552174015,2x212,0.020925399963743985,12,0.09777725315507357,0.22091636245759705,0.01454210001975298,5,0.12287259344830825,0.29596244240553127,0.0033265999518334866,2,0.2010310382317921,0.2769513425884803,0.0019529999699443579
260,original,AS,New_AS_061.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.28908600588278593,2x212,0.021112399990670383,12,0.08878297312276548,0.22680070113398534,0.014124599983915687,5,0.11376997673002218,0.26641924663245775,0.004107900080271065,2,0.23378066828037297,0.2308819777516678,0.0020308999810367823
261,original,AS,New_AS_062.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.29558049516114837,2x212,0.019316100049763918,12,0.11083003262211422,0.19614273539844967,0.013948100036941469,5,0.14535874546927605,0.3017353758889191,0.00270690000616014,2,0.2548354332284013,0.48363617646536666,0.0019691999768838286
