indice_interno,clase,archivo,error_final,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
260,AS,New_AS_061.wav,0.25225454968031746,9,0.07412354339755109,0.1389302671661133,0.023132000118494034,8,0.16929174690668752,0.11596096039020513,0.009032899979501963,7,0.21047788420853292,0.0928197424063259,0.009228100068867207
261,AS,New_AS_062.wav,0.19324308664633097,9,0.07470702127179932,0.20539980905803704,0.02225939999334514,8,0.09504558998679652,0.18457495857810655,0.008937099948525429,7,0.10808766758321604,0.14284626618740287,0.009089499944821
262,AS,New_AS_063.wav,0.2746284125048693,9,0.08425586434806012,0.17891248638843243,0.020992899779230356,8,0.2264507983805594,0.09743182003276361,0.009100700030103326,7,0.20495127663802343,0.08983827984766568,0.008777699898928404
263,AS,New_AS_064.wav,0.28663394212016163,9,0.0839616088940003,0.18539387053264333,0.02084599994122982,8,0.25840817696167806,0.09539893398450336,0.008110600057989359,7,0.23446804106863722,0.09209225124747211,0.00888100010342896
264,AS,New_AS_065.wav,0.24487495422723626,9,0.08476338462927066,0.19141919670837992,0.020879499847069383,8,0.1297327909975083,0.15975316826886812,0.009204600006341934,7,0.244810094191736,0.11816224186211699,0.008492400171235204
265,AS,New_AS_066.wav,0.24867338241504985,9,0.08962202860904538,0.17563508047900522,0.02158259996213019,8,0.20620166433922965,0.09839270605943881,0.00850869994610548,7,0.14937663459374784,0.079464619649198,0.008536200039088726
266,AS,New_AS_067.wav,0.21098840809320743,9,0.0847124572105547,0.18515161255917634,0.021507800091058016,8,0.11481502775277644,0.1751013898664396,0.008069799980148673,7,0.1470298003721201,0.1559342261226868,0.010298699839040637
267,AS,New_AS_068.wav,0.22534232670501286,9,0.07953141648468642,0.13842903809330237,0.020866400096565485,8,0.155831810539462,0.11286378158838427,0.009377800161018968,7,0.2852167521200967,0.11655314561812798,0.008671200135722756
268,AS,New_AS_069.wav,0.262944925341947,9,0.0927923985047525,0.1633831239145509,0.02286320016719401,8,0.1378884081156922,0.14320035838042314,0.009034800110384822,7,0.22370653535808033,0.09875796523253533,0.008671399904415011
269,AS,New_AS_070.wav,0.21203543858473753,9,0.07737952977139481,0.17268293132168833,0.024065000005066395,8,0.14928168330172498,0.13641046700423803,0.008070599986240268,7,0.17233779209320263,0.11751750584953455,0.009824699955061078
270,AS,New_AS_071.wav,0.2175858875880686,9,0.08315426377177879,0.1856003244114256,0.020715800113976002,8,0.15216715747665405,0.15666800589857616,0.009396200068295002,7,0.2154631377925895,0.1362690211503578,0.00858010002411902
271,AS,New_AS_072.wav,0.24656280243372009,9,0.08060238458679489,0.1682792336985243,0.02113520004786551,8,0.17587576781081907,0.09920906592385723,0.008154100039973855,7,0.2118143350613363,0.09821167075232867,0.009415700100362301
272,AS,New_AS_073.wav,0.24291592873566276,9,0.08526538969854923,0.18367840475536806,0.021944500040262938,8,0.18057362075158964,0.11257675574039364,0.008127100067213178,7,0.19638183040868123,0.11045534523690737,0.009889299981296062
273,AS,New_AS_074.wav,0.3305997133929333,9,0.0779629979372833,0.18184596139841006,0.02069680020213127,8,0.22568547116225926,0.0700775852489458,0.009031200082972646,7,0.3229611328385404,0.0496976901523263,0.008565800031647086
274,AS,New_AS_075.wav,0.24053256974568188,9,0.07652337906593074,0.16621691502858557,0.02163259987719357,8,0.14751075357257687,0.15004687864886912,0.008283500093966722,7,0.2057152618885139,0.09372184389324129,0.010425399988889694
275,AS,New_AS_076.wav,0.24372562411812518,9,0.07439589904497056,0.16585305393241154,0.02295610005967319,8,0.1905536592043056,0.07910835986611407,0.00848240009509027,7,0.17735793243942327,0.06177442447091176,0.010619200067594647
276,AS,New_AS_077.wav,0.2601231332763481,9,0.10286510530357845,0.19804081952436903,0.021880700020119548,8,0.18281779889700048,0.1463131099477341,0.010859299916774035,7,0.2092352253288181,0.11281832132856022,0.013431899948045611
277,AS,New_AS_078.wav,0.2753449997134588,9,0.10035210238436076,0.1881740021127594,0.025167600018903613,8,0.24499566451601637,0.1416554864466167,0.012069800170138478,7,0.223456169081759,0.13281636006841996,0.012972200056537986
278,AS,New_AS_079.wav,0.24063210665021786,9,0.09910690961111919,0.18246270542357992,0.02756499988026917,8,0.15273224448519143,0.18261814797506057,0.011982999974861741,7,0.280428429607207,0.1766895596583041,0.013600799953565001
279,AS,New_AS_080.wav,0.24465361533919885,9,0.0954930735203368,0.19397339678303802,0.02338719996623695,8,0.21502758980025735,0.14051674656571514,0.010587400058284402,7,0.19702086432335275,0.13046250106493562,0.01110589993186295
280,AS,New_AS_081.wav,0.252381795452194,9,0.09161166927649413,0.21534736335389323,0.022309700027108192,8,0.18278504640583287,0.1331628142576174,0.01005699997767806,7,0.19316577087757897,0.10784331940473477,0.009006200125440955
281,AS,New_AS_082.wav,0.293336758297789,9,0.1015141840759589,0.2179258611169859,0.022692000027745962,8,0.18917200979355653,0.14391717415354746,0.01421729987487197,7,0.31856394752875633,0.12062278623736414,0.00903960014693439
282,AS,New_AS_083.wav,0.2277085842756158,9,0.09832918114575043,0.20483047710547916,0.029755600029602647,8,0.1490097298848218,0.15647019444508878,0.009473799960687757,7,0.18161059920638786,0.14267856159007963,0.008897699881345034
283,AS,New_AS_084.wav,0.2931671606773479,9,0.10622920550525934,0.15632030969184546,0.021254400024190545,8,0.29183984914893507,0.11848076443488198,0.008588999975472689,7,0.24542331789182592,0.11389113239654318,0.009435800136998296
284,AS,New_AS_085.wav,0.24396702950249957,9,0.09093756723872916,0.23075849215556923,0.03587349993176758,8,0.12033350319292013,0.19658580957783972,0.011760599911212921,7,0.23840655711677083,0.1628871973811972,0.018053599866107106
285,AS,New_AS_086.wav,0.24267312816871092,9,0.09062054668770643,0.2064697281792756,0.030201599933207035,8,0.19899955542213424,0.15135896863190773,0.016360500128939748,7,0.14610171993687956,0.11600903273638027,0.021877000108361244
286,AS,New_AS_087.wav,0.292112501565991,9,0.08680502537256662,0.2230045994455967,0.03141269995830953,8,0.19768881269429192,0.1446672736862254,0.010211899876594543,7,0.2685498923886338,0.12513708189597647,0.012107700109481812
287,AS,New_AS_088.wav,0.25558047749052965,9,0.10840489962029902,0.1348455375657024,0.025408399989828467,8,0.1985268098213856,0.1425756968993362,0.00891630002297461,7,0.22289860719555415,0.13077518616842532,0.008880400098860264
288,AS,New_AS_089.wav,0.24724394160790272,9,0.09194609583376066,0.21103312645464598,0.02165629994124174,8,0.08786522227967769,0.1742403338774852,0.008254899876192212,7,0.3294725742135928,0.14529424753117046,0.009257999947294593
289,AS,New_AS_090.wav,0.29668027712798656,9,0.09287110835961027,0.18765705177646133,0.02071829978376627,8,0.28897773885372025,0.09530577675874692,0.016343799885362387,7,0.24764727572838952,0.1116434801885699,0.012739000143483281
290,AS,New_AS_091.wav,0.23109534242171234,9,0.09038334664358291,0.213162771145978,0.02178549999371171,8,0.1687961605101399,0.15026370467232933,0.00928390002809465,7,0.15668416009288924,0.13939745030959688,0.009131500031799078
291,AS,New_AS_092.wav,0.2646840285920194,9,0.10172806459365656,0.21688988407932655,0.022156599909067154,8,0.2451628615649701,0.1658095077673499,0.009363600052893162,7,0.23380740343536713,0.1662913464281116,0.008876699954271317
292,AS,New_AS_093.wav,0.25268073959075604,9,0.09483069795333945,0.23391696137886234,0.021170099964365363,8,0.20697704902304945,0.14413922444497704,0.008956700097769499,7,0.19321959326915558,0.12071881435028968,0.009425500174984336
293,AS,New_AS_094.wav,0.23921384581035668,9,0.1013508714993368,0.1917408882241492,0.021847099997103214,8,0.14351162903765635,0.16098604276594172,0.009423399809747934,7,0.21025597904364926,0.1534709503144381,0.009287100052461028
