indice_interno,clase,archivo,distribucion,numero_capas,error_final,forma_w_final,forma_h_final,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos,capa_4_rango,capa_4_error,capa_4_ortogonalidad_h,capa_4_segundos
51,N,New_N_052.wav,14-8-5-3,4,0.31155464284397605,126x3,3x212,14,0.042505154937271875,0.41601098404491743,0.009524199995212257,8,0.2653976986848699,0.20288506759874192,0.003401599999051541,5,0.4201185015754278,0.14789036180644602,0.002466199999616947,3,0.544343311028248,0.1765351591061641,0.0022650000028079376
52,N,New_N_053.wav,14-8-5-3,4,0.376817797379668,126x3,3x212,14,0.03444802761443297,0.40745938729447434,0.008981800005130935,8,0.19414167478276423,0.22019906119906782,0.003093599996645935,5,0.36876269011115553,0.20877310004407748,0.002385599997069221,3,0.40734666679222054,0.18780324715028676,0.0023933999982546084
53,N,New_N_054.wav,14-8-5-3,4,0.4728307323474034,126x3,3x212,14,0.043905579910447225,0.4093781392733252,0.008713000002899207,8,0.1775729664705896,0.16740978051036715,0.003275700000813231,5,0.28672649932805333,0.1390398176989629,0.0026228999995510094,3,0.35474267166002216,0.06072303446297198,0.0024111999955493957
54,N,New_N_055.wav,14-8-5-3,4,0.40003352980354334,126x3,3x212,14,0.04133513152410113,0.429766014446632,0.008926200003770646,8,0.23894198957974008,0.2630598660741695,0.0028265000000828877,5,0.3659412125757191,0.22205427243602616,0.0026273000039509498,3,0.4721588208415859,0.21289253924741092,0.00229389999731211
55,N,New_N_056.wav,14-8-5-3,4,0.4493582842569987,126x3,3x212,14,0.03997167736624045,0.4607842493756624,0.00927409999712836,8,0.2511773609200583,0.1826175543458343,0.003093599996645935,5,0.3838433298141969,0.16407805645401713,0.002476999994541984,3,0.40688102656365105,0.11833571290590224,0.0022637999936705455
56,N,New_N_057.wav,14-8-5-3,4,0.35924367603356805,126x3,3x212,14,0.04514850554543564,0.3946821411451597,0.009181399997032713,8,0.23380304156940895,0.184952209683882,0.0030865999942761846,5,0.3922744931024615,0.14439836791745114,0.002523700000892859,3,0.5056829703703057,0.12902964667088737,0.002283400004671421
57,N,New_N_058.wav,14-8-5-3,4,0.3611383295652465,126x3,3x212,14,0.05110289490097518,0.4434337074384995,0.009711900005640928,8,0.1947287406618777,0.20694088565167826,0.0035541000033845194,5,0.35791811893849873,0.1996021076799988,0.0029314000057638623,3,0.43970637823499065,0.20244479746826183,0.0023191999935079366
58,N,New_N_059.wav,14-8-5-3,4,0.3833038464496597,126x3,3x212,14,0.04131359131962204,0.4247754396350071,0.009974499997042585,8,0.21053504236314355,0.22620034825789403,0.003224299995054025,5,0.3390661268656402,0.1664937211463139,0.0025085000015678816,3,0.49419852720831753,0.16727477893395423,0.002277600004163105
59,N,New_N_060.wav,14-8-5-3,4,0.2810987949101356,126x3,3x212,14,0.04015111104345412,0.4247577636712563,0.009104800003115088,8,0.27927515002315806,0.2112852220102459,0.0031185000043478794,5,0.4210402377697166,0.15052998227566483,0.0023654000033275224,3,0.48395381292144035,0.1782558796012562,0.002783799995086156
60,N,New_N_061.wav,14-8-5-3,4,0.44182718695127415,126x3,3x212,14,0.0437074990393473,0.40054646699087265,0.008820000002742745,8,0.18711367971938603,0.17769708913193197,0.0028377000053296797,5,0.36118829131134594,0.19041981086404686,0.0026595000017550774,3,0.4259897986272552,0.20911388150210608,0.0023901000022306107
