indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos
43,original,N,New_N_044.wav,32-2,DeepONMF_H2,2,nndsvd,0.14493021201718106,2x212,0.05949689995031804,32,0.06287240132756146,0.1775352820110021,0.05105889996048063,2,0.0995631576523194,0.6309427218774322,0.007079600007273257
44,original,N,New_N_045.wav,32-2,DeepONMF_H2,2,nndsvd,0.14233365226656441,2x212,0.058165900059975684,32,0.06532705422547656,0.15592277715295777,0.049696700065396726,2,0.09298775236980732,0.49788414012551585,0.006946900044567883
45,original,N,New_N_046.wav,32-2,DeepONMF_H2,2,nndsvd,0.14265087589280068,2x212,0.05938690004404634,32,0.06468956042319879,0.1748783076353821,0.05330689996480942,2,0.09266507892239964,0.5832547288703264,0.004690999980084598
46,original,N,New_N_047.wav,32-2,DeepONMF_H2,2,nndsvd,0.14174578775579041,2x212,0.06311620003543794,32,0.06420893355504309,0.15641836844349633,0.052934200037270784,2,0.09163508078988768,0.6060300506610883,0.008722600061446428
47,original,N,New_N_048.wav,32-2,DeepONMF_H2,2,nndsvd,0.14212050641466828,2x212,0.05762740003410727,32,0.06894716196194871,0.1627593118432539,0.049121799995191395,2,0.09135214055804754,0.5129611249866404,0.0073084000032395124
48,original,N,New_N_049.wav,32-2,DeepONMF_H2,2,nndsvd,0.13795468274329004,2x212,0.06036230002064258,32,0.06113858560116075,0.18922310722872743,0.05022920004557818,2,0.09027139773564942,0.7334567574144086,0.008946900023147464
49,original,N,New_N_050.wav,32-2,DeepONMF_H2,2,nndsvd,0.14277899440844644,2x212,0.06285979994572699,32,0.06528639614874715,0.16481197037957676,0.05315689998678863,2,0.09693748585766589,0.5244937340019565,0.008356299949809909
50,original,N,New_N_051.wav,32-2,DeepONMF_H2,2,nndsvd,0.14383835936833056,2x212,0.0586034000152722,32,0.06506499423660075,0.13352931410989283,0.04834619991015643,2,0.09838839889673354,0.6131789110003648,0.008944100001826882
51,original,N,New_N_052.wav,32-2,DeepONMF_H2,2,nndsvd,0.14126507660070134,2x212,0.07099519995972514,32,0.06400360650381973,0.1656146065031281,0.06104830000549555,2,0.093410235959715,0.6594215079693733,0.008796299924142659
52,original,N,New_N_053.wav,32-2,DeepONMF_H2,2,nndsvd,0.1380788781360974,2x212,0.0629596000071615,32,0.06559421716592655,0.17248503035495727,0.052674900041893125,2,0.08535494235709777,0.632762750643606,0.008977699908427894
53,original,N,New_N_054.wav,32-2,DeepONMF_H2,2,nndsvd,0.14176241957443647,2x212,0.0655822999542579,32,0.06431819779223334,0.16427895858002878,0.05500030005350709,2,0.0907352867672503,0.6029504825934584,0.009208800038322806
54,original,N,New_N_055.wav,32-2,DeepONMF_H2,2,nndsvd,0.13869865877171292,2x212,0.06426510005258024,32,0.06260752736433618,0.17197655801614306,0.05342489993199706,2,0.09090626618296367,0.6098205612813272,0.009244600078091025
55,original,N,New_N_056.wav,32-2,DeepONMF_H2,2,nndsvd,0.13835713186709464,2x212,0.062010499997995794,32,0.06435085400848986,0.1794600747777352,0.05196410010103136,2,0.08831686401088006,0.5728557252454962,0.008643600041978061
56,original,N,New_N_057.wav,32-2,DeepONMF_H2,2,nndsvd,0.1347305143147543,2x212,0.060561500024050474,32,0.06394766868487504,0.19701165138537455,0.0530490999808535,2,0.07977932408235278,0.5396539244338212,0.006352499942295253
57,original,N,New_N_058.wav,32-2,DeepONMF_H2,2,nndsvd,0.13492746797227667,2x212,0.0625581000931561,32,0.06253992143572082,0.19035156601045625,0.05338360008317977,2,0.0858618083162574,0.6210302431900716,0.007846500026062131
58,original,N,New_N_059.wav,32-2,DeepONMF_H2,2,nndsvd,0.14039001869519824,2x212,0.06065520003903657,32,0.0653472164102462,0.16940143828554016,0.05424430000130087,2,0.08899362409304222,0.6123466634654792,0.0048177000135183334
59,original,N,New_N_060.wav,32-2,DeepONMF_H2,2,nndsvd,0.1403724859067364,2x212,0.056668899953365326,32,0.06831707949933045,0.19000643541266954,0.04892550001386553,2,0.088233403123887,0.6412802952524055,0.006681200000457466
60,original,N,New_N_061.wav,32-2,DeepONMF_H2,2,nndsvd,0.142359070750013,2x212,0.05850439995992929,32,0.0644539144245649,0.16811545433363018,0.05071250000037253,2,0.09485713135374652,0.660276781306931,0.006496399990282953
61,original,N,New_N_062.wav,32-2,DeepONMF_H2,2,nndsvd,0.13936694354950385,2x212,0.06410389998927712,32,0.06319461237175099,0.20111795643978192,0.05529749998822808,2,0.09131651147401455,0.6396206262597446,0.007174200029112399
62,original,N,New_N_063.wav,32-2,DeepONMF_H2,2,nndsvd,0.14208761809974524,2x212,0.056841100100427866,32,0.06395128637281168,0.1579235841704915,0.047794300015084445,2,0.0919275122545724,0.464829436147662,0.007676599896512926
63,original,N,New_N_064.wav,32-2,DeepONMF_H2,2,nndsvd,0.137377582178475,2x212,0.06202289997600019,32,0.06196307221831494,0.16356515159022236,0.050726499990560114,2,0.08721411925085813,0.6295434230850956,0.009943399927578866
64,original,N,New_N_065.wav,32-2,DeepONMF_H2,2,nndsvd,0.14170748237020891,2x212,0.06498310004826635,32,0.06425122128125135,0.1589745239714802,0.05578349996358156,2,0.09658492297674537,0.4687914341127376,0.007928999955765903
