indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
37,SNR_0db,N,New_N_038.wav,14-11-8,DeepONMF_H3,3,nndsvd,0.34482285872853685,8x212,0.02646030008327216,14,0.2771810426430499,0.318557397711547,0.016978700063191354,11,0.12070131743633573,0.31472927602640044,0.0048269000835716724,8,0.12398722558025191,0.3044338930790661,0.0035629000049084425
38,SNR_0db,N,New_N_039.wav,14-11-8,DeepONMF_H3,3,nndsvd,0.34993814365662435,8x212,0.025882900110445917,14,0.28320598983978684,0.31106941781872877,0.01672139996662736,11,0.12433520315424722,0.3169125921799219,0.005096700042486191,8,0.13623675864048504,0.3077205848026541,0.0031568000558763742
39,SNR_0db,N,New_N_040.wav,14-11-8,DeepONMF_H3,3,nndsvd,0.3443177967631572,8x212,0.024527600035071373,14,0.2796993378444889,0.31572628555086396,0.015755599946714938,11,0.12121036895751847,0.31642319441285255,0.004787600017152727,8,0.12447067660522948,0.3175646562258329,0.002926600049249828
40,SNR_0db,N,New_N_041.wav,14-11-8,DeepONMF_H3,3,nndsvd,0.3420110346759585,8x212,0.024657099973410368,14,0.2764659167999575,0.33388939337946727,0.01626039994880557,11,0.11875358979805108,0.3426944705481619,0.004446099977940321,8,0.12333645743116066,0.34969732035391005,0.0029678000137209892
41,SNR_0db,N,New_N_042.wav,14-11-8,DeepONMF_H3,3,nndsvd,0.34894578472185495,8x212,0.024562599952332675,14,0.2821910537270197,0.30204202399105234,0.015762499999254942,11,0.12152062831973107,0.3144984660555467,0.004872200079262257,8,0.12162325885369522,0.3091141996589347,0.003009699983522296
42,SNR_0db,N,New_N_043.wav,14-11-8,DeepONMF_H3,3,nndsvd,0.34041032035660224,8x212,0.02471009991131723,14,0.273159481328673,0.32795931106294757,0.016537100076675415,11,0.11777356629470745,0.3380576059227215,0.0041840000776574016,8,0.12053341019167256,0.3533674147480871,0.0029022000962868333
43,SNR_0db,N,New_N_044.wav,14-11-8,DeepONMF_H3,3,nndsvd,0.3424353215250257,8x212,0.024313500034622848,14,0.27736682698119736,0.3331180523052437,0.01570520002860576,11,0.11332420898514171,0.34482100555890527,0.004733100067824125,8,0.1214275219922502,0.34613988053542377,0.0029284999473020434
44,SNR_0db,N,New_N_045.wav,14-11-8,DeepONMF_H3,3,nndsvd,0.34191332117681683,8x212,0.024214099976234138,14,0.2755466352573122,0.3294025394714234,0.016536999959498644,11,0.1196979196466251,0.33036908780653906,0.003949199919588864,8,0.1213222429935307,0.3511995684908175,0.0028597000055015087
45,SNR_0db,N,New_N_046.wav,14-11-8,DeepONMF_H3,3,nndsvd,0.3365070495968143,8x212,0.024953700019977987,14,0.2705047269492735,0.3281028872221474,0.01616409991402179,11,0.11764456142513827,0.33111190110166144,0.0048454999923706055,8,0.124539848422894,0.3470532399683725,0.002928399946540594
46,SNR_0db,N,New_N_047.wav,14-11-8,DeepONMF_H3,3,nndsvd,0.3383838476253522,8x212,0.0237489000428468,14,0.27334083420601596,0.32620657433919015,0.01568419998511672,11,0.11390974701817247,0.34239135970391993,0.004301300039514899,8,0.12290298513877417,0.3410620301118448,0.0027885999297723174
