indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
604,SNR_-8db,MS,New_MS_005.wav,16-10-6,DeepONMF_H3,3,0.4431647726905676,6x212,0.014775199932046235,16,0.3447667406574164,0.30159148023119375,0.008080799947492778,10,0.39754581908926273,0.2504671324105909,0.003322300035506487,6,0.4444295632488525,0.23514889020046909,0.0025179999647662044
605,SNR_-8db,MS,New_MS_006.wav,16-10-6,DeepONMF_H3,3,0.44444667506323754,6x212,0.014531299937516451,16,0.34306228732279725,0.2686072428726815,0.007685999968089163,10,0.429349543270381,0.23560849881419926,0.003462800057604909,6,0.4633868464720593,0.22783561465865107,0.0025009000673890114
606,SNR_-8db,MS,New_MS_007.wav,16-10-6,DeepONMF_H3,3,0.46815601641345667,6x212,0.015384300029836595,16,0.35015375859399084,0.3005758495440728,0.007787600043229759,10,0.43179863961656084,0.2134743904324156,0.004283600021153688,6,0.47557266540888266,0.18197486253100156,0.002490699989721179
607,SNR_-8db,MS,New_MS_008.wav,16-10-6,DeepONMF_H3,3,0.4470803205048639,6x212,0.015122600016184151,16,0.3484571578271185,0.2890581625094965,0.0077825000043958426,10,0.420883320610801,0.20572141446399533,0.00417219998780638,6,0.4614575021977839,0.16019508154774698,0.0024700999492779374
608,SNR_-8db,MS,New_MS_009.wav,16-10-6,DeepONMF_H3,3,0.463165315500524,6x212,0.013855700031854212,16,0.3522586097050414,0.2896309025261666,0.007147000054828823,10,0.41952422272356066,0.2418267894776562,0.0032125000143423676,6,0.46960534492929223,0.23289960181120542,0.0026195000391453505
609,SNR_-8db,MS,New_MS_010.wav,16-10-6,DeepONMF_H3,3,0.46265316614022844,6x212,0.014083000016398728,16,0.35131713367480355,0.2866320087426904,0.007644900004379451,10,0.43470123336586675,0.21428193082129243,0.0032642000587657094,6,0.4707034269280076,0.20034840952409796,0.0024609999964013696
610,SNR_-8db,MS,New_MS_011.wav,16-10-6,DeepONMF_H3,3,0.4450992915593331,6x212,0.01507389999460429,16,0.3490288898398972,0.31579329753100527,0.00841539993416518,10,0.42259873850682406,0.25027859773313654,0.0035302999895066023,6,0.43365824703902456,0.2263423332858449,0.00237960007507354
611,SNR_-8db,MS,New_MS_012.wav,16-10-6,DeepONMF_H3,3,0.44689706811820945,6x212,0.014115499914623797,16,0.35845730159845435,0.29567428358968717,0.007674599997699261,10,0.403450659226591,0.24519723164418977,0.0031531000277027488,6,0.46366409464560693,0.22380374777844264,0.0024344000266864896
612,SNR_-8db,MS,New_MS_013.wav,16-10-6,DeepONMF_H3,3,0.4459956951673089,6x212,0.015238399966619909,16,0.341024397177001,0.2891129936549204,0.007946900092065334,10,0.42723436842916845,0.22214780014327412,0.003251599962823093,6,0.4676692420661737,0.1981400687254826,0.002480100025422871
613,SNR_-8db,MS,New_MS_014.wav,16-10-6,DeepONMF_H3,3,0.44130576342664424,6x212,0.014989200048148632,16,0.3439768154869251,0.2955528458321442,0.008687699912115932,10,0.4349082940282373,0.276253071990753,0.0031247999286279082,6,0.44685323973304253,0.26189792371585935,0.0024266999680548906
614,SNR_-8db,MS,New_MS_015.wav,16-10-6,DeepONMF_H3,3,0.443633397698271,6x212,0.014463800005614758,16,0.36216282701500424,0.31637434825763416,0.007501700078137219,10,0.4107006837729078,0.24977610109891593,0.003582900040782988,6,0.4292907537697516,0.2101507134758846,0.0025498000904917717
615,SNR_-8db,MS,New_MS_016.wav,16-10-6,DeepONMF_H3,3,0.363217456250066,6x212,0.01520999998319894,16,0.2791836867173613,0.3136708477917267,0.008353000041097403,10,0.3812784748755346,0.23577192757885623,0.003630999941378832,6,0.44457874016642507,0.2089317474305116,0.002541199908591807
616,SNR_-8db,MS,New_MS_017.wav,16-10-6,DeepONMF_H3,3,0.4474773852532482,6x212,0.0150916000129655,16,0.35997716395256985,0.3137698380376499,0.007418800028972328,10,0.40507648214862074,0.24102078170105162,0.004359100013971329,6,0.4246516110011738,0.2262239182335344,0.002688799984753132
617,SNR_-8db,MS,New_MS_018.wav,16-10-6,DeepONMF_H3,3,0.44568495480938886,6x212,0.014481700025498867,16,0.3666786479546925,0.305977510864981,0.00758129998575896,10,0.4230554870419618,0.2628605601619023,0.0034754000371322036,6,0.46237578392978085,0.24816013374689214,0.002512899925932288
618,SNR_-8db,MS,New_MS_019.wav,16-10-6,DeepONMF_H3,3,0.44564906848340147,6x212,0.014340699999593198,16,0.36295556039400817,0.305734401293985,0.007627599989064038,10,0.4134582609283057,0.25782604657579583,0.0034271000185981393,6,0.4532302229961194,0.24761820262113907,0.002391899935901165
619,SNR_-8db,MS,New_MS_020.wav,16-10-6,DeepONMF_H3,3,0.4477416929930257,6x212,0.014550499967299402,16,0.36039087647820367,0.3231522183441797,0.007914400077424943,10,0.44736840039881537,0.26030281203427486,0.003438499988988042,6,0.4429385772388678,0.22162962669645278,0.0024704999523237348
620,SNR_-8db,MS,New_MS_021.wav,16-10-6,DeepONMF_H3,3,0.44580882404305716,6x212,0.014699699939228594,16,0.359540465033679,0.3010607214565611,0.008196900016628206,10,0.4142547072821224,0.230103490769741,0.0032454999163746834,6,0.4667559848942647,0.22260991281144418,0.002523500006645918
