inicializacion,metodo,clase,archivo,ruta,duracion_s,tramas_pcg,columnas_matriz_x,forma_w_final,error_final,segundos,capa1_error,capa1_ortogonalidad,capa1_segundos,capa2_error,capa2_ortogonalidad,capa2_segundos,capa3_error,capa3_ortogonalidad,capa3_segundos
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_118.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_118.wav,3.11375,2,424,126x7,0.10059015962233486,0.04049409995786846,0.04844311528010001,0.5018396115411653,0.023814700078219175,0.11925997291678517,0.2848245884584312,0.008015000028535724,0.2006560920595355,0.16413319458727005,0.00807449989952147
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_119.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_119.wav,2.03675,1,212,126x7,0.12203284559939619,0.0259012000169605,0.05335065052894103,0.6414774652840394,0.013458899920806289,0.13412377195037362,0.34476329656178917,0.0061616001185029745,0.23334266955117947,0.24682658671009344,0.00584629992954433
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_120.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_120.wav,2.0,1,212,126x7,0.11746080293377417,0.027619800064712763,0.053393333870148496,0.6258002469865872,0.013608000008389354,0.12423080463601172,0.35317732791251805,0.006106300046667457,0.18330770119082626,0.21950363279898635,0.007445000112056732
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_121.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_121.wav,2.1225,1,212,126x7,0.10783176881565741,0.025843899929895997,0.050233332364381336,0.6404585350619248,0.013568900059908628,0.14733564851419667,0.3519250495356666,0.006013300037011504,0.19176211080879432,0.21844194028227396,0.0058259000070393085
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_122.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_122.wav,2.0075,1,212,126x7,0.10961864575130137,0.02602249989286065,0.052358603796297004,0.6316257125368697,0.01365620014257729,0.13585550838501803,0.3397877090927603,0.006194900022819638,0.25813170190333035,0.246267337629165,0.00580449984408915
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_123.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_123.wav,2.11675,1,212,126x7,0.11224973368181525,0.026165399933233857,0.052075054342696075,0.6207234467438053,0.01391509990207851,0.1380768305208092,0.3450522348277109,0.006049900082871318,0.24217065480560862,0.22402372808851562,0.005791299976408482
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_125.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_125.wav,3.088625,2,424,126x7,0.1202224790411567,0.04156509996391833,0.05998900747429577,0.6640301233997962,0.02322160010226071,0.14132222645059012,0.35999957625452866,0.009059100179001689,0.24630395511363357,0.2504482826353683,0.00863040005788207
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_126.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_126.wav,2.974625,1,212,126x7,0.09126458788817414,0.02702640020288527,0.05613437253186372,0.6447919547791885,0.013793300138786435,0.1349788896292461,0.34558278603123266,0.00637629977427423,0.22886882570328462,0.21972852899515102,0.006308599840849638
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_127.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_127.wav,3.0675,2,424,126x7,0.11090576798525903,0.04830840020440519,0.056490642589552595,0.6467453454811177,0.027515500085428357,0.1294085007654962,0.3600361610990244,0.009502700064331293,0.22009921093466958,0.24727239365924658,0.01071349997073412
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_128.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_128.wav,2.907125,1,212,126x7,0.1030710108181439,0.03115230007097125,0.05308726785786406,0.6325102483591889,0.015419099945574999,0.14460024302962268,0.33595737271932613,0.008584900060668588,0.21263923684444838,0.2236202539618482,0.006636099889874458
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_129.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_129.wav,2.991,1,212,126x7,0.14776618274729122,0.03503260016441345,0.07626481305271375,0.4702849328117275,0.015497900079935789,0.15764597983372367,0.26253321295804843,0.007309200009331107,0.25114412695205973,0.17538161613552136,0.01150289992801845
