indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos
33,SNR_0db,N,New_N_034.wav,10,DeepONMF_H1,1,0.3037497888431521,10x212,0.009445799980312586,10,0.3037497888431521,0.2700381509085103,0.0085989999352023
34,SNR_0db,N,New_N_035.wav,10,DeepONMF_H1,1,0.30699688876321424,10x212,0.007697900058701634,10,0.30699688876321424,0.21682909394076358,0.007013500086031854
35,SNR_0db,N,New_N_036.wav,10,DeepONMF_H1,1,0.3039904682169571,10x212,0.00885689991991967,10,0.3039904682169571,0.24913956648862848,0.008200099924579263
36,SNR_0db,N,New_N_037.wav,10,DeepONMF_H1,1,0.22311265548054185,10x212,0.007630100008100271,10,0.22311265548054185,0.2283799881237454,0.00702290004119277
37,SNR_0db,N,New_N_038.wav,10,DeepONMF_H1,1,0.3085317615595714,10x212,0.008661599946208298,10,0.3085317615595714,0.2193816528646109,0.007911100052297115
38,SNR_0db,N,New_N_039.wav,10,DeepONMF_H1,1,0.3106903762765116,10x212,0.007504799985326827,10,0.3106903762765116,0.2486737919880777,0.00697240000590682
39,SNR_0db,N,New_N_040.wav,10,DeepONMF_H1,1,0.30294995338950337,10x212,0.00842279999051243,10,0.30294995338950337,0.23200729879034784,0.007774399942718446
40,SNR_0db,N,New_N_041.wav,10,DeepONMF_H1,1,0.3068047147241681,10x212,0.007536699995398521,10,0.3068047147241681,0.21170354273741027,0.006950700073502958
41,SNR_0db,N,New_N_042.wav,10,DeepONMF_H1,1,0.30902965284931794,10x212,0.009057099930942059,10,0.30902965284931794,0.24606147403582643,0.008417899953201413
42,SNR_0db,N,New_N_043.wav,10,DeepONMF_H1,1,0.3005106781379892,10x212,0.008400299935601652,10,0.3005106781379892,0.271004191139049,0.007612699992023408
43,SNR_0db,N,New_N_044.wav,10,DeepONMF_H1,1,0.30448957389064735,10x212,0.009239899925887585,10,0.30448957389064735,0.26241690312901994,0.008495199959725142
44,SNR_0db,N,New_N_045.wav,10,DeepONMF_H1,1,0.3051938554771279,10x212,0.008197400020435452,10,0.3051938554771279,0.27398656862804854,0.007389700040221214
45,SNR_0db,N,New_N_046.wav,10,DeepONMF_H1,1,0.29891042325302375,10x212,0.008884800015948713,10,0.29891042325302375,0.22405395046036577,0.008152900030836463
46,SNR_0db,N,New_N_047.wav,10,DeepONMF_H1,1,0.29992257218211094,10x212,0.0077853999100625515,10,0.29992257218211094,0.24161037884338535,0.007072000065818429
47,SNR_0db,N,New_N_048.wav,10,DeepONMF_H1,1,0.30616009547083217,10x212,0.008552700048312545,10,0.30616009547083217,0.2636016540350429,0.007774299941956997
48,SNR_0db,N,New_N_049.wav,10,DeepONMF_H1,1,0.30881572957475184,10x212,0.007496600039303303,10,0.30881572957475184,0.24940087343039186,0.006656899931840599
49,SNR_0db,N,New_N_050.wav,10,DeepONMF_H1,1,0.3046961122916471,10x212,0.00749400001950562,10,0.3046961122916471,0.27080740982251894,0.006824599928222597
50,SNR_0db,N,New_N_051.wav,10,DeepONMF_H1,1,0.30258190933215623,10x212,0.007473899982869625,10,0.30258190933215623,0.2920940347728595,0.0067251999862492085
51,SNR_0db,N,New_N_052.wav,10,DeepONMF_H1,1,0.30582828355714153,10x212,0.007654600078240037,10,0.30582828355714153,0.2569820396033253,0.006946500041522086
52,SNR_0db,N,New_N_053.wav,10,DeepONMF_H1,1,0.30424237132417065,10x212,0.007056700065732002,10,0.30424237132417065,0.25627175967126276,0.006397200049832463
53,SNR_0db,N,New_N_054.wav,10,DeepONMF_H1,1,0.30181460269023996,10x212,0.007099500042386353,10,0.30181460269023996,0.28446903127877743,0.0064959999872371554
54,SNR_0db,N,New_N_055.wav,10,DeepONMF_H1,1,0.3070138099284725,10x212,0.007603799924254417,10,0.3070138099284725,0.245987992066479,0.006943900021724403
55,SNR_0db,N,New_N_056.wav,10,DeepONMF_H1,1,0.3023311298763094,10x212,0.007008800050243735,10,0.3023311298763094,0.2443947292508484,0.0063180000288411975
56,SNR_0db,N,New_N_057.wav,10,DeepONMF_H1,1,0.3004099874649179,10x212,0.007924600038677454,10,0.3004099874649179,0.24448751706371002,0.007298400043509901
57,SNR_0db,N,New_N_058.wav,10,DeepONMF_H1,1,0.30653210657637175,10x212,0.007043400080874562,10,0.30653210657637175,0.23743768659501435,0.006415999960154295
58,SNR_0db,N,New_N_059.wav,10,DeepONMF_H1,1,0.3069824091023586,10x212,0.00800789997447282,10,0.3069824091023586,0.2634943372936935,0.00739609997253865
