indice_interno,distribucion,numero_capas,error_final,forma_h_final,segundos_extraccion,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h
138,6-8,2,0.13417365320498048,8x212,0.012539199989987537,6,0.0926900241566541,0.3540304794994507,8,0.0866580885012548,0.1493566863552122
139,6-8,2,0.11614744891160732,8x212,0.011949900013860315,6,0.08254809458848983,0.26047059367163455,8,0.07419943599227316,0.1251013808127655
140,6-8,2,0.11711329119167194,8x212,0.015395099995657802,6,0.07228874962705174,0.37242421562433703,8,0.08610934809071545,0.16222368685589203
141,6-8,2,0.11805768693825743,8x212,0.012865199998486787,6,0.08494993892469896,0.3597792598049948,8,0.06577016312000152,0.15798600814049854
142,6-8,2,0.11588644554733098,8x212,0.01913040000363253,6,0.07702545087499146,0.2558398205323032,8,0.08231188978045018,0.13814619914265544
143,6-8,2,0.1129108611176375,8x212,0.015331900009186938,6,0.08208694051181115,0.2563418746832763,8,0.05469186142524117,0.15530648178660522
144,6-8,2,0.1189261848234336,8x212,0.011195700004464015,6,0.07993560370138754,0.3716934044526276,8,0.09402183087381147,0.20099680040261989
145,6-8,2,0.1280354581748421,8x212,0.012465200008591637,6,0.07692097228097228,0.3553633895185167,8,0.16998719843589102,0.14002560852559146
146,6-8,2,0.11335869678644561,8x212,0.012848799990024418,6,0.07557922883396598,0.23234153231653665,8,0.06253966815486221,0.10205843006672491
147,6-8,2,0.10459528764142237,8x212,0.012423000007402152,6,0.06555053479626963,0.36424672197147107,8,0.06448993349268908,0.1847263752002712
148,6-8,2,0.12385223158067701,8x212,0.011796400009188801,6,0.09942350716304182,0.4201103092619976,8,0.0621573083844437,0.20701452498564052
149,6-8,2,0.11004634396708447,8x212,0.012599100009538233,6,0.07384443134142542,0.247652784076593,8,0.07315254788121706,0.10783641687034452
150,6-8,2,0.11186781536152128,8x212,0.012153999996371567,6,0.08090457090744334,0.3173081981085201,8,0.06273074097308125,0.18307242208007257
151,6-8,2,0.10237700530531361,8x212,0.012842800002545118,6,0.06485082840968583,0.2970432205019681,8,0.05558899629820585,0.19020438794512215
152,6-8,2,0.11511444056640029,8x212,0.012392999982694164,6,0.08821095370450117,0.4292905144472056,8,0.08000453676759409,0.22024570687077347
153,6-8,2,0.1088758534785531,8x212,0.012581000017235056,6,0.08181288130757539,0.3691463591412168,8,0.063766077403559,0.1667429750348516
154,6-8,2,0.10726580613479615,8x212,0.012779299984686077,6,0.07640283491539099,0.3490740759049056,8,0.07853400112755764,0.1612750459744369
155,6-8,2,0.13594149999938765,8x212,0.012914299994008616,6,0.08636948556848627,0.3220037098311094,8,0.10634397399071738,0.14244798067991102
156,6-8,2,0.1260392392609936,8x212,0.012563699972815812,6,0.08349104781066512,0.2742598642639441,8,0.09504397586256393,0.20771138054886887
157,6-8,2,0.12342735730704785,8x212,0.012633300008019432,6,0.0839700610270803,0.3624943690115329,8,0.09682132270820684,0.19525665857957872
158,6-8,2,0.11664662337388867,8x212,0.011798500025179237,6,0.07435318150131037,0.2954516885825661,8,0.10226761083653159,0.14441479771469806
159,6-8,2,0.12258727694065209,8x212,0.012601199996424839,6,0.0908133753262186,0.1809573953639298,8,0.052323010121512,0.11844811891272553
160,6-8,2,0.14954493641813468,8x212,0.014929800003301352,6,0.10898482053481814,0.35673336145831963,8,0.08372800245669892,0.14956624762334303
161,6-8,2,0.110514728708823,8x212,0.013317600009031594,6,0.07905641641485689,0.29656331923700124,8,0.05989341796511346,0.16518598804332255
162,6-8,2,0.13876442752492785,8x212,0.01203949999762699,6,0.09171174869727021,0.3432380293208711,8,0.13428540793427804,0.20636178480069825
163,6-8,2,0.12832179304603025,8x212,0.013544499990530312,6,0.09923196715612989,0.3051277429849515,8,0.062333848318588764,0.2076466430293768
164,6-8,2,0.13969427982326513,8x212,0.0112438999931328,6,0.08691359406903473,0.29416287158436016,8,0.12269242470581387,0.17534864147844534
165,6-8,2,0.11912021244525342,8x212,0.012650200020289049,6,0.08685009430324225,0.3508699573598671,8,0.07930451709917274,0.16749642868114448
166,6-8,2,0.11160744942107144,8x212,0.01312859999598004,6,0.08031909629675359,0.32040197864733705,8,0.05466937761859527,0.20403787161033837
167,6-8,2,0.1319666384883779,8x212,0.012562899995828047,6,0.09583597352219257,0.27469630600382583,8,0.09214405178492413,0.1452703477472672
168,6-8,2,0.1293104941968125,8x212,0.011517100007040426,6,0.09394512396793611,0.29722267674062447,8,0.10227687231482152,0.17641585804600884
169,6-8,2,0.14597109019881682,8x212,0.012427000008756295,6,0.10130320599113703,0.25310104767465924,8,0.14814606488935236,0.14167181353133507
170,6-8,2,0.1448919452553414,8x212,0.011957099981373176,6,0.10002800012123438,0.2873516712720828,8,0.1263955643746392,0.15076249703669423
171,6-8,2,0.11274046448712269,8x212,0.012572600011480972,6,0.08006373441486683,0.2770402244825985,8,0.05236078598334931,0.186851626603284
172,6-8,2,0.12649320241257878,8x212,0.012659600004553795,6,0.0749866049611348,0.3969313381269114,8,0.14301509542779015,0.18038158262429663
173,6-8,2,0.1292503150245007,8x212,0.012309299985645339,6,0.09343964803468541,0.34493671457446884,8,0.09037214558486635,0.19081270123055244
174,6-8,2,0.12474098725508029,8x212,0.011982900003204122,6,0.09764353487514803,0.3467701686211883,8,0.06645413931429192,0.20191842938416565
175,6-8,2,0.11821088778387157,8x212,0.012798500014469028,6,0.09077348782744965,0.3826510885910996,8,0.05776642437216358,0.2188239375952091
176,6-8,2,0.13454120202230202,8x212,0.012869500002125278,6,0.07784247396357431,0.24376768751194866,8,0.12769965386594062,0.16311443430575595
