indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos
583,SNR_-8db,MR,New_MR_184.wav,10,DeepONMF_H1,1,0.39148770551547196,10x212,0.008098899968899786,10,0.39148770551547196,0.33222432670145174,0.007306199986487627
584,SNR_-8db,MR,New_MR_185.wav,10,DeepONMF_H1,1,0.39180480886746977,10x212,0.008104600012302399,10,0.39180480886746977,0.32727350929819704,0.007523200009018183
585,SNR_-8db,MR,New_MR_186.wav,10,DeepONMF_H1,1,0.39268649897499974,10x212,0.009463599999435246,10,0.39268649897499974,0.3288512374609148,0.008801999967545271
586,SNR_-8db,MR,New_MR_187.wav,10,DeepONMF_H1,1,0.395377446510494,10x212,0.00796059996355325,10,0.395377446510494,0.33155129416348045,0.007343799923546612
587,SNR_-8db,MR,New_MR_188.wav,10,DeepONMF_H1,1,0.39823614719815065,10x212,0.007982099894434214,10,0.39823614719815065,0.3250810571605693,0.00739909999538213
588,SNR_-8db,MR,New_MR_189.wav,10,DeepONMF_H1,1,0.3920757257781787,10x212,0.007792699965648353,10,0.3920757257781787,0.3451292655461001,0.0070689000422134995
589,SNR_-8db,MR,New_MR_190.wav,10,DeepONMF_H1,1,0.3914448850957407,10x212,0.008554099942557514,10,0.3914448850957407,0.3180309330652249,0.007833499927073717
590,SNR_-8db,MR,New_MR_191.wav,10,DeepONMF_H1,1,0.39362918171669536,10x212,0.007523500011302531,10,0.39362918171669536,0.3570712403298533,0.006986599997617304
591,SNR_-8db,MR,New_MR_192.wav,10,DeepONMF_H1,1,0.395447114501924,10x212,0.008132699993439019,10,0.395447114501924,0.3160901423858427,0.007226700079627335
592,SNR_-8db,MR,New_MR_193.wav,10,DeepONMF_H1,1,0.39773633697982663,10x212,0.009363000048324466,10,0.39773633697982663,0.30104834044102435,0.008712199982255697
593,SNR_-8db,MR,New_MR_194.wav,10,DeepONMF_H1,1,0.38906794036599507,10x212,0.008345299982465804,10,0.38906794036599507,0.30966135148070983,0.007472999976016581
594,SNR_-8db,MR,New_MR_195.wav,10,DeepONMF_H1,1,0.39180606067588697,10x212,0.008440900011919439,10,0.39180606067588697,0.33617474368305,0.007751299999654293
595,SNR_-8db,MR,New_MR_196.wav,10,DeepONMF_H1,1,0.3917249178281723,10x212,0.009014400071464479,10,0.3917249178281723,0.30354772733738505,0.008078900049440563
596,SNR_-8db,MR,New_MR_197.wav,10,DeepONMF_H1,1,0.39364789843380593,10x212,0.007994299987331033,10,0.39364789843380593,0.29985137760282066,0.007374299922958016
597,SNR_-8db,MR,New_MR_198.wav,10,DeepONMF_H1,1,0.3946759007395763,10x212,0.008710799971595407,10,0.3946759007395763,0.33218486013499854,0.007982399896718562
598,SNR_-8db,MR,New_MR_199.wav,10,DeepONMF_H1,1,0.39182864721508254,10x212,0.008094699936918914,10,0.39182864721508254,0.286152499045841,0.0074637000216171145
599,SNR_-8db,MR,New_MR_200.wav,10,DeepONMF_H1,1,0.3897929475210103,10x212,0.008242700016126037,10,0.3897929475210103,0.30817504265676743,0.007594200083985925
600,SNR_-8db,MS,New_MS_001.wav,10,DeepONMF_H1,1,0.393891560920839,10x212,0.00785990001168102,10,0.393891560920839,0.3501946534640046,0.007181099965237081
601,SNR_-8db,MS,New_MS_002.wav,10,DeepONMF_H1,1,0.3911363169804484,10x212,0.00837410008534789,10,0.3911363169804484,0.3091261889484978,0.007633800036273897
602,SNR_-8db,MS,New_MS_003.wav,10,DeepONMF_H1,1,0.39321295219201347,10x212,0.007796499994583428,10,0.39321295219201347,0.31610881614306324,0.0071498999604955316
603,SNR_-8db,MS,New_MS_004.wav,10,DeepONMF_H1,1,0.39720625141434396,10x212,0.008064899942837656,10,0.39720625141434396,0.2770922750136028,0.007343999925069511
604,SNR_-8db,MS,New_MS_005.wav,10,DeepONMF_H1,1,0.37955441885142094,10x212,0.008462100056931376,10,0.37955441885142094,0.29386737977269733,0.007585500017739832
605,SNR_-8db,MS,New_MS_006.wav,10,DeepONMF_H1,1,0.37573849761598843,10x212,0.008413200033828616,10,0.37573849761598843,0.31886874510186103,0.007578499964438379
