indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos
567,SNR_8db,MR,New_MR_168.wav,26,DeepONMF_H1,1,nndsvd,0.16567680261301432,26x212,0.026688799960538745,26,0.16567680261301432,0.2528860696518773,0.02603200008161366
568,SNR_8db,MR,New_MR_169.wav,26,DeepONMF_H1,1,nndsvd,0.17025507944615878,26x212,0.02536039997357875,26,0.17025507944615875,0.2515106355293683,0.02473509998526424
569,SNR_8db,MR,New_MR_170.wav,26,DeepONMF_H1,1,nndsvd,0.17486993088976974,26x212,0.02640540001448244,26,0.17486993088976974,0.26332997491007754,0.025790699990466237
570,SNR_8db,MR,New_MR_171.wav,26,DeepONMF_H1,1,nndsvd,0.17273039893604433,26x212,0.025369200040586293,26,0.17273039893604433,0.23088213123938772,0.024496100028045475
571,SNR_8db,MR,New_MR_172.wav,26,DeepONMF_H1,1,nndsvd,0.17604547792090539,26x212,0.026448999997228384,26,0.17604547792090536,0.2599141507894887,0.025650299969129264
572,SNR_8db,MR,New_MR_173.wav,26,DeepONMF_H1,1,nndsvd,0.16920387205853124,26x212,0.027520200004801154,26,0.16920387205853124,0.23549982713231185,0.026804400025866926
573,SNR_8db,MR,New_MR_174.wav,26,DeepONMF_H1,1,nndsvd,0.17378193407117407,26x212,0.02585550001822412,26,0.17378193407117407,0.24129547237764779,0.025189799955114722
574,SNR_8db,MR,New_MR_175.wav,26,DeepONMF_H1,1,nndsvd,0.17035174503634953,26x212,0.0267933999421075,26,0.17035174503634953,0.24975900338378804,0.026126899989321828
575,SNR_8db,MR,New_MR_176.wav,26,DeepONMF_H1,1,nndsvd,0.16269318382601722,26x212,0.026262499974109232,26,0.16269318382601725,0.2545955859844698,0.02554130007047206
576,SNR_8db,MR,New_MR_177.wav,26,DeepONMF_H1,1,nndsvd,0.17810672557959084,26x212,0.02918019995559007,26,0.17810672557959084,0.2533535285043966,0.02843920001760125
577,SNR_8db,MR,New_MR_178.wav,26,DeepONMF_H1,1,nndsvd,0.16863260744023306,26x212,0.029107299982570112,26,0.16863260744023306,0.2704957701208275,0.02839210000820458
578,SNR_8db,MR,New_MR_179.wav,26,DeepONMF_H1,1,nndsvd,0.1782017117119144,26x212,0.024977800087071955,26,0.1782017117119144,0.254985486072787,0.02398729999549687
579,SNR_8db,MR,New_MR_180.wav,26,DeepONMF_H1,1,nndsvd,0.17938969517608877,26x212,0.027431200025603175,26,0.17938969517608877,0.247785278879605,0.02674280002247542
580,SNR_8db,MR,New_MR_181.wav,26,DeepONMF_H1,1,nndsvd,0.1841077856821222,26x212,0.02775340003427118,26,0.1841077856821222,0.24816547948108145,0.02713379997294396
581,SNR_8db,MR,New_MR_182.wav,26,DeepONMF_H1,1,nndsvd,0.16835077294983175,26x212,0.026415899978019297,26,0.16835077294983175,0.24271022971670575,0.025684399995952845
582,SNR_8db,MR,New_MR_183.wav,26,DeepONMF_H1,1,nndsvd,0.17245974074622458,26x212,0.026607500039972365,26,0.17245974074622458,0.2554081507479199,0.025915300007909536
583,SNR_8db,MR,New_MR_184.wav,26,DeepONMF_H1,1,nndsvd,0.16694066744280595,26x212,0.02744089998304844,26,0.16694066744280595,0.2683474271571266,0.02669849991798401
584,SNR_8db,MR,New_MR_185.wav,26,DeepONMF_H1,1,nndsvd,0.16771704840356627,26x212,0.02606140007264912,26,0.16771704840356627,0.2520610219323621,0.025322999921627343
585,SNR_8db,MR,New_MR_186.wav,26,DeepONMF_H1,1,nndsvd,0.18377466232622777,26x212,0.02879070001654327,26,0.18377466232622777,0.2361986232248404,0.028134799911640584
586,SNR_8db,MR,New_MR_187.wav,26,DeepONMF_H1,1,nndsvd,0.17505460681095686,26x212,0.02436029992531985,26,0.17505460681095683,0.24805879918008827,0.02349960000719875
587,SNR_8db,MR,New_MR_188.wav,26,DeepONMF_H1,1,nndsvd,0.1767501831468712,26x212,0.026555999997071922,26,0.1767501831468712,0.24675810244018206,0.02590259991120547
588,SNR_8db,MR,New_MR_189.wav,26,DeepONMF_H1,1,nndsvd,0.17937409027193216,26x212,0.025415699928998947,26,0.17937409027193216,0.2556625237467399,0.024561200058087707
589,SNR_8db,MR,New_MR_190.wav,26,DeepONMF_H1,1,nndsvd,0.17830787936309384,26x212,0.02802129997871816,26,0.17830787936309384,0.24763776142421,0.027192499954253435
590,SNR_8db,MR,New_MR_191.wav,26,DeepONMF_H1,1,nndsvd,0.18302937496811092,26x212,0.028659500065259635,26,0.1830293749681109,0.2528756236199851,0.027763399994000793
591,SNR_8db,MR,New_MR_192.wav,26,DeepONMF_H1,1,nndsvd,0.19008863708996973,26x212,0.027709600050002337,26,0.19008863708996973,0.24245587097777654,0.026552599971182644
592,SNR_8db,MR,New_MR_193.wav,26,DeepONMF_H1,1,nndsvd,0.17956142552040302,26x212,0.03030770004261285,26,0.17956142552040302,0.2350244743350712,0.029640200082212687
593,SNR_8db,MR,New_MR_194.wav,26,DeepONMF_H1,1,nndsvd,0.1585340166378793,26x212,0.028493700083345175,26,0.1585340166378793,0.2680088068456713,0.02784949995111674
594,SNR_8db,MR,New_MR_195.wav,26,DeepONMF_H1,1,nndsvd,0.1601282395428057,26x212,0.0286807999946177,26,0.1601282395428057,0.2592873106859042,0.028031499939970672
595,SNR_8db,MR,New_MR_196.wav,26,DeepONMF_H1,1,nndsvd,0.15766712640740416,26x212,0.029837099951691926,26,0.15766712640740413,0.2686377888866793,0.0288527999073267
596,SNR_8db,MR,New_MR_197.wav,26,DeepONMF_H1,1,nndsvd,0.1543234720012701,26x212,0.026273899944499135,26,0.1543234720012701,0.2669980618122446,0.025515499990433455
597,SNR_8db,MR,New_MR_198.wav,26,DeepONMF_H1,1,nndsvd,0.1541763319709465,26x212,0.028443299932405353,26,0.1541763319709465,0.27200303942303206,0.027740900055505335
598,SNR_8db,MR,New_MR_199.wav,26,DeepONMF_H1,1,nndsvd,0.15633277707229395,26x212,0.026247299974784255,26,0.15633277707229395,0.2811640918938047,0.025517100002616644
599,SNR_8db,MR,New_MR_200.wav,26,DeepONMF_H1,1,nndsvd,0.15109054274503927,26x212,0.02790869993623346,26,0.15109054274503927,0.2546583863894807,0.027180599980056286
