indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos,capa_4_rango,capa_4_error,capa_4_ortogonalidad_h,capa_4_segundos
43,SNR_-5db,N,New_N_044.wav,24-15-10-6,DeepONMF_H4,4,0.4741490936153147,6x212,0.02671620005276054,24,0.31121069417453245,0.2748252962493878,0.014407000038772821,15,0.41157739164825025,0.17817941571802876,0.00529680005274713,10,0.41918072415701596,0.12942795681726588,0.003308700048364699,6,0.4598444501606826,0.12468381724341401,0.0024571000831201673
44,SNR_-5db,N,New_N_045.wav,24-15-10-6,DeepONMF_H4,4,0.5123702381724073,6x212,0.029465100029483438,24,0.3129836462459049,0.2745138555631871,0.01749909995123744,15,0.4073983592193548,0.18334199279699182,0.004826200078241527,10,0.393207263850302,0.14757456302626434,0.003475500037893653,6,0.4404198411366,0.13977615679288302,0.002525799907743931
45,SNR_-5db,N,New_N_046.wav,24-15-10-6,DeepONMF_H4,4,0.4672705716643353,6x212,0.02755810006055981,24,0.31055277432342915,0.27592921939061826,0.015271899988874793,15,0.384986111131048,0.18734964221222647,0.0052683999529108405,10,0.41041632048902077,0.15636658563901543,0.0031435000710189342,6,0.4305094434011654,0.17539526557620835,0.0027848000172525644
46,SNR_-5db,N,New_N_047.wav,24-15-10-6,DeepONMF_H4,4,0.5008132715616326,6x212,0.02746290003415197,24,0.3106752370792235,0.2761780834592482,0.01597299997229129,15,0.41116490695643393,0.17708858156455912,0.004619500017724931,10,0.36349278821107495,0.1519930862304212,0.003173199947923422,6,0.4395804708041129,0.125816026880462,0.0024471000069752336
47,SNR_-5db,N,New_N_048.wav,24-15-10-6,DeepONMF_H4,4,0.46794189175963163,6x212,0.02695810003206134,24,0.30788158186233094,0.2717243452328844,0.01538210001308471,15,0.3929077216075744,0.16059272134365735,0.004500500042922795,10,0.3910226932601284,0.154637686940319,0.003684299997985363,6,0.41905362526429135,0.12933807305123535,0.00256910000462085
48,SNR_-5db,N,New_N_049.wav,24-15-10-6,DeepONMF_H4,4,0.46582641693082083,6x212,0.024509800015948713,24,0.311686715499324,0.2676989916970147,0.012993499985896051,15,0.3938494725161991,0.17542465678849936,0.004723099991679192,10,0.3514677895883697,0.14232003344628097,0.0032558999955654144,6,0.3941034504810373,0.09527769762616177,0.002505200100131333
49,SNR_-5db,N,New_N_050.wav,24-15-10-6,DeepONMF_H4,4,0.46291593419953575,6x212,0.028450399986468256,24,0.3110448908781949,0.2668686472587431,0.016434999997727573,15,0.35397014882485217,0.2096080193895938,0.005210099974647164,10,0.3548848017106817,0.1908778660040307,0.0032470999285578728,6,0.3934831330644087,0.15450140899023065,0.002486600074917078
50,SNR_-5db,N,New_N_051.wav,24-15-10-6,DeepONMF_H4,4,0.47728536423891665,6x212,0.02541550004389137,24,0.3133075685294634,0.26371454640788344,0.013843400054611266,15,0.39223048747739886,0.193153922673536,0.004507299978286028,10,0.3725432565199594,0.17022906836484722,0.003303100005723536,6,0.39989447763359676,0.12821012938432044,0.002729299943894148
51,SNR_-5db,N,New_N_052.wav,24-15-10-6,DeepONMF_H4,4,0.46768536166995683,6x212,0.0261355999391526,24,0.31300719812365524,0.27167705092239847,0.014064399991184473,15,0.3887661726073949,0.16661388589714032,0.005029299994930625,10,0.33513975204663854,0.13390794963154065,0.003254299983382225,6,0.43909642312553077,0.10825436879770797,0.0024947000201791525
52,SNR_-5db,N,New_N_053.wav,24-15-10-6,DeepONMF_H4,4,0.4815725001218631,6x212,0.026896400027908385,24,0.31375596157382774,0.27339980030186745,0.015055100084282458,15,0.36532947345236666,0.1942872095911623,0.0045004000421613455,10,0.37071116285538686,0.16402525377116547,0.0035309999948367476,6,0.41330756845247896,0.11443271722637542,0.0026576999807730317
53,SNR_-5db,N,New_N_054.wav,24-15-10-6,DeepONMF_H4,4,0.4762229881389953,6x212,0.026682700030505657,24,0.314370983321478,0.27810089963664913,0.01539239997509867,15,0.39452282044648296,0.16935225507567211,0.004567599971778691,10,0.426576139245968,0.15394879598280467,0.0032550001051276922,6,0.4436981744675607,0.11905550602338062,0.002436600043438375
54,SNR_-5db,N,New_N_055.wav,24-15-10-6,DeepONMF_H4,4,0.47515304127100616,6x212,0.028780599939636886,24,0.31433060817863057,0.29601390648254183,0.015480099944397807,15,0.39035446340907237,0.20385601464751704,0.006101000006310642,10,0.3826879291487078,0.17160144721015602,0.0033723999513313174,6,0.43266417239433547,0.15175067902330566,0.0024605999933555722
55,SNR_-5db,N,New_N_056.wav,24-15-10-6,DeepONMF_H4,4,0.47254996857452825,6x212,0.026045000064186752,24,0.3163325727608307,0.25877732470150955,0.014263699995353818,15,0.4186279448951646,0.20209879171243733,0.0045013000490143895,10,0.40817567847229663,0.17992830415973213,0.003149600001052022,6,0.4712646259837947,0.14292738898258456,0.0029483999824151397
56,SNR_-5db,N,New_N_057.wav,24-15-10-6,DeepONMF_H4,4,0.47981874458929535,6x212,0.028424899908713996,24,0.3104273266009602,0.25940088145708806,0.016326499986462295,15,0.40934647732005636,0.18888244196547485,0.0046067999210208654,10,0.39525778538713785,0.18295333138183548,0.0032464000396430492,6,0.4559047964694996,0.15911588450784855,0.0025228000013157725
57,SNR_-5db,N,New_N_058.wav,24-15-10-6,DeepONMF_H4,4,0.4695707507874881,6x212,0.028015400050207973,24,0.3139104031495427,0.2646303701288469,0.015772599959746003,15,0.42005026742200213,0.20230126728240988,0.005267900065518916,10,0.3855840180425577,0.19132870627728638,0.0035839000483974814,6,0.442118200216348,0.1913451428213695,0.002513999934308231
58,SNR_-5db,N,New_N_059.wav,24-15-10-6,DeepONMF_H4,4,0.47126257528255255,6x212,0.02839190000668168,24,0.3106890117114661,0.26352844091650796,0.016467500012367964,15,0.3922731139466132,0.18751735445974527,0.004548800061456859,10,0.3948594582519772,0.16937373430457534,0.003578700008802116,6,0.4510184222847512,0.17178889153925106,0.0027335999766364694
59,SNR_-5db,N,New_N_060.wav,24-15-10-6,DeepONMF_H4,4,0.4749195940695129,6x212,0.02773279999382794,24,0.31293641411544043,0.2718895854143764,0.01671680004801601,15,0.41121545799765313,0.17863630212700207,0.00444169994443655,10,0.38022867527017534,0.13643000945199651,0.0031408999348059297,6,0.4254420847194533,0.12645046412757197,0.002621700055897236
60,SNR_-5db,N,New_N_061.wav,24-15-10-6,DeepONMF_H4,4,0.4852216488577183,6x212,0.028576299897395074,24,0.31375604402596213,0.26824505480868016,0.016915100044570863,15,0.38509308499114936,0.21507278794721524,0.004917200072668493,10,0.4080565021450257,0.1499263288085586,0.003245500032790005,6,0.4565493667129609,0.14167119358820546,0.002465300029143691
61,SNR_-5db,N,New_N_062.wav,24-15-10-6,DeepONMF_H4,4,0.4766135768301511,6x212,0.027900999994017184,24,0.3104289614365517,0.28712337646564706,0.016214199946261942,15,0.3903834731490839,0.18583390353650228,0.004615499987266958,10,0.37816120922697183,0.16672873891878492,0.0035931000020354986,6,0.42037704909720175,0.14752666146494336,0.002689399989321828
