indice_interno,clase,archivo,distribucion,numero_capas,error_final,forma_w_final,forma_h_final,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos
67,N,New_N_068.wav,17-10,2,0.1006428788746803,126x10,10x212,17,0.04186351358385915,0.4501716876926191,0.009649100000387989,10,0.22241247290137586,0.20347728166335485,0.0060713999992003664
68,N,New_N_069.wav,17-10,2,0.11361170015822929,126x10,10x212,17,0.04191959520445583,0.40478322118581156,0.0099774000045727,10,0.21317753204727016,0.21077066997490804,0.0039000999968266115
69,N,New_N_070.wav,17-10,2,0.121712618252114,126x10,10x212,17,0.044773940669135835,0.3694646023495832,0.01043319999735104,10,0.25445202693464997,0.15880757217103955,0.003956799999286886
70,N,New_N_071.wav,17-10,2,0.11650572964777947,126x10,10x212,17,0.04778420252898515,0.3985372957889177,0.009910400003718678,10,0.23422098656333665,0.17565379003882156,0.003565599996363744
71,N,New_N_072.wav,17-10,2,0.12479421718433448,126x10,10x212,17,0.04232449794126068,0.3890466553954574,0.009921899996697903,10,0.235384065056393,0.18589065080602307,0.0034547000032034703
72,N,New_N_073.wav,17-10,2,0.1247058544735859,126x10,10x212,17,0.041955092596640174,0.4133441496099041,0.009294199997384567,10,0.256551258764465,0.1508355600371461,0.0035538000011001714
73,N,New_N_074.wav,17-10,2,0.11244940823599958,126x10,10x212,17,0.045215220963617644,0.3878684508344887,0.009468700001889374,10,0.20272660103016515,0.1960665116336108,0.003798300000198651
74,N,New_N_075.wav,17-10,2,0.12286583649105923,126x10,10x212,17,0.04588701521985557,0.3955118532651558,0.009185699993395247,10,0.2460610441332175,0.19638784645896556,0.004165800004557241
75,N,New_N_076.wav,17-10,2,0.12786339888335724,126x10,10x212,17,0.03866599239269242,0.33841064582590485,0.009998600005928893,10,0.23757112016637816,0.16724000392496347,0.004041299995151348
76,N,New_N_077.wav,17-10,2,0.11675675230420443,126x10,10x212,17,0.04577119515174568,0.3959060469925021,0.009579099998518359,10,0.2326726975994875,0.20002308269053387,0.0039116000043577515
77,N,New_N_078.wav,17-10,2,0.1108756180081886,126x10,10x212,17,0.04701223602289892,0.42928344824607634,0.009813099997700192,10,0.2291606019295824,0.19430486449132647,0.004546700001810677
78,N,New_N_079.wav,17-10,2,0.11388297630603816,126x10,10x212,17,0.047661313616345735,0.33264733962195836,0.009432500002731103,10,0.2092836729782801,0.1534333928629579,0.0037910000028205104
79,N,New_N_080.wav,17-10,2,0.13025775280995514,126x10,10x212,17,0.04171100184843988,0.37339057269606735,0.009527599999273662,10,0.24836721954104146,0.19121700781755507,0.003360800001246389
80,N,New_N_081.wav,17-10,2,0.12634532337716453,126x10,10x212,17,0.038496539167122,0.40170405082821065,0.010258800000883639,10,0.3075032065857681,0.1894678748982095,0.003404800001590047
81,N,New_N_082.wav,17-10,2,0.12064939607361437,126x10,10x212,17,0.04823139825676238,0.39125658111308115,0.009597500000381842,10,0.23990650481026135,0.14286819769512812,0.0035941000023740344
82,N,New_N_083.wav,17-10,2,0.12234037133091179,126x10,10x212,17,0.04365858377862673,0.3555406807506359,0.009396500005095731,10,0.22990199092443037,0.1701718422185365,0.003488000002107583
83,N,New_N_084.wav,17-10,2,0.11888724486417421,126x10,10x212,17,0.04288350179761114,0.411279767567867,0.008819399998174049,10,0.25006748999919076,0.23190690711323336,0.0038634000011370517
84,N,New_N_085.wav,17-10,2,0.12010699638698548,126x10,10x212,17,0.039929987767598416,0.3882845713292456,0.008827899997413624,10,0.21472254789472275,0.15007408804479083,0.00403550000191899
85,N,New_N_086.wav,17-10,2,0.11977378254972726,126x10,10x212,17,0.04606585251624369,0.38981594738847436,0.008299200002511498,10,0.21131246898559525,0.12972278145535826,0.00431659999594558
86,N,New_N_087.wav,17-10,2,0.11980828164636086,126x10,10x212,17,0.04086541670955791,0.4254721227697363,0.008410099995671771,10,0.28326633483122465,0.17096038021040746,0.003711299999849871
87,N,New_N_088.wav,17-10,2,0.1286667563650067,126x10,10x212,17,0.04189884422814713,0.41490048029278703,0.008598800006438978,10,0.2711262013489684,0.19113400494302174,0.004271000005246606
88,N,New_N_089.wav,17-10,2,0.11286266654589089,126x10,10x212,17,0.039405040853022204,0.4328782712341,0.009020499994221609,10,0.2516491141271963,0.18814557612690774,0.003954500003601424
89,N,New_N_090.wav,17-10,2,0.1319530393189965,126x10,10x212,17,0.04867121431565683,0.3771809100450184,0.008559000001696404,10,0.23149797619643986,0.14969887791291955,0.0040070000031846575
90,N,New_N_091.wav,17-10,2,0.12065652493826193,126x10,10x212,17,0.04292152603368321,0.42481413827601117,0.008957199999713339,10,0.26252776347207507,0.18933381830098253,0.003239700003177859
91,N,New_N_092.wav,17-10,2,0.11854918489472845,126x10,10x212,17,0.050072679553377006,0.3917365223712165,0.008960499995737337,10,0.22792165610209103,0.172239926950934,0.003338600006827619
92,N,New_N_093.wav,17-10,2,0.1243251429764578,126x10,10x212,17,0.04254099628688602,0.4129366582653015,0.008755199996812735,10,0.25523053231185167,0.1808544496374433,0.003697799998917617
93,N,New_N_094.wav,17-10,2,0.1311342687031654,126x10,10x212,17,0.047464891162778154,0.40116487811307094,0.008433900002273731,10,0.273986863878773,0.19121361744976445,0.0031162999948719516
94,N,New_N_095.wav,17-10,2,0.12513738241282052,126x10,10x212,17,0.04169282214506741,0.4049429181773398,0.008858799999870826,10,0.28005042039623,0.17541560039623175,0.0034023000043816864
95,N,New_N_096.wav,17-10,2,0.10673024158696744,126x10,10x212,17,0.042505679433642064,0.41732333646356223,0.00917400000616908,10,0.24458178450017487,0.23412322988536544,0.0032993999993777834
96,N,New_N_097.wav,17-10,2,0.12403776200837863,126x10,10x212,17,0.04483681158877312,0.3880733174358305,0.008967399997345638,10,0.21946265291866085,0.17625219338753711,0.003654100000858307
97,N,New_N_098.wav,17-10,2,0.1290252128440088,126x10,10x212,17,0.04368997499881667,0.39126079012138165,0.008745999999518972,10,0.22130110777994624,0.14942404057901565,0.003342800002428703
98,N,New_N_099.wav,17-10,2,0.1174598155762728,126x10,10x212,17,0.041562464786421845,0.4195036494542139,0.008596899999247398,10,0.26464130091951027,0.22295495440591495,0.00440550000348594
99,N,New_N_100.wav,17-10,2,0.11722396513985406,126x10,10x212,17,0.03488646781133707,0.44106117551872487,0.008834300002490636,10,0.21365554874528409,0.19021100048872577,0.0032191999998758547
100,N,New_N_101.wav,17-10,2,0.11247379202136099,126x10,10x212,17,0.029017227526337702,0.4441659535206854,0.00882889999775216,10,0.26371164936826225,0.16779664283073814,0.0031795999966561794
101,N,New_N_102.wav,17-10,2,0.10736961206402519,126x10,10x212,17,0.03330673363845413,0.41852030301385007,0.008717800003068987,10,0.19027341626799987,0.17375630304970852,0.0033844999998109415
102,N,New_N_103.wav,17-10,2,0.10961725237730448,126x10,10x212,17,0.03470453965749832,0.4376286996384053,0.008627399998658802,10,0.21540885701238463,0.16894345270817193,0.003765900000871625
103,N,New_N_104.wav,17-10,2,0.1097624768292057,126x10,10x212,17,0.04106082382360397,0.4193804291522142,0.008733599999686703,10,0.2277198533067939,0.1571681087319721,0.0031853999971644953
104,N,New_N_105.wav,17-10,2,0.10149424841348365,126x10,10x212,17,0.035275942846318555,0.4258521333496099,0.008508999999321532,10,0.20901828561045793,0.20517712129003793,0.0035352999984752387
105,N,New_N_106.wav,17-10,2,0.10892350866200128,126x10,10x212,17,0.03559125932447401,0.44443390234167984,0.008443500002613291,10,0.2688326821010294,0.11667748235386871,0.00402369999937946
106,N,New_N_107.wav,17-10,2,0.10999249672121474,126x10,10x212,17,0.0386656054029858,0.42187321889761814,0.009176899999147281,10,0.15947339019559034,0.1981238071133785,0.0037598000053549185
107,N,New_N_108.wav,17-10,2,0.1194042727177686,126x10,10x212,17,0.03738888698217273,0.3945581693531137,0.009074300003703684,10,0.2374065971543967,0.187734234595024,0.004174699999566656
108,N,New_N_109.wav,17-10,2,0.11231055028058583,126x10,10x212,17,0.035192577887112324,0.40341708089098033,0.008635899997898377,10,0.23631883727429612,0.1491039131214893,0.0031757000033394434
109,N,New_N_110.wav,17-10,2,0.12167857172902063,126x10,10x212,17,0.03284463589111355,0.4291464919177933,0.008642900000268128,10,0.21283703710552943,0.1708209205281809,0.0035310000021127053
110,N,New_N_111.wav,17-10,2,0.0941367327543276,126x10,10x212,17,0.035518746812630585,0.4394314945802069,0.009050000000570435,10,0.22131378082087852,0.1572079607643365,0.003435399994486943
111,N,New_N_112.wav,17-10,2,0.10317611684901355,126x10,10x212,17,0.03275409195142671,0.3796154312863404,0.008551400002033915,10,0.17119154717701837,0.19507372236115622,0.003868300002068281
112,N,New_N_113.wav,17-10,2,0.11281457128211353,126x10,10x212,17,0.03584593048839355,0.4195907432732128,0.008772199995291885,10,0.24465409617351122,0.18093773222578927,0.0033621999973547645
113,N,New_N_114.wav,17-10,2,0.11955023018369802,126x10,10x212,17,0.03901255751733231,0.3873615248251731,0.008681600003910717,10,0.2009661786054441,0.17686753136318917,0.003786100001889281
114,N,New_N_115.wav,17-10,2,0.12589663526369377,126x10,10x212,17,0.04065471010700554,0.43232952424125204,0.008861100002832245,10,0.2599079018260883,0.2379316455265519,0.0032119999959832057
115,N,New_N_116.wav,17-10,2,0.10120621949212028,126x10,10x212,17,0.037374545750194665,0.42984109702089884,0.009594499999366235,10,0.20409174155227774,0.17876445115762074,0.003225599997676909
116,N,New_N_117.wav,17-10,2,0.11375837561212837,126x10,10x212,17,0.044722116640165566,0.44601502971867574,0.008629800002381671,10,0.18516654848859856,0.177098501555029,0.0036088999986532144
117,N,New_N_118.wav,17-10,2,0.11371308789397616,126x10,10x212,17,0.035717394246877775,0.4241496097818277,0.008701499995368067,10,0.2249008036536917,0.2130591388736069,0.004174800000328105
118,N,New_N_119.wav,17-10,2,0.11492070853265435,126x10,10x212,17,0.040965195663089725,0.426410827261633,0.008781900003668852,10,0.2449361909294887,0.16637074079605765,0.0035854999950970523
119,N,New_N_120.wav,17-10,2,0.09621394778412219,126x10,10x212,17,0.031692177085815613,0.42420676905912413,0.008874099999957252,10,0.17179137996578947,0.14677733523846118,0.003688600001623854
120,N,New_N_121.wav,17-10,2,0.09842965980254985,126x10,10x212,17,0.037237911102775696,0.45678450948469085,0.008851999999023974,10,0.19967931597453198,0.18649307302458903,0.004409500004840083
121,N,New_N_122.wav,17-10,2,0.12097273403885123,126x10,10x212,17,0.038053664762129895,0.35962011476126343,0.009727100004965905,10,0.26500152443868613,0.13444371025387786,0.004195800000161398
122,N,New_N_123.wav,17-10,2,0.1179883251333929,126x10,10x212,17,0.03621442605163578,0.42981571232569055,0.009079399998881854,10,0.2459275019322946,0.12991577474318625,0.0030846999943605624
123,N,New_N_124.wav,17-10,2,0.11981624714880641,126x10,10x212,17,0.040401398960642834,0.4033699092655005,0.00913159999618074,10,0.23435704401686996,0.17018693675524194,0.003818400000454858
124,N,New_N_125.wav,17-10,2,0.09863688969921636,126x10,10x212,17,0.03605863130763053,0.427493982239127,0.008440500001597684,10,0.20180572953017165,0.15948571004943962,0.0034358999982941896
125,N,New_N_126.wav,17-10,2,0.11231756892225904,126x10,10x212,17,0.03905326953089194,0.38743467875726934,0.008553600004233886,10,0.24731694732860607,0.17118903184925405,0.003433400001085829
126,N,New_N_127.wav,17-10,2,0.10758133556893666,126x10,10x212,17,0.03986845890924275,0.4276148892456206,0.008635899997898377,10,0.2154263703601661,0.14829788613308398,0.004350800001702737
127,N,New_N_128.wav,17-10,2,0.10591906548643115,126x10,10x212,17,0.035667535054178315,0.3925283149810643,0.008601800000178628,10,0.18539103308263485,0.11411203223764009,0.0032483000031788833
128,N,New_N_129.wav,17-10,2,0.1095421200319094,126x10,10x212,17,0.034290950032765895,0.4190886862104386,0.00896160000411328,10,0.18769835211112434,0.18527437008560582,0.0036793999970541336
129,N,New_N_130.wav,17-10,2,0.11589407072326909,126x10,10x212,17,0.03904916046202304,0.36544441443576225,0.009098800001083873,10,0.1516459959571916,0.1271281488500658,0.004172200002358295
130,N,New_N_131.wav,17-10,2,0.10445651005294608,126x10,10x212,17,0.038943588132236674,0.44018664118873385,0.009492100005445536,10,0.22895364791605585,0.12278845068521296,0.004112800001166761
131,N,New_N_132.wav,17-10,2,0.1285954481367021,126x10,10x212,17,0.03946371134303462,0.39544303744140713,0.009937200004060287,10,0.24338662206767525,0.1402914779657283,0.003954899999371264
132,N,New_N_133.wav,17-10,2,0.10991823249112592,126x10,10x212,17,0.04274494756362291,0.4236678292230211,0.010189200002059806,10,0.18742551620016812,0.12259894507086895,0.0037280000033206306
133,N,New_N_134.wav,17-10,2,0.10030888789333492,126x10,10x212,17,0.0342120881354411,0.416156066613684,0.008638399995106738,10,0.19083534594116383,0.1588957005696017,0.003185599998687394
134,N,New_N_135.wav,17-10,2,0.11085202804404376,126x10,10x212,17,0.037505232595935134,0.42057249819210213,0.008533100000931881,10,0.19959357426634278,0.1639825612966761,0.003600400006689597
135,N,New_N_136.wav,17-10,2,0.09377185368101076,126x10,10x212,17,0.036732494574793585,0.40109935915547235,0.00869369999418268,10,0.16401288536777744,0.10197347169926785,0.003716100000019651
136,N,New_N_137.wav,17-10,2,0.10787749761313223,126x10,10x212,17,0.03438699114487616,0.3583342975036215,0.008670099996379577,10,0.17290172480304708,0.14935796684509345,0.003097200002230238
137,N,New_N_138.wav,17-10,2,0.11101987875880984,126x10,10x212,17,0.03625678229883082,0.3583941146069656,0.009277699995436706,10,0.2044218760331051,0.1036408949564131,0.004377999997814186
138,N,New_N_139.wav,17-10,2,0.09871507539319803,126x10,10x212,17,0.03915323089098522,0.39912737737003673,0.009360000003653113,10,0.17050975065919508,0.186790617200941,0.00363919999654172
139,N,New_N_140.wav,17-10,2,0.11017118449791444,126x10,10x212,17,0.04006490305145808,0.43049376992601074,0.00897619999886956,10,0.2033580396750585,0.2320845236582035,0.003795600001467392
140,N,New_N_141.wav,17-10,2,0.11626013715655921,126x10,10x212,17,0.0340297202075729,0.4254326546312047,0.009079700001166202,10,0.22730425128634874,0.17974566596378289,0.0033258000039495528
141,N,New_N_142.wav,17-10,2,0.10224984804880996,126x10,10x212,17,0.03571597146120217,0.40666722599551053,0.008635899997898377,10,0.1733683420523029,0.14620533923568185,0.004164800004218705
142,N,New_N_143.wav,17-10,2,0.11528146938273001,126x10,10x212,17,0.0375176158159189,0.42571845851530127,0.00857180000457447,10,0.20490691485452706,0.1448694494005603,0.003134200000204146
143,N,New_N_144.wav,17-10,2,0.10197727513070759,126x10,10x212,17,0.03874421367096197,0.39202188728450493,0.0086349000048358,10,0.20399403637181937,0.1450732459181511,0.0037419000000227243
