distribucion,numero_capas,clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std
10-8-3,3,KNN,DeepONMF_H3,0.9292,0.0106395488626162,0.8230000000000001,0.0265988721565407,0.95575,0.0066497180391352,0.8400290927317539,0.0235018468874386,0.8893749999999999,0.0166242950978379
10-8-3,3,KNN,DeepONMF_W,0.8688,0.0099599196783909,0.6719999999999999,0.0248997991959774,0.918,0.0062249497989943,0.7018770201423657,0.0252400797262035,0.795,0.0155623744974859
10-8-3,3,SVM,DeepONMF_H3,0.9636,0.0074027022093286,0.909,0.0185067555233217,0.97725,0.0046266888808304,0.9111680512275327,0.0200792233784226,0.943125,0.0115667222020761
10-8-3,3,SVM,DeepONMF_W,0.9032,0.0093380940239429,0.758,0.0233452350598575,0.9395,0.0058363087649644,0.7666737801383652,0.0304549356908587,0.8487500000000001,0.0145907719124109
10-8-3,3,UjaNet,DeepONMF_H3,0.9764,0.0071274118724821,0.941,0.0178185296812055,0.98525,0.0044546324203013,0.9420348609272392,0.0177562766376776,0.963125,0.0111365810507534
10-8-3,3,UjaNet,DeepONMF_W,0.9472,0.011454256850621,0.868,0.0286356421265526,0.967,0.0071589105316381,0.8722032635025153,0.0290794142332393,0.9175,0.0178972763290954
10-8-4,3,KNN,DeepONMF_H3,0.9272,0.0111892805845595,0.818,0.0279732014613986,0.9545,0.0069933003653496,0.8413803615165427,0.0166825610134627,0.8862500000000001,0.0174832509133742
10-8-4,3,KNN,DeepONMF_W,0.8516000000000001,0.0151261363209512,0.629,0.037815340802378,0.90725,0.0094538352005946,0.6638682534091067,0.0327336227055651,0.7681250000000001,0.0236345880014863
10-8-4,3,SVM,DeepONMF_H3,0.96,0.0097979589711326,0.9,0.0244948974278318,0.975,0.0061237243569579,0.9018088902274592,0.0273473482537733,0.9375,0.0153093108923948
10-8-4,3,SVM,DeepONMF_W,0.9,0.0086023252670426,0.75,0.0215058131676064,0.9375,0.0053764532919016,0.7602763933837242,0.0243703373694579,0.84375,0.0134411332297541
10-8-4,3,UjaNet,DeepONMF_H3,0.9728,0.0078230428862432,0.932,0.0195576072156079,0.983,0.004889401803902,0.934320186180711,0.0184017421577181,0.9575,0.0122235045097549
10-8-4,3,UjaNet,DeepONMF_W,0.9384,0.0141703916671346,0.8459999999999999,0.0354259791678367,0.9615,0.0088564947919591,0.8488270952391742,0.0349590876236708,0.90375,0.0221412369798979
10-8-6,3,KNN,DeepONMF_H3,0.9116,0.0100399203184088,0.779,0.0250998007960222,0.94475,0.0062749501990055,0.8059030653066521,0.0265761369499783,0.8618750000000001,0.0156873754975139
10-8-6,3,KNN,DeepONMF_W,0.8288,0.0111892805845595,0.572,0.0279732014613987,0.893,0.0069933003653496,0.607488783211068,0.0168454697252676,0.7325,0.0174832509133742
10-8-6,3,SVM,DeepONMF_H3,0.9572,0.0084380092438915,0.893,0.021095023109729,0.97325,0.0052737557774322,0.8951427702038156,0.0219104419292076,0.933125,0.0131843894435806
