indice_interno,clase,archivo,distribucion,numero_capas,error_final,forma_w_final,forma_h_final,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos,capa_4_rango,capa_4_error,capa_4_ortogonalidad_h,capa_4_segundos
934,MVP,New_MVP_135.wav,8-7-6-3,4,0.3530914603684632,126x3,3x212,8,0.08771688629428924,0.3100974539773471,0.011946899991016835,7,0.19617303912920916,0.21052360163348033,0.004426300001796335,6,0.24092514850675684,0.19637848646382963,0.005219100014073774,3,0.5434217046024138,0.19218243767586418,0.006801500014262274
935,MVP,New_MVP_136.wav,8-7-6-3,4,0.3893414938265488,126x3,3x212,8,0.07916622563980329,0.3329267938407104,0.015753199986647815,7,0.16592935310591939,0.19935186904471025,0.0051583999884314835,6,0.31667075885341794,0.18503557985162425,0.005197799997404218,3,0.5049878889204049,0.19094052916074555,0.003572399989934638
936,MVP,New_MVP_137.wav,8-7-6-3,4,0.4539128519891804,126x3,3x212,8,0.09073511248623178,0.3849203464751843,0.012280399998417124,7,0.13799964370526763,0.2196166459820333,0.004460099997231737,6,0.2037183618504494,0.1799412315805545,0.004765999998198822,3,0.5588509334364841,0.2870582390493303,0.004537900007562712
937,MVP,New_MVP_138.wav,8-7-6-3,4,0.38975926652544024,126x3,3x212,8,0.07500606227420283,0.33630741831973104,0.010039599990705028,7,0.12656759637703927,0.18692764247057925,0.008203000004868954,6,0.25794333319352414,0.17477629233387104,0.006679499987512827,3,0.48634374965626637,0.18225130067228146,0.003947999997762963
938,MVP,New_MVP_139.wav,8-7-6-3,4,0.46566090787948694,126x3,3x212,8,0.06407031707056937,0.24263227938435983,0.009834500000579283,7,0.21085318065394407,0.19131463077477734,0.006172199995489791,6,0.3261050150473205,0.15488068533758723,0.004336799989687279,3,0.4711963344896517,0.23047056449196116,0.003580299991881475
939,MVP,New_MVP_140.wav,8-7-6-3,4,0.38084227644043256,126x3,3x212,8,0.07538108096901715,0.3470206524010453,0.010253999993437901,7,0.15334983356287546,0.20608324252286142,0.0046310999896377325,6,0.21108791592564502,0.15803723309782222,0.004239200003212318,3,0.5231779623866772,0.10154547239649764,0.005096300010336563
940,MVP,New_MVP_141.wav,8-7-6-3,4,0.33605023593103855,126x3,3x212,8,0.07608762324554831,0.31057256591514243,0.009218699997290969,7,0.148410042728577,0.171369368269493,0.00705089999246411,6,0.27241471100833,0.15965998790866182,0.004823700000997633,3,0.5475974183184866,0.1446490082475595,0.0035835999879054725
941,MVP,New_MVP_142.wav,8-7-6-3,4,0.4006284176173988,126x3,3x212,8,0.07514684859903133,0.2632691577530418,0.009853399998974055,7,0.18400532134422198,0.1438018217987267,0.004422800004249439,6,0.20913565249046615,0.14673991664955374,0.005041299998993054,3,0.48512595322228863,0.21465213633671873,0.0052214000024832785
942,MVP,New_MVP_143.wav,8-7-6-3,4,0.3678864789001627,126x3,3x212,8,0.09204365780954515,0.3292260378313996,0.0100955999805592,7,0.17722997646286706,0.24502797338527435,0.0045094000233802944,6,0.19560988390191555,0.21521177381628026,0.004958400008035824,3,0.5243549799405052,0.24003407558650514,0.004499000002397224
943,MVP,New_MVP_144.wav,8-7-6-3,4,0.4004279976223095,126x3,3x212,8,0.08605842060026975,0.3543999060880152,0.010102700005518273,7,0.24901946542240586,0.21526916671173127,0.005361200019251555,6,0.20825014027306457,0.18911287234233,0.004736200004117563,3,0.5198505601122246,0.21540255386295593,0.007038799987640232
944,MVP,New_MVP_145.wav,8-7-6-3,4,0.333432773188901,126x3,3x212,8,0.06932256037506727,0.37372110090165683,0.009390099992742762,7,0.17858352638240552,0.2182974566387086,0.004679199977545068,6,0.23859285977538033,0.20376748374185052,0.004958400008035824,3,0.46951077089587995,0.20316003156849372,0.0035943000111728907
945,MVP,New_MVP_146.wav,8-7-6-3,4,0.41074433414514594,126x3,3x212,8,0.06624714333672334,0.2946564264377587,0.010216499998932704,7,0.1732299342909802,0.15265313578894038,0.004428199987160042,6,0.23701046939418688,0.15933066330401335,0.004906699992716312,3,0.5012401712499946,0.14911591441134445,0.004970200010575354
946,MVP,New_MVP_147.wav,8-7-6-3,4,0.3873113140817654,126x3,3x212,8,0.06499739540826374,0.3357877919770802,0.010257900023134425,7,0.19966806923286884,0.14902230903383806,0.0060538999969139695,6,0.21187285550244792,0.13238985158600797,0.0077914999856147915,3,0.4536601235187373,0.12739599276829336,0.007024899998214096
947,MVP,New_MVP_148.wav,8-7-6-3,4,0.3671412060556273,126x3,3x212,8,0.0712974309613295,0.35435909394331316,0.010385200002929196,7,0.1632561236429411,0.20979739427975624,0.0063375000027008355,6,0.1916146687451607,0.1885448544191042,0.004363699990790337,3,0.5301921848758272,0.23034664669614613,0.0035502999962773174
948,MVP,New_MVP_149.wav,8-7-6-3,4,0.4061368444524381,126x3,3x212,8,0.08824636032659718,0.3603690439369332,0.010229999985313043,7,0.09966071295823913,0.20638222757085897,0.004972499998984858,6,0.24841703979952146,0.19522603593917862,0.005901500000618398,3,0.5074027104878499,0.19752602022752933,0.003624300006777048
949,MVP,New_MVP_150.wav,8-7-6-3,4,0.42659123483731215,126x3,3x212,8,0.08769099293229468,0.2893270614125984,0.00942740001482889,7,0.24118844612807477,0.1991620573484497,0.00564200000371784,6,0.13442828960229966,0.18115622576215762,0.004125200008274987,3,0.4937839813216057,0.14388016828609562,0.003612300002714619
950,MVP,New_MVP_151.wav,8-7-6-3,4,0.4531069663725264,126x3,3x212,8,0.07868410703596276,0.27457979125087606,0.010861099988687783,7,0.23427542304441706,0.15244667607871948,0.006462399993324652,6,0.2631274084748068,0.11721943675942312,0.0078062999818939716,3,0.5752330219888683,0.12495909618092249,0.006901799992192537
951,MVP,New_MVP_152.wav,8-7-6-3,4,0.41881867876672874,126x3,3x212,8,0.08629141086227518,0.280413564447024,0.01045860000886023,7,0.25279066293981567,0.15764153745676707,0.004576000006636605,6,0.2505749912747858,0.14573472309858834,0.006913899997016415,3,0.5418102070528013,0.1127533476743468,0.007077299989759922
