indice_interno,base,metodo,distribucion,numero_capas,penalizacion_ortogonal,sin_regularizacion,error_final,forma_h,forma_w,segundos
90,SNR_-5db,NMF,7,1,0.0,True,0.3715357486750426,7x212,126x7,0.02550750016234815
91,SNR_-5db,NMF,7,1,0.0,True,0.3686664087738077,7x212,126x7,0.027628100011497736
92,SNR_-5db,NMF,7,1,0.0,True,0.37224993368254233,7x212,126x7,0.031021800125017762
93,SNR_-5db,NMF,7,1,0.0,True,0.3703568436277816,7x212,126x7,0.03156240005046129
94,SNR_-5db,NMF,7,1,0.0,True,0.3681712538756317,7x212,126x7,0.03390380018390715
95,SNR_-5db,NMF,7,1,0.0,True,0.3669965770109591,7x212,126x7,0.03223709994927049
96,SNR_-5db,NMF,7,1,0.0,True,0.36860019246707965,7x212,126x7,0.03408519993536174
97,SNR_-5db,NMF,7,1,0.0,True,0.36822351684038684,7x212,126x7,0.03348350012674928
98,SNR_-5db,NMF,7,1,0.0,True,0.3666156278192519,7x212,126x7,0.03497310006059706
99,SNR_-5db,NMF,7,1,0.0,True,0.3654474763913168,7x212,126x7,0.03092549997381866
100,SNR_-5db,NMF,7,1,0.0,True,0.36417212035349444,7x212,126x7,0.027629700023680925
101,SNR_-5db,NMF,7,1,0.0,True,0.36770679973264764,7x212,126x7,0.030870899790897965
102,SNR_-5db,NMF,7,1,0.0,True,0.3645192079568746,7x212,126x7,0.029998400015756488
103,SNR_-5db,NMF,7,1,0.0,True,0.36777361800795944,7x212,126x7,0.034567300230264664
104,SNR_-5db,NMF,7,1,0.0,True,0.36774608620743,7x212,126x7,0.030164800118654966
105,SNR_-5db,NMF,7,1,0.0,True,0.36768649141388965,7x212,126x7,0.028354200068861246
106,SNR_-5db,NMF,7,1,0.0,True,0.36550246213417414,7x212,126x7,0.032374100061133504
107,SNR_-5db,NMF,7,1,0.0,True,0.37254736632286123,7x212,126x7,0.029598799999803305
108,SNR_-5db,NMF,7,1,0.0,True,0.3668067149086458,7x212,126x7,0.028376499889418483
109,SNR_-5db,NMF,7,1,0.0,True,0.3679752042466078,7x212,126x7,0.030119100119918585
110,SNR_-5db,NMF,7,1,0.0,True,0.3668580692151039,7x212,126x7,0.030526500195264816
111,SNR_-5db,NMF,7,1,0.0,True,0.3680866535845472,7x212,126x7,0.026856600074097514
112,SNR_-5db,NMF,7,1,0.0,True,0.36793645156762533,7x212,126x7,0.028170600067824125
113,SNR_-5db,NMF,7,1,0.0,True,0.3641748180378002,7x212,126x7,0.028931100154295564
114,SNR_-5db,NMF,7,1,0.0,True,0.36817318703888274,7x212,126x7,0.026344100013375282
115,SNR_-5db,NMF,7,1,0.0,True,0.36381048106546043,7x212,126x7,0.031023200135678053
116,SNR_-5db,NMF,7,1,0.0,True,0.3645352162837491,7x212,126x7,0.02746790018863976
117,SNR_-5db,NMF,7,1,0.0,True,0.36614151296356456,7x212,126x7,0.057749100029468536
118,SNR_-5db,NMF,7,1,0.0,True,0.3666003880408895,7x212,126x7,0.029161999933421612
119,SNR_-5db,NMF,7,1,0.0,True,0.36593939478978027,7x212,126x7,0.030601299833506346
120,SNR_-5db,NMF,7,1,0.0,True,0.3694030352389386,7x212,126x7,0.035157700069248676
121,SNR_-5db,NMF,7,1,0.0,True,0.36906421190468086,7x212,126x7,0.03391209989786148
122,SNR_-5db,NMF,7,1,0.0,True,0.3651879973213273,7x212,126x7,0.029346999945119023
123,SNR_-5db,NMF,7,1,0.0,True,0.36947477369379045,7x212,126x7,0.03434029989875853
124,SNR_-5db,NMF,7,1,0.0,True,0.37303242773528644,7x212,126x7,0.033847999991849065
125,SNR_-5db,NMF,7,1,0.0,True,0.365994386440903,7x212,126x7,0.029252300038933754
126,SNR_-5db,NMF,7,1,0.0,True,0.36228216511298755,7x212,126x7,0.026875599985942245
127,SNR_-5db,NMF,7,1,0.0,True,0.3594125244903978,7x212,126x7,0.03157180012203753
128,SNR_-5db,NMF,7,1,0.0,True,0.36718622636698867,7x212,126x7,0.027549699880182743
129,SNR_-5db,NMF,7,1,0.0,True,0.3600640610632191,7x212,126x7,0.02574409986846149
130,SNR_-5db,NMF,7,1,0.0,True,0.3646037411512026,7x212,126x7,0.028357000090181828
131,SNR_-5db,NMF,7,1,0.0,True,0.3614956966863614,7x212,126x7,0.02922439994290471
132,SNR_-5db,NMF,7,1,0.0,True,0.36729337177390026,7x212,126x7,0.032442300114780664
133,SNR_-5db,NMF,7,1,0.0,True,0.3650944184492409,7x212,126x7,0.027238399954512715
134,SNR_-5db,NMF,7,1,0.0,True,0.35871124572175844,7x212,126x7,0.028675800189375877
135,SNR_-5db,NMF,7,1,0.0,True,0.3660812844778382,7x212,126x7,0.03538980009034276
136,SNR_-5db,NMF,7,1,0.0,True,0.3622537908541253,7x212,126x7,0.031185199972242117
137,SNR_-5db,NMF,7,1,0.0,True,0.36174681161015404,7x212,126x7,0.054640599992126226
138,SNR_-5db,NMF,7,1,0.0,True,0.36400658500494404,7x212,126x7,0.028083499986678362
139,SNR_-5db,NMF,7,1,0.0,True,0.3638664829670267,7x212,126x7,0.030791800003498793
140,SNR_-5db,NMF,7,1,0.0,True,0.36792739904050586,7x212,126x7,0.02739459997974336
141,SNR_-5db,NMF,7,1,0.0,True,0.3596829793006067,7x212,126x7,0.02603640011511743
142,SNR_-5db,NMF,7,1,0.0,True,0.3631484563316677,7x212,126x7,0.02562109986320138
143,SNR_-5db,NMF,7,1,0.0,True,0.36732413169965095,7x212,126x7,0.024924400029703975
144,SNR_-5db,NMF,7,1,0.0,True,0.3638147343675374,7x212,126x7,0.026959200156852603
145,SNR_-5db,NMF,7,1,0.0,True,0.36394235224637705,7x212,126x7,0.024260800099000335
146,SNR_-5db,NMF,7,1,0.0,True,0.3626001805057389,7x212,126x7,0.028269000118598342
147,SNR_-5db,NMF,7,1,0.0,True,0.3679811333245673,7x212,126x7,0.04972829995676875
148,SNR_-5db,NMF,7,1,0.0,True,0.35847865929075473,7x212,126x7,0.026792099932208657
149,SNR_-5db,NMF,7,1,0.0,True,0.36032431753132954,7x212,126x7,0.026959100039675832
150,SNR_-5db,NMF,7,1,0.0,True,0.3616030159583982,7x212,126x7,0.026881500147283077
151,SNR_-5db,NMF,7,1,0.0,True,0.3622725474473766,7x212,126x7,0.03150069992989302
152,SNR_-5db,NMF,7,1,0.0,True,0.3639180365917746,7x212,126x7,0.02785539999604225
153,SNR_-5db,NMF,7,1,0.0,True,0.36756672681858316,7x212,126x7,0.028552599949762225
154,SNR_-5db,NMF,7,1,0.0,True,0.36386973450220644,7x212,126x7,0.027225800091400743
155,SNR_-5db,NMF,7,1,0.0,True,0.3602148278095126,7x212,126x7,0.0273332002107054
156,SNR_-5db,NMF,7,1,0.0,True,0.3666558461564474,7x212,126x7,0.03158350009471178
157,SNR_-5db,NMF,7,1,0.0,True,0.37163740246242144,7x212,126x7,0.03172419988550246
158,SNR_-5db,NMF,7,1,0.0,True,0.3676154508455246,7x212,126x7,0.030656799906864762
159,SNR_-5db,NMF,7,1,0.0,True,0.37020491133523137,7x212,126x7,0.030800999840721488
160,SNR_-5db,NMF,7,1,0.0,True,0.3680679286228204,7x212,126x7,0.030192699981853366
161,SNR_-5db,NMF,7,1,0.0,True,0.369517261474121,7x212,126x7,0.026125000091269612
162,SNR_-5db,NMF,7,1,0.0,True,0.36530798161734135,7x212,126x7,0.03131370013579726
163,SNR_-5db,NMF,7,1,0.0,True,0.3693271504373446,7x212,126x7,0.034358000149950385
164,SNR_-5db,NMF,7,1,0.0,True,0.3703593125355728,7x212,126x7,0.03100560000166297
165,SNR_-5db,NMF,7,1,0.0,True,0.3709643764960334,7x212,126x7,0.026924300007522106
166,SNR_-5db,NMF,7,1,0.0,True,0.37135931053228616,7x212,126x7,0.02552959998138249
167,SNR_-5db,NMF,7,1,0.0,True,0.37108260805859317,7x212,126x7,0.025297099957242608
168,SNR_-5db,NMF,7,1,0.0,True,0.36943906375409746,7x212,126x7,0.025330299977213144
169,SNR_-5db,NMF,7,1,0.0,True,0.3689380433235511,7x212,126x7,0.027198400115594268
170,SNR_-5db,NMF,7,1,0.0,True,0.3717230943276579,7x212,126x7,0.024937300011515617
171,SNR_-5db,NMF,7,1,0.0,True,0.3707800045949798,7x212,126x7,0.025660099927335978
172,SNR_-5db,NMF,7,1,0.0,True,0.36781582840857396,7x212,126x7,0.024503099964931607
173,SNR_-5db,NMF,7,1,0.0,True,0.3681210194395616,7x212,126x7,0.03420250001363456
174,SNR_-5db,NMF,7,1,0.0,True,0.3685775054076002,7x212,126x7,0.026444300077855587
175,SNR_-5db,NMF,7,1,0.0,True,0.3694319008429098,7x212,126x7,0.02953900001011789
176,SNR_-5db,NMF,7,1,0.0,True,0.36605426083795845,7x212,126x7,0.050720299826934934
177,SNR_-5db,NMF,7,1,0.0,True,0.3676940160836394,7x212,126x7,0.026819900143891573
178,SNR_-5db,NMF,7,1,0.0,True,0.37099252621916035,7x212,126x7,0.02696690009906888
179,SNR_-5db,NMF,7,1,0.0,True,0.3669960904776561,7x212,126x7,0.026444500079378486
180,SNR_-5db,NMF,7,1,0.0,True,0.3691714003116731,7x212,126x7,0.02805890003219247
181,SNR_-5db,NMF,7,1,0.0,True,0.37046872130965536,7x212,126x7,0.02934800018556416
182,SNR_-5db,NMF,7,1,0.0,True,0.370443672354665,7x212,126x7,0.02684840001165867
183,SNR_-5db,NMF,7,1,0.0,True,0.3703666975316359,7x212,126x7,0.02619619993492961
184,SNR_-5db,NMF,7,1,0.0,True,0.36634971944559835,7x212,126x7,0.02754190005362034
185,SNR_-5db,NMF,7,1,0.0,True,0.37114517800258373,7x212,126x7,0.026582099962979555
186,SNR_-5db,NMF,7,1,0.0,True,0.3702471453662913,7x212,126x7,0.05681749992072582
187,SNR_-5db,NMF,7,1,0.0,True,0.3707059805478883,7x212,126x7,0.031712699914351106
188,SNR_-5db,NMF,7,1,0.0,True,0.3723504034859135,7x212,126x7,0.0276032998226583
189,SNR_-5db,NMF,7,1,0.0,True,0.37060931530926183,7x212,126x7,0.03003369993530214
190,SNR_-5db,NMF,7,1,0.0,True,0.36821113395791294,7x212,126x7,0.03509290004149079
191,SNR_-5db,NMF,7,1,0.0,True,0.3717210448199949,7x212,126x7,0.03588189999572933
192,SNR_-5db,NMF,7,1,0.0,True,0.3737561831545401,7x212,126x7,0.02898190007545054
193,SNR_-5db,NMF,7,1,0.0,True,0.37021638358070236,7x212,126x7,0.027138900011777878
194,SNR_-5db,NMF,7,1,0.0,True,0.36993367239213615,7x212,126x7,0.03206939995288849
195,SNR_-5db,NMF,7,1,0.0,True,0.36632971801908754,7x212,126x7,0.030918899923563004
196,SNR_-5db,NMF,7,1,0.0,True,0.37471987503607357,7x212,126x7,0.05076989997178316
197,SNR_-5db,NMF,7,1,0.0,True,0.370046966645977,7x212,126x7,0.028800199972465634
198,SNR_-5db,NMF,7,1,0.0,True,0.37064105600450886,7x212,126x7,0.026728600030764937
199,SNR_-5db,NMF,7,1,0.0,True,0.3753506805029704,7x212,126x7,0.027565700002014637
200,SNR_-5db,NMF,7,1,0.0,True,0.3810035475267285,7x212,126x7,0.027235900051891804
201,SNR_-5db,NMF,7,1,0.0,True,0.368741664620503,7x212,126x7,0.026483799796551466
202,SNR_-5db,NMF,7,1,0.0,True,0.3713516373792135,7x212,126x7,0.02765859989449382
203,SNR_-5db,NMF,7,1,0.0,True,0.37500148847461656,7x212,126x7,0.027613300131633878
204,SNR_-5db,NMF,7,1,0.0,True,0.3776542033558359,7x212,126x7,0.028480199864134192
205,SNR_-5db,NMF,7,1,0.0,True,0.3788606906531092,7x212,126x7,0.02685109991580248
206,SNR_-5db,NMF,7,1,0.0,True,0.3781753357917751,7x212,126x7,0.03418700001202524
207,SNR_-5db,NMF,7,1,0.0,True,0.37477333578380995,7x212,126x7,0.02715920004993677
208,SNR_-5db,NMF,7,1,0.0,True,0.3722276166235657,7x212,126x7,0.03049269993789494
209,SNR_-5db,NMF,7,1,0.0,True,0.37568371659823335,7x212,126x7,0.02842610003426671
210,SNR_-5db,NMF,7,1,0.0,True,0.37543188917466336,7x212,126x7,0.03366019995883107
211,SNR_-5db,NMF,7,1,0.0,True,0.37994373340063714,7x212,126x7,0.02671520016156137
212,SNR_-5db,NMF,7,1,0.0,True,0.3783565086445733,7x212,126x7,0.02949999994598329
213,SNR_-5db,NMF,7,1,0.0,True,0.3693266662867937,7x212,126x7,0.03074640012346208
214,SNR_-5db,NMF,7,1,0.0,True,0.37522881233152516,7x212,126x7,0.02882030000910163
215,SNR_-5db,NMF,7,1,0.0,True,0.384027010857415,7x212,126x7,0.05313689983449876
216,SNR_-5db,NMF,7,1,0.0,True,0.37241119837689673,7x212,126x7,0.0327099000569433
217,SNR_-5db,NMF,7,1,0.0,True,0.376483962464071,7x212,126x7,0.03341010003350675
218,SNR_-5db,NMF,7,1,0.0,True,0.38051096631132086,7x212,126x7,0.030418199952691793
219,SNR_-5db,NMF,7,1,0.0,True,0.3708897542038361,7x212,126x7,0.029419600032269955
220,SNR_-5db,NMF,7,1,0.0,True,0.3713116244863293,7x212,126x7,0.029960399959236383
221,SNR_-5db,NMF,7,1,0.0,True,0.3762466032434753,7x212,126x7,0.02966859983280301
222,SNR_-5db,NMF,7,1,0.0,True,0.37593329228439853,7x212,126x7,0.027761999983340502
223,SNR_-5db,NMF,7,1,0.0,True,0.37283962008512106,7x212,126x7,0.028293099952861667
224,SNR_-5db,NMF,7,1,0.0,True,0.3807522305002186,7x212,126x7,0.028709699865430593
225,SNR_-5db,NMF,7,1,0.0,True,0.3718025310274566,7x212,126x7,0.05214479984715581
