distribucion,numero_capas,clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std,origen
8-5-3,3,SVM,DeepONMF_W,0.8948,0.0118827606220104,0.737,0.0297069015550258,0.93425,0.0074267253887564,0.7475231932915423,0.0320085121269674,0.835625,0.0185668134718911,anterior
8-5-3,3,UjaNet,DeepONMF_H3,0.9751999999999998,0.0123773987574126,0.938,0.0309434968935315,0.9845,0.0077358742233828,0.9401057961694652,0.0289494780105749,0.96125,0.0193396855584572,anterior
8-5-3,3,UjaNet,DeepONMF_W,0.9492,0.0050199601592044,0.873,0.0125499003980111,0.96825,0.0031374750995027,0.8814761225997048,0.011564421036186,0.920625,0.0078436877487569,anterior
9-8-7,3,KNN,DeepONMF_H3,0.8996000000000001,0.0130690474021636,0.749,0.032672618505409,0.93725,0.0081681546263522,0.79429243858022,0.0270719786205746,0.843125,0.0204203865658806,anterior
9-8-7,3,KNN,DeepONMF_W,0.8208,0.0113666177907062,0.552,0.0284165444767656,0.8879999999999999,0.0071041361191914,0.5723008392011482,0.0322257658533425,0.72,0.0177603402979785,anterior
9-8-7,3,SVM,DeepONMF_H3,0.954,0.0098994949366117,0.885,0.0247487373415291,0.97125,0.0061871843353822,0.8892995236970721,0.0240309622606102,0.928125,0.0154679608384557,anterior
9-8-7,3,SVM,DeepONMF_W,0.882,0.0108627804912002,0.705,0.0271569512280005,0.92625,0.0067892378070001,0.7086501547289049,0.0318913727803672,0.815625,0.0169730945175002,anterior
9-8-7,3,UjaNet,DeepONMF_H3,0.9756,0.0105261578935526,0.939,0.0263153947338814,0.98475,0.0065788486834704,0.9403683132374544,0.0255635693468484,0.961875,0.0164471217086759,anterior
9-8-7,3,UjaNet,DeepONMF_W,0.9344,0.0077974354758471,0.836,0.0194935886896178,0.959,0.0048733971724044,0.8415429079897642,0.0187249698776152,0.8975,0.0121834929310112,anterior
10-3,2,KNN,DeepONMF_H2,0.946,0.0031622776601684,0.865,0.0079056941504208,0.96625,0.0019764235376052,0.870777645498376,0.0096813857560335,0.915625,0.0049410588440131,anterior
10-3,2,KNN,DeepONMF_W,0.8503999999999999,0.0105261578935527,0.626,0.0263153947338815,0.9065,0.0065788486834703,0.6550680211639237,0.0332575281119551,0.76625,0.0164471217086759,anterior
10-3,2,SVM,DeepONMF_H2,0.964,0.0088317608663278,0.91,0.0220794021658196,0.9775,0.0055198505414549,0.9109966365756138,0.0225592666754589,0.94375,0.0137996263536372,anterior
10-3,2,SVM,DeepONMF_W,0.8948,0.0067230945255886,0.737,0.0168077363139715,0.93425,0.0042019340784928,0.7461064941820461,0.021088755714106,0.835625,0.0105048351962322,anterior
10-3,2,UjaNet,DeepONMF_H2,0.9788,0.0117132403714771,0.947,0.0292831009286926,0.98675,0.007320775232173,0.9479311250878888,0.028782538391307,0.966875,0.0183019380804329,anterior
10-3,2,UjaNet,DeepONMF_W,0.9424,0.0090994505328618,0.8560000000000001,0.0227486263321547,0.964,0.0056871565830386,0.864814401466672,0.0189809891160291,0.91,0.0142178914575966,anterior
10-4,2,KNN,DeepONMF_H2,0.9352,0.0041472882706655,0.8379999999999999,0.0103682206766638,0.9595,0.0025920551691659,0.8472538202163491,0.0182042821891968,0.89875,0.0064801379229148,anterior
10-4,2,KNN,DeepONMF_W,0.8371999999999999,0.009444575162494,0.5930000000000001,0.0236114379062351,0.89825,0.0059028594765587,0.6282410754062792,0.0356102716604267,0.745625,0.0147571486913969,anterior
10-4,2,SVM,DeepONMF_H2,0.96,0.0074833147735478,0.9,0.0187082869338697,0.975,0.0046770717334674,0.9033422919958624,0.0207589769787692,0.9375,0.0116926793336685,anterior
10-4,2,SVM,DeepONMF_W,0.8916000000000001,0.0055497747702046,0.729,0.0138744369255116,0.93225,0.0034686092313779,0.7375546179369484,0.0103091254866507,0.8306250000000001,0.0086715230784447,anterior
10-4,2,UjaNet,DeepONMF_H2,0.9736,0.0084142735871849,0.934,0.0210356839679626,0.9835,0.0052589209919906,0.9362531320674724,0.0206594466560467,0.95875,0.0131473024799766,anterior
10-4,2,UjaNet,DeepONMF_W,0.9412,0.0064187226143524,0.853,0.0160468065358812,0.96325,0.0040117016339703,0.8594283428461061,0.0153042965474048,0.908125,0.0100292540849257,anterior
10-5,2,KNN,DeepONMF_H2,0.9316,0.0047749345545254,0.8290000000000001,0.0119373363863133,0.95725,0.0029843340965783,0.8415031224620975,0.0144430888013108,0.8931250000000001,0.0074608352414458,anterior
10-5,2,KNN,DeepONMF_W,0.8251999999999999,0.0133865604245451,0.563,0.0334664010613629,0.8907499999999999,0.0083666002653406,0.6098341279901971,0.0350604600658166,0.7268749999999999,0.0209165006633518,anterior
10-5,2,SVM,DeepONMF_H2,0.958,0.0046904157598234,0.8949999999999999,0.0117260393995586,0.97375,0.0029315098498896,0.8985262323176182,0.0132268596397556,0.934375,0.0073287746247241,anterior
10-5,2,SVM,DeepONMF_W,0.8772,0.0098590060350929,0.693,0.0246475150877325,0.92325,0.0061618787719331,0.6997157387839497,0.0227271530582823,0.8081250000000001,0.0154046969298327,anterior
10-5,2,UjaNet,DeepONMF_H2,0.976,0.0077459666924148,0.94,0.019364916731037,0.985,0.0048412291827592,0.9418105795725924,0.0182006774165852,0.9625,0.0121030729568981,anterior
10-5,2,UjaNet,DeepONMF_W,0.9356,0.0096332756630338,0.8390000000000001,0.0240831891575846,0.95975,0.0060207972893962,0.8427585728736681,0.0262490551700993,0.899375,0.0150519932234903,anterior
10-5-4,3,KNN,DeepONMF_H3,0.9324,0.0043358966777357,0.8310000000000001,0.0108397416943394,0.95775,0.0027099354235848,0.8447501401192161,0.0146620907447072,0.8943749999999999,0.0067748385589621,anterior
10-5-4,3,KNN,DeepONMF_W,0.8368,0.0110090871556183,0.592,0.0275227178890458,0.898,0.0068806794722614,0.6265027153046471,0.0285369014532672,0.7450000000000001,0.0172016986806536,anterior
10-5-4,3,SVM,DeepONMF_H3,0.9612,0.0109178752511649,0.903,0.0272946881279123,0.97575,0.006823672031978,0.9049166630800052,0.029091332213559,0.939375,0.0170591800799452,anterior
10-5-4,3,SVM,DeepONMF_W,0.8911999999999999,0.006572670690062,0.728,0.0164316767251549,0.932,0.0041079191812887,0.7332715373023024,0.0198295124792732,0.8300000000000001,0.0102697979532218,anterior
10-5-4,3,UjaNet,DeepONMF_H3,0.976,0.0095916630466254,0.94,0.0239791576165636,0.985,0.0059947894041408,0.9416292356908532,0.0245102036578777,0.9625,0.0149869735103522,anterior
10-5-4,3,UjaNet,DeepONMF_W,0.9392,0.0161616830806695,0.8480000000000001,0.0404042077016738,0.962,0.0101010519254185,0.8546267835013378,0.0396012403310627,0.905,0.0252526298135461,anterior
10-6,2,KNN,DeepONMF_H2,0.9244,0.0095289033996572,0.8109999999999999,0.0238222584991431,0.95275,0.0059555646247857,0.8379823376775727,0.0214375395246019,0.881875,0.0148889115619645,anterior
10-6,2,KNN,DeepONMF_W,0.8171999999999999,0.0110090871556183,0.543,0.0275227178890457,0.88575,0.0068806794722614,0.5782619159056241,0.023355986982273,0.714375,0.0172016986806536,anterior
10-6,2,SVM,DeepONMF_H2,0.9584,0.0068410525505948,0.8960000000000001,0.017102631376487,0.974,0.0042756578441217,0.8982189098922774,0.0177858853948948,0.935,0.0106891446103043,anterior
10-6,2,SVM,DeepONMF_W,0.874,0.0078740078740118,0.6849999999999999,0.0196850196850295,0.92125,0.0049212549212573,0.6821996044224086,0.0258048703705748,0.803125,0.0123031373031434,anterior
10-6,2,UjaNet,DeepONMF_H2,0.9752,0.0096540147089177,0.938,0.0241350367722942,0.9845,0.0060337591930736,0.9400436644234128,0.0243294022102324,0.96125,0.0150843979826839,anterior
10-6,2,UjaNet,DeepONMF_W,0.9408,0.0052153619241621,0.852,0.0130384048104052,0.963,0.0032596012026013,0.8562059513483493,0.0147642208312465,0.9075,0.0081490030065033,anterior
10-6-3,3,KNN,DeepONMF_H3,0.9444,0.0104307238483242,0.861,0.0260768096208106,0.96525,0.0065192024052026,0.8683954832786954,0.0292543519220491,0.913125,0.0162980060130066,anterior
10-6-3,3,KNN,DeepONMF_W,0.8640000000000001,0.0132664991614215,0.66,0.033166247903554,0.915,0.0082915619758884,0.688332005383709,0.0315431808324312,0.7875,0.0207289049397212,anterior
10-6-3,3,SVM,DeepONMF_H3,0.9608,0.0096540147089177,0.902,0.0241350367722943,0.9755,0.0060337591930735,0.903445289022956,0.0259965574531814,0.93875,0.015084397982684,anterior
10-6-3,3,SVM,DeepONMF_W,0.9,0.0066332495807107,0.75,0.0165831239517769,0.9375,0.0041457809879442,0.7648733767342947,0.0248584481574792,0.84375,0.0103644524698606,anterior
10-6-3,3,UjaNet,DeepONMF_H3,0.9776,0.007266360849834,0.944,0.0181659021245849,0.986,0.0045414755311462,0.945496842360263,0.0171845607659228,0.965,0.0113536888278655,anterior
10-6-3,3,UjaNet,DeepONMF_W,0.9424,0.0095289033996572,0.8559999999999999,0.0238222584991431,0.964,0.0059555646247857,0.8626640597230274,0.0217857862929878,0.91,0.0148889115619645,anterior
10-7,2,KNN,DeepONMF_H2,0.916,0.0120830459735945,0.79,0.0302076149339864,0.9475,0.0075519037334966,0.8111208654891083,0.0311203145236019,0.86875,0.0188797593337415,anterior
10-7,2,KNN,DeepONMF_W,0.8084,0.0192561678430574,0.5210000000000001,0.0481404196076436,0.88025,0.0120351049019108,0.5428900418159461,0.0458944430598579,0.7006249999999999,0.0300877622547773,anterior
10-7,2,SVM,DeepONMF_H2,0.954,0.006164414002969,0.885,0.0154110350074224,0.97125,0.0038527587518556,0.8878879088970313,0.0161258267685438,0.928125,0.009631896879639,anterior
10-7,2,SVM,DeepONMF_W,0.8719999999999999,0.0101980390271854,0.6799999999999999,0.0254950975679639,0.92,0.0063737743919909,0.6774687305026801,0.0298421343014787,0.8,0.0159344359799774,anterior
10-7,2,UjaNet,DeepONMF_H2,0.978,0.0077459666924148,0.945,0.019364916731037,0.98625,0.0048412291827593,0.9462675300021954,0.0181418589649511,0.965625,0.0121030729568982,anterior
10-7,2,UjaNet,DeepONMF_W,0.9404,0.0085322916030806,0.851,0.0213307290077014,0.96275,0.0053326822519254,0.8543436745855653,0.0211586726934265,0.906875,0.0133317056298134,anterior
10-8-3,3,KNN,DeepONMF_H3,0.9292,0.0106395488626162,0.8230000000000001,0.0265988721565407,0.95575,0.0066497180391352,0.8400290927317539,0.0235018468874386,0.8893749999999999,0.0166242950978379,anterior
10-8-3,3,KNN,DeepONMF_W,0.8688,0.0099599196783909,0.6719999999999999,0.0248997991959774,0.918,0.0062249497989943,0.7018770201423657,0.0252400797262035,0.795,0.0155623744974859,anterior
10-8-3,3,SVM,DeepONMF_H3,0.9636,0.0074027022093286,0.909,0.0185067555233217,0.97725,0.0046266888808304,0.9111680512275327,0.0200792233784226,0.943125,0.0115667222020761,anterior
10-8-3,3,SVM,DeepONMF_W,0.9032,0.0093380940239429,0.758,0.0233452350598575,0.9395,0.0058363087649644,0.7666737801383652,0.0304549356908587,0.8487500000000001,0.0145907719124109,anterior
10-8-3,3,UjaNet,DeepONMF_H3,0.9764,0.0071274118724821,0.941,0.0178185296812055,0.98525,0.0044546324203013,0.9420348609272392,0.0177562766376776,0.963125,0.0111365810507534,anterior
10-8-3,3,UjaNet,DeepONMF_W,0.9472,0.011454256850621,0.868,0.0286356421265526,0.967,0.0071589105316381,0.8722032635025153,0.0290794142332393,0.9175,0.0178972763290954,anterior
10-8-4,3,KNN,DeepONMF_H3,0.9272,0.0111892805845595,0.818,0.0279732014613986,0.9545,0.0069933003653496,0.8413803615165427,0.0166825610134627,0.8862500000000001,0.0174832509133742,anterior
10-8-4,3,KNN,DeepONMF_W,0.8516000000000001,0.0151261363209512,0.629,0.037815340802378,0.90725,0.0094538352005946,0.6638682534091067,0.0327336227055651,0.7681250000000001,0.0236345880014863,anterior
10-8-4,3,SVM,DeepONMF_H3,0.96,0.0097979589711326,0.9,0.0244948974278318,0.975,0.0061237243569579,0.9018088902274592,0.0273473482537733,0.9375,0.0153093108923948,anterior
10-8-4,3,SVM,DeepONMF_W,0.9,0.0086023252670426,0.75,0.0215058131676064,0.9375,0.0053764532919016,0.7602763933837242,0.0243703373694579,0.84375,0.0134411332297541,anterior
10-8-4,3,UjaNet,DeepONMF_H3,0.9728,0.0078230428862432,0.932,0.0195576072156079,0.983,0.004889401803902,0.934320186180711,0.0184017421577181,0.9575,0.0122235045097549,anterior
10-8-4,3,UjaNet,DeepONMF_W,0.9384,0.0141703916671346,0.8459999999999999,0.0354259791678367,0.9615,0.0088564947919591,0.8488270952391742,0.0349590876236708,0.90375,0.0221412369798979,anterior
10-8-6,3,KNN,DeepONMF_H3,0.9116,0.0100399203184088,0.779,0.0250998007960222,0.94475,0.0062749501990055,0.8059030653066521,0.0265761369499783,0.8618750000000001,0.0156873754975139,anterior
10-8-6,3,KNN,DeepONMF_W,0.8288,0.0111892805845595,0.572,0.0279732014613987,0.893,0.0069933003653496,0.607488783211068,0.0168454697252676,0.7325,0.0174832509133742,anterior
10-8-6,3,SVM,DeepONMF_H3,0.9572,0.0084380092438915,0.893,0.021095023109729,0.97325,0.0052737557774322,0.8951427702038156,0.0219104419292076,0.933125,0.0131843894435806,anterior
10-8-6,3,SVM,DeepONMF_W,0.8888,0.0072938330115242,0.7220000000000001,0.0182345825288104,0.9305,0.0045586456322026,0.7247861708576034,0.0202414490594033,0.8262499999999999,0.0113966140805065,anterior
10-8-6,3,UjaNet,DeepONMF_H3,0.9772,0.0064187226143524,0.943,0.0160468065358812,0.98575,0.0040117016339703,0.9438282215704372,0.016637313849809,0.964375,0.0100292540849257,anterior
10-8-6,3,UjaNet,DeepONMF_W,0.9396,0.0116103402189599,0.849,0.0290258505473999,0.96225,0.0072564626368499,0.8540252534395606,0.0297508262950563,0.905625,0.0181411565921249,anterior
10-8-6-4,4,KNN,DeepONMF_H4,0.9252,0.0071554175279993,0.813,0.0178885438199983,0.95325,0.0044721359549995,0.8321882622475834,0.020529172492014,0.883125,0.0111803398874989,anterior
10-8-6-4,4,KNN,DeepONMF_W,0.8635999999999999,0.0077974354758471,0.659,0.0194935886896179,0.91475,0.0048733971724044,0.6932310528214952,0.0158816427870434,0.786875,0.0121834929310112,anterior
10-8-6-4,4,SVM,DeepONMF_H4,0.96,0.0066332495807108,0.9,0.0165831239517769,0.975,0.0041457809879441,0.9030323777747782,0.0173782669941182,0.9375,0.0103644524698606,anterior
10-8-6-4,4,SVM,DeepONMF_W,0.8956,0.0079246451024635,0.7390000000000001,0.0198116127561589,0.93475,0.0049529031890396,0.7566903456429561,0.0176256121043496,0.836875,0.0123822579725993,anterior
10-8-6-4,4,UjaNet,DeepONMF_H4,0.9724,0.0072663608498339,0.931,0.018165902124585,0.98275,0.0045414755311461,0.9323853909179228,0.0170420532744319,0.956875,0.0113536888278655,anterior
10-8-6-4,4,UjaNet,DeepONMF_W,0.942,0.0154272486205415,0.8550000000000001,0.0385681215513538,0.96375,0.0096420303878384,0.8619470936945277,0.0378916104459415,0.909375,0.0241050759695961,anterior
10-9,2,KNN,DeepONMF_H2,0.9048,0.0135351394525509,0.762,0.0338378486313772,0.9405,0.0084594621578443,0.8000227324861651,0.0123575056232739,0.85125,0.0211486553946107,anterior
10-9,2,KNN,DeepONMF_W,0.7904,0.0179666357451805,0.476,0.0449165893629514,0.869,0.0112291473407378,0.4980448905278109,0.0408006838060691,0.6725000000000001,0.0280728683518446,anterior
10-9,2,SVM,DeepONMF_H2,0.954,0.004,0.8850000000000001,0.0099999999999999,0.97125,0.0024999999999999,0.889471430676287,0.0100647500617287,0.928125,0.00625,anterior
10-9,2,SVM,DeepONMF_W,0.8684000000000001,0.01161034021896,0.671,0.0290258505473999,0.91775,0.0072564626368499,0.666772787142025,0.0325276160792546,0.7943749999999999,0.0181411565921249,anterior
10-9,2,UjaNet,DeepONMF_H2,0.9768,0.0111892805845594,0.942,0.0279732014613987,0.9855,0.0069933003653496,0.9433074627021312,0.0270330701256337,0.96375,0.0174832509133742,anterior
10-9,2,UjaNet,DeepONMF_W,0.9276,0.0021908902300206,0.819,0.0054772255750516,0.95475,0.0013693063937629,0.8282541979508056,0.0055850290705519,0.8868750000000001,0.0034232659844073,anterior
10-9-7-5,4,KNN,DeepONMF_H4,0.9156,0.0105261578935526,0.7889999999999999,0.0263153947338816,0.94725,0.0065788486834704,0.8194573000754328,0.021720168390685,0.868125,0.0164471217086759,anterior
10-9-7-5,4,KNN,DeepONMF_W,0.8464,0.0139570770578943,0.616,0.0348926926447357,0.904,0.0087231731611839,0.6483196938272282,0.03462844759456,0.76,0.0218079329029598,anterior
10-9-7-5,4,SVM,DeepONMF_H4,0.9508,0.0104498803820904,0.877,0.0261247009552261,0.96925,0.0065311752388065,0.8822528998004229,0.0285403559200769,0.923125,0.0163279380970164,anterior
10-9-7-5,4,SVM,DeepONMF_W,0.8927999999999999,0.005761944116355,0.732,0.0144048602908879,0.933,0.0036012150727219,0.7404679273294559,0.0157159469332423,0.8324999999999999,0.0090030376818049,anterior
10-9-7-5,4,UjaNet,DeepONMF_H4,0.9724,0.0077974354758471,0.931,0.019493588689618,0.98275,0.0048733971724045,0.9314184868428532,0.0198730674758817,0.956875,0.0121834929310112,anterior
10-9-7-5,4,UjaNet,DeepONMF_W,0.9424,0.0140996453856116,0.8559999999999999,0.035249113464029,0.964,0.0088122783660073,0.8607728807839475,0.0351029101495055,0.91,0.0220306959150182,anterior
10-9-7-5-3,5,KNN,DeepONMF_H5,0.9336,0.0089888820216977,0.834,0.0224722050542442,0.9585,0.005618051263561,0.8474202872179045,0.0247392140531291,0.89625,0.0140451281589026,anterior
10-9-7-5-3,5,KNN,DeepONMF_W,0.868,0.0094868329805051,0.67,0.0237170824512628,0.9175,0.0059292706128157,0.702042899711958,0.0294094813028211,0.79375,0.0148231765320392,anterior
10-9-7-5-3,5,SVM,DeepONMF_H5,0.9568,0.0096540147089176,0.892,0.0241350367722943,0.973,0.0060337591930736,0.8935001079949441,0.0254974267026655,0.9325,0.0150843979826839,anterior
10-9-7-5-3,5,SVM,DeepONMF_W,0.9016,0.008414273587185,0.7539999999999999,0.0210356839679625,0.9385,0.0052589209919907,0.7719968598453106,0.0288785227916205,0.8462500000000001,0.0131473024799766,anterior
10-9-7-5-3,5,UjaNet,DeepONMF_H5,0.9712,0.0072938330115241,0.928,0.0182345825288104,0.982,0.0045586456322026,0.9292509030539898,0.018085506633214,0.955,0.0113966140805065,anterior
10-9-7-5-3,5,UjaNet,DeepONMF_W,0.9452,0.0130076900332072,0.8630000000000001,0.0325192250830181,0.96575,0.0081298062707545,0.8680370734696167,0.031755872830521,0.914375,0.0203245156768863,anterior
11-10,2,KNN,DeepONMF_H2,0.904,0.0125698050899765,0.76,0.0314245127249413,0.94,0.0078561281812353,0.8034915191554873,0.0153581903746864,0.85,0.0196403204530883,anterior
11-10,2,KNN,DeepONMF_W,0.7868,0.0152052622469985,0.4669999999999999,0.0380131556174964,0.86675,0.009503288904374,0.4836498093615073,0.0512634491393316,0.666875,0.0237582222609352,anterior
11-10,2,SVM,DeepONMF_H2,0.954,0.010295630140987,0.885,0.0257390753524675,0.97125,0.0064347688381168,0.8877831787423988,0.0279888166745438,0.928125,0.0160869220952921,anterior
11-10,2,SVM,DeepONMF_W,0.8668000000000001,0.0100598210719673,0.667,0.0251495526799185,0.91675,0.0062873881699796,0.6598985435247707,0.0289727506899763,0.791875,0.0157184704249491,anterior
11-10,2,UjaNet,DeepONMF_H2,0.9796,0.0079246451024635,0.949,0.0198116127561589,0.98725,0.0049529031890397,0.9512789496768884,0.01686629036714,0.968125,0.0123822579725993,anterior
11-10,2,UjaNet,DeepONMF_W,0.932,0.0131909059582729,0.8300000000000001,0.0329772648956823,0.9575,0.0082443162239205,0.841495573845461,0.0260781234427095,0.89375,0.0206107905598014,anterior
11-3,2,KNN,DeepONMF_H2,0.9424,0.0047749345545253,0.8560000000000001,0.0119373363863132,0.964,0.0029843340965782,0.8629733993885491,0.0158999007131802,0.91,0.0074608352414458,anterior
11-3,2,KNN,DeepONMF_W,0.8676,0.0086486993241758,0.6689999999999999,0.0216217483104396,0.91725,0.0054054370776098,0.6996657105528995,0.0193131908928881,0.7931250000000001,0.0135135926940246,anterior
11-3,2,SVM,DeepONMF_H2,0.9624,0.0079246451024635,0.906,0.0198116127561589,0.9765,0.0049529031890397,0.9067477583329748,0.0208722060945404,0.94125,0.0123822579725993,anterior
11-3,2,SVM,DeepONMF_W,0.8995999999999998,0.0151921032118663,0.7489999999999999,0.0379802580296658,0.93725,0.0094950645074164,0.7585211189080943,0.0337348505779085,0.843125,0.0237376612685411,anterior
11-3,2,UjaNet,DeepONMF_H2,0.9776,0.0098386991009991,0.944,0.0245967477524976,0.986,0.0061491869381244,0.9452267655389128,0.0249749192646126,0.965,0.015372967345311,anterior
11-3,2,UjaNet,DeepONMF_W,0.9408,0.0103537432844358,0.852,0.0258843582110895,0.963,0.0064710895527723,0.8562966136111493,0.0262386355918655,0.9075,0.0161777238819309,anterior
11-4,2,KNN,DeepONMF_H2,0.9372,0.0087863530545955,0.843,0.0219658826364887,0.96075,0.0054914706591222,0.8491256583729211,0.0207417343753351,0.901875,0.0137286766478054,anterior
11-4,2,KNN,DeepONMF_W,0.8404,0.0097365291557105,0.601,0.0243413228892761,0.90025,0.006085330722319,0.6378359620912332,0.0309430000867307,0.7506250000000001,0.0152133268057976,anterior
11-4,2,SVM,DeepONMF_H2,0.9624,0.0087635609200826,0.906,0.0219089023002066,0.9765,0.0054772255750516,0.907742396716506,0.022585757200386,0.94125,0.0136930639376291,anterior
11-4,2,SVM,DeepONMF_W,0.8960000000000001,0.0063245553203367,0.74,0.0158113883008419,0.9350000000000002,0.0039528470752104,0.7438931238734295,0.0187419799754989,0.8375,0.0098821176880261,anterior
11-4,2,UjaNet,DeepONMF_H2,0.9732,0.006572670690062,0.933,0.0164316767251549,0.98325,0.0041079191812887,0.9357121848837252,0.0161059790518267,0.958125,0.0102697979532218,anterior
11-4,2,UjaNet,DeepONMF_W,0.9448,0.009011104260855,0.8620000000000001,0.0225277606521376,0.9655,0.0056319401630343,0.8674997973892001,0.0195968306994696,0.91375,0.014079850407586,anterior
11-5,2,KNN,DeepONMF_H2,0.9312,0.0036331804249169,0.828,0.0090829510622925,0.957,0.002270737765573,0.8371465975428942,0.0077342363283208,0.8924999999999998,0.0056768444139328,anterior
11-5,2,KNN,DeepONMF_W,0.8276,0.008414273587185,0.569,0.0210356839679626,0.89225,0.0052589209919906,0.599862969119456,0.0255909206523839,0.7306250000000001,0.0131473024799766,anterior
11-5,2,SVM,DeepONMF_H2,0.9576,0.005899152481501,0.8939999999999999,0.0147478812037526,0.9735,0.0036869703009381,0.8949193953171879,0.0159473429884848,0.93375,0.0092174257523453,anterior
11-5,2,SVM,DeepONMF_W,0.8824,0.0117813411800185,0.706,0.0294533529500462,0.9265,0.0073633382375115,0.7161439603550852,0.0415757113543394,0.8162499999999999,0.0184083455937788,anterior
11-5,2,UjaNet,DeepONMF_H2,0.9716,0.0095289033996572,0.929,0.0238222584991431,0.98225,0.0059555646247858,0.9302764457291016,0.0229774445514022,0.955625,0.0148889115619644,anterior
11-5,2,UjaNet,DeepONMF_W,0.932,0.0135646599662505,0.8300000000000001,0.0339116499156263,0.9575,0.0084779124789065,0.8396408122682282,0.026839208142357,0.89375,0.0211947811972664,anterior
11-5-3,3,KNN,DeepONMF_H3,0.9412,0.006870225614927,0.853,0.0171755640373176,0.96325,0.0042938910093293,0.8609383342384873,0.0135499092313178,0.908125,0.0107347275233235,anterior
11-5-3,3,KNN,DeepONMF_W,0.8544,0.01161034021896,0.6359999999999999,0.0290258505473999,0.909,0.00725646263685,0.6611776935518634,0.0281208459434074,0.7725000000000001,0.018141156592125,anterior
11-5-3,3,SVM,DeepONMF_H3,0.96,0.0093808315196468,0.9,0.0234520787991171,0.975,0.0058630196997791,0.9007591684663688,0.024633354306324,0.9375,0.0146575492494482,anterior
11-5-3,3,SVM,DeepONMF_W,0.9016,0.0090994505328618,0.7539999999999999,0.0227486263321546,0.9385,0.0056871565830387,0.7645025466803026,0.0281822935750024,0.8462500000000001,0.0142178914575966,anterior
11-5-3,3,UjaNet,DeepONMF_H3,0.976,0.0048989794855663,0.94,0.0122474487139158,0.985,0.003061862178479,0.9409910780989088,0.0117215297200116,0.9625,0.0076546554461974,anterior
