indice_interno,base,metodo,distribucion,numero_capas,penalizacion_ortogonal,error_final,forma_h,forma_w,segundos
130,original,ONMF,22-15-10,3,0.05,0.17909845871907557,10x212,126x10,0.032059899996966124
131,original,ONMF,22-15-10,3,0.05,0.18064490881653444,10x212,126x10,0.03237420006189495
132,original,ONMF,22-15-10,3,0.05,0.1781954329171246,10x212,126x10,0.030991500010713935
133,original,ONMF,22-15-10,3,0.05,0.17889226735928443,10x212,126x10,0.03295989998150617
134,original,ONMF,22-15-10,3,0.05,0.18444185685103398,10x212,126x10,0.03230100008659065
135,original,ONMF,22-15-10,3,0.05,0.17771924881406498,10x212,126x10,0.03376140003092587
136,original,ONMF,22-15-10,3,0.05,0.18063882935742234,10x212,126x10,0.033481899998150766
137,original,ONMF,22-15-10,3,0.05,0.1803187242083237,10x212,126x10,0.033053999999538064
138,original,ONMF,22-15-10,3,0.05,0.17981206794201557,10x212,126x10,0.03302800003439188
139,original,ONMF,22-15-10,3,0.05,0.1789383323934985,10x212,126x10,0.034485200070776045
140,original,ONMF,22-15-10,3,0.05,0.17987407961532054,10x212,126x10,0.03366949991323054
141,original,ONMF,22-15-10,3,0.05,0.18091280699671253,10x212,126x10,0.03268419997766614
142,original,ONMF,22-15-10,3,0.05,0.17933833184340583,10x212,126x10,0.03466110001318157
143,original,ONMF,22-15-10,3,0.05,0.17908544662504813,10x212,126x10,0.03316290001384914
144,original,ONMF,22-15-10,3,0.05,0.18023195456381505,10x212,126x10,0.031295299995690584
145,original,ONMF,22-15-10,3,0.05,0.18059161802490634,10x212,126x10,0.03354400000534952
146,original,ONMF,22-15-10,3,0.05,0.18048377882541228,10x212,126x10,0.03480470005888492
147,original,ONMF,22-15-10,3,0.05,0.18125152800155314,10x212,126x10,0.03375870001036674
148,original,ONMF,22-15-10,3,0.05,0.17763231152588943,10x212,126x10,0.03127650008536875
149,original,ONMF,22-15-10,3,0.05,0.1802012402414317,10x212,126x10,0.03157590003684163
150,original,ONMF,22-15-10,3,0.05,0.17971076239984246,10x212,126x10,0.032700100098736584
151,original,ONMF,22-15-10,3,0.05,0.18013955460226588,10x212,126x10,0.03357620001770556
