indice_interno,distribucion,numero_capas,error_final,forma_h_final,segundos_extraccion,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h
14,12-10-8,3,0.21925615846485416,8x212,0.03244320000521839,12,0.06453526616446255,0.3895650540808353,10,0.169386524306679,0.2473920493598709,8,0.23204216292639704,0.16962205348695417
15,12-10-8,3,0.204037691544857,8x212,0.025330100004794076,12,0.058112264233973476,0.33817444560032545,10,0.15800485673896145,0.19216071455394623,8,0.26969029719298104,0.1739610440435089
16,12-10-8,3,0.2531234732126723,8x212,0.03262300000642426,12,0.06656244285337451,0.38834188145033477,10,0.21123201711290876,0.19797608639025632,8,0.2598810330669004,0.16154443322711634
17,12-10-8,3,0.24463457403122033,8x212,0.03628030000254512,12,0.0563047179006002,0.34575091793900103,10,0.19548244268705753,0.18343760917545843,8,0.28447358940978784,0.14469103142836984
18,12-10-8,3,0.21608017885096065,8x212,0.05148470000131056,12,0.07041230898545132,0.3400331614143175,10,0.18563674673446895,0.17196304953099917,8,0.18643047328490722,0.14799539853136864
19,12-10-8,3,0.24228088393543679,8x212,0.02781689999392256,12,0.06254611149162682,0.38438322238894257,10,0.11884593579396421,0.20211431027403998,8,0.2530018911907971,0.14641801752813252
20,12-10-8,3,0.2355538575052658,8x212,0.03380750000360422,12,0.061419349440572306,0.32532350499304064,10,0.21126157202282,0.18319488523947736,8,0.25697932226915526,0.15517446382438616
21,12-10-8,3,0.2356773210444624,8x212,0.031074400001671165,12,0.05569029533679699,0.34072618507357044,10,0.17147570352525576,0.13403344239303455,8,0.2427405333515956,0.11091443959607142
22,12-10-8,3,0.24424616012376255,8x212,0.03510389997973107,12,0.056818967366767996,0.3127041793820085,10,0.20734358389398455,0.13675813970102213,8,0.30094378884723455,0.08967658069949999
23,12-10-8,3,0.21887991541178387,8x212,0.03331869997782633,12,0.060351310756683776,0.3964360519617835,10,0.23210333782617376,0.2378896407276069,8,0.25816489583260427,0.22428581061861244
24,12-10-8,3,0.22454916604451272,8x212,0.0305238000000827,12,0.06451863600954734,0.3593091961978765,10,0.17183374379443977,0.24280302282134114,8,0.2764635604459168,0.1897680754653248
25,12-10-8,3,0.22026680134120924,8x212,0.039763799984939396,12,0.06396689090783228,0.3663894325652752,10,0.18071887344132703,0.1503678590547704,8,0.24269402380700042,0.13259875088497902
26,12-10-8,3,0.21945339786673787,8x212,0.03536099998746067,12,0.05963247152448894,0.36340718294798524,10,0.18322463731462973,0.23264664898590195,8,0.25629921916284776,0.23242446163193448
27,12-10-8,3,0.2640445757396799,8x212,0.034717700007604435,12,0.06332055788693843,0.3632860007581859,10,0.17901525547471075,0.1780616305616472,8,0.3422429926599361,0.17244051807231944
28,12-10-8,3,0.22106310161825496,8x212,0.04117560002487153,12,0.05798339113163156,0.3548451206515803,10,0.17004984340898538,0.18165771486112828,8,0.25289918472371214,0.14087973258632872
29,12-10-8,3,0.21646474590617282,8x212,0.046934799989685416,12,0.06379304735918355,0.358182704436129,10,0.1435717521020888,0.2109751268740808,8,0.257246767072085,0.1593325705342577
30,12-10-8,3,0.2375064717965057,8x212,0.039006900013191625,12,0.06333574168874316,0.3598566043953102,10,0.17129688239394616,0.19450914477357142,8,0.2596482492551366,0.18913400289030755
31,12-10-8,3,0.2049579285738517,8x212,0.03248620001249947,12,0.056777013320962376,0.3795895662860369,10,0.2074839581174409,0.1674716113322481,8,0.28451184745739866,0.148609588331557
32,12-10-8,3,0.22014687948638517,8x212,0.04790020000655204,12,0.06099015762547295,0.35339608772981784,10,0.19380406648189122,0.20274836308535263,8,0.26315755323378875,0.19101429673196993
33,12-10-8,3,0.235665828145994,8x212,0.046789999993052334,12,0.05794104552926773,0.3577016255114144,10,0.17950805450972587,0.19413853598013925,8,0.3540201244605693,0.17624321636482027
34,12-10-8,3,0.2741277279319607,8x212,0.048376500024460256,12,0.055875417912501064,0.3448434143414178,10,0.2019892420129623,0.17263498086747137,8,0.29661356698793423,0.12538041439762226
35,12-10-8,3,0.22967957696916338,8x212,0.04808870001579635,12,0.05838847693654293,0.4020719007900148,10,0.194917158208141,0.2104713740602408,8,0.23062751765686118,0.17387710572630027
36,12-10-8,3,0.21960927831715968,8x212,0.045256600016728044,12,0.0436737220144748,0.3743008405639645,10,0.10314097676417992,0.14182331679334265,8,0.21462292283419032,0.10814408709621055
37,12-10-8,3,0.2312891873317321,8x212,0.050864200020441785,12,0.040142315156319185,0.3730582178769619,10,0.19067886888902436,0.16126386734928297,8,0.24713090427035977,0.13306900026021115
38,12-10-8,3,0.2224215142048961,8x212,0.045265299995662645,12,0.044825842445922526,0.3606656954065456,10,0.15067516256260216,0.17132093587851546,8,0.3248514082595132,0.13936892326958625
39,12-10-8,3,0.20578900193245644,8x212,0.03033270000014454,12,0.04439905178920765,0.4273960498043918,10,0.11668775384053925,0.1401398013930512,8,0.28314740321179693,0.05868451248347572
40,12-10-8,3,0.210210026446854,8x212,0.0436389000096824,12,0.049380120162256694,0.4174758106524254,10,0.14271321165878764,0.20880578929252433,8,0.20970077122273248,0.18560767823829363
41,12-10-8,3,0.20658987334931614,8x212,0.0254819999972824,12,0.06189054419395418,0.39459720723440994,10,0.18376384918646338,0.16481381618827753,8,0.2037674354004476,0.15190175837153694
42,12-10-8,3,0.2015957059247645,8x212,0.032744099997216836,12,0.048792722175313115,0.4242810985400521,10,0.14097140234286126,0.19925442382236236,8,0.18672686796258217,0.16237726880433115
43,12-10-8,3,0.19411082856419395,8x212,0.035676400002557784,12,0.04366594741772242,0.3812939202173582,10,0.14361799240507184,0.1848400144148421,8,0.2263930923097635,0.1391084720449996
44,12-10-8,3,0.2017154908621907,8x212,0.032234600017545745,12,0.04590491708821853,0.3909122432623587,10,0.16682846764787726,0.17712360917022682,8,0.2353348041207555,0.1326363665460087
45,12-10-8,3,0.21156052449732576,8x212,0.03820579999592155,12,0.04307441074524049,0.3809838033038582,10,0.18073669008198348,0.19947868843364283,8,0.31636580359636396,0.11392798042310846
46,12-10-8,3,0.1993332979977529,8x212,0.044921699998667464,12,0.051080759230275094,0.37125562809555157,10,0.1659907488555755,0.21602120477946896,8,0.2234886738066844,0.18324621112028933
47,12-10-8,3,0.1965717401223315,8x212,0.040233900013845414,12,0.04565745310630133,0.43966165220157416,10,0.14118529660507062,0.1617391288292273,8,0.2242847096032779,0.14727997036963741
48,12-10-8,3,0.232848442527921,8x212,0.04430850001517683,12,0.042186576025581984,0.4414481255088086,10,0.17516392215151602,0.19011538414404186,8,0.2556737468822665,0.1568133970582045
49,12-10-8,3,0.22262883243783715,8x212,0.03089160000672564,12,0.04526875249665771,0.37769023080432884,10,0.16502138601019925,0.1676009874832793,8,0.2692806578805406,0.13703505827668078
