indice_interno,distribucion,numero_capas,error_final,forma_h_final,segundos_extraccion,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h
84,2-7-24,3,0.17471445520141207,24x212,0.02170399998431094,2,0.12456476420121021,0.11461694738839998,7,0.04308359926086476,0.1911969239829267,24,0.034850204539866265,0.1315926480902814
85,2-7-24,3,0.18862223157576313,24x212,0.02165370000875555,2,0.13968421662025562,0.15746112060206513,7,0.04255939231836655,0.18242253842106898,24,0.04305008904058222,0.14473487388716574
86,2-7-24,3,0.17569391366256565,24x212,0.022620800009462982,2,0.12468927333153433,0.14502088438845423,7,0.04167017254253612,0.1727124897152374,24,0.04590950834890875,0.13304891655259618
87,2-7-24,3,0.1692070178611613,24x212,0.021922599989920855,2,0.1190146454715863,0.22028658432546716,7,0.040117981859473295,0.1463320161110479,24,0.04082643964712117,0.10986092077491783
88,2-7-24,3,0.1755835228476935,24x212,0.021137600007932633,2,0.12593049961034428,0.13409201877402416,7,0.04041474106932682,0.18048048516079615,24,0.035838380096141015,0.15323231153039002
89,2-7-24,3,0.17968237345466878,24x212,0.020227999979397282,2,0.13078767788869372,0.13337607304941063,7,0.04294055238684779,0.15054050658817764,24,0.03657016448984084,0.15064841981725616
90,2-7-24,3,0.1663231282585799,24x212,0.035391699988394976,2,0.12326300425673675,0.388079407302378,7,0.03872277391945957,0.26113229223576456,24,0.03695310005080505,0.1681600514709562
91,2-7-24,3,0.17903330503318604,24x212,0.03297710002516396,2,0.11863050842714001,0.18433550262510004,7,0.04628470696581919,0.14555568709798858,24,0.04314883448966742,0.15732480898116113
92,2-7-24,3,0.17798733429965816,24x212,0.022401499998522922,2,0.12760780400219715,0.2169158802002224,7,0.044230627517385976,0.16383148980276335,24,0.03774158436356871,0.12994892552542714
93,2-7-24,3,0.1867710726121314,24x212,0.025567699980456382,2,0.14189115111891498,0.1527508802685992,7,0.038862163392388994,0.15436247826570199,24,0.038844568240507714,0.1388557262890163
94,2-7-24,3,0.16777396686762444,24x212,0.026579299999866635,2,0.11752585921159732,0.13032656439925522,7,0.038551328983473875,0.1088052642395722,24,0.04061657601648756,0.1453094603223348
95,2-7-24,3,0.18156324416678946,24x212,0.022562400001334026,2,0.13388046531350542,0.13505146331319695,7,0.04021660471543092,0.21305092347779692,24,0.0393206419627278,0.15307267329314747
96,2-7-24,3,0.18290443086786792,24x212,0.024232399999164045,2,0.13012357804136376,0.1442822168060809,7,0.03932012079987803,0.1719244679385192,24,0.04517356957623338,0.12490062427383196
97,2-7-24,3,0.17554387852816733,24x212,0.020513299998128787,2,0.12752511057309557,0.13788516417165653,7,0.042236012547765246,0.14075377320252638,24,0.03608625202784692,0.14561648174153974
98,2-7-24,3,0.16511880081594943,24x212,0.02439450001111254,2,0.109727201485049,0.20633066561588215,7,0.04242698390438791,0.23526108081527686,24,0.03986262168022194,0.1211360012635247
99,2-7-24,3,0.16002557621009797,24x212,0.029469500004779547,2,0.10189557725281768,0.09997327364019995,7,0.040594341360140625,0.14515747396626483,24,0.03978773948969003,0.15971436856290736
100,2-7-24,3,0.16579907756147558,24x212,0.02767650000168942,2,0.11371129893838691,0.12306161165490564,7,0.03759753257285136,0.1600472614067846,24,0.03990011545566023,0.18622008940392681
101,2-7-24,3,0.15975149315121515,24x212,0.022381999995559454,2,0.10523911943008958,0.20196022740670191,7,0.03679391503673246,0.14685295845563773,24,0.03819502506073755,0.10956304677409705
102,2-7-24,3,0.16924347646268678,24x212,0.031126100016990677,2,0.11627295290944013,0.24660104525328877,7,0.042809028107341655,0.1740459441044482,24,0.04168794966237523,0.21102376484420965
103,2-7-24,3,0.1586910716764943,24x212,0.024486899987095967,2,0.10712881410781548,0.19038038383414724,7,0.033494076805869404,0.20011548637643295,24,0.04102714780492085,0.15258144866653203
104,2-7-24,3,0.15883266640179527,24x212,0.034532499994384125,2,0.10039769855893607,0.23641403825949664,7,0.043178953410149115,0.2289815016559831,24,0.03938895396834493,0.12396238761445479
105,2-7-24,3,0.15902063884786946,24x212,0.02735799999209121,2,0.10129969241876985,0.17310968795599085,7,0.04244540118563048,0.1269865054791124,24,0.03639102772283208,0.12110121726194929
106,2-7-24,3,0.16065617484051442,24x212,0.02674880000995472,2,0.10367972013147272,0.1968092486347066,7,0.04313698264043072,0.14827621896363874,24,0.03685240003425695,0.12846404514897683
107,2-7-24,3,0.15717395036429627,24x212,0.026773699995828792,2,0.106839097067237,0.5118344348599613,7,0.04785664074498852,0.2523734066476591,24,0.0398493785945459,0.16793221521586918
108,2-7-24,3,0.1587928922751776,24x212,0.024239899998065084,2,0.10502760238830992,0.08121468362956087,7,0.03656494724900723,0.22898225669652061,24,0.03701726825083281,0.13219211237888953
109,2-7-24,3,0.16618914903499457,24x212,0.024982400005683303,2,0.11395004071726542,0.12344320156297581,7,0.040285404255745984,0.2569379387811133,24,0.036571993739052316,0.20000820865270483
110,2-7-24,3,0.1600605974773977,24x212,0.02549400000134483,2,0.10258243197249217,0.13491344605866343,7,0.04324143984864204,0.18805253076442693,24,0.036503572917908414,0.13297513213071627
111,2-7-24,3,0.16171840816901442,24x212,0.02718579999054782,2,0.10697632391179968,0.15858448587642232,7,0.03819353828471972,0.24815117612896676,24,0.0377665607298125,0.17928038611389535
112,2-7-24,3,0.17150610763500837,24x212,0.034428599989041686,2,0.11237462302251322,0.1425684384505883,7,0.04141104804775575,0.20749444365452024,24,0.04357023775733451,0.16251834880075225
113,2-7-24,3,0.17155834784317245,24x212,0.02573570000822656,2,0.11669042956844097,0.1296411242083857,7,0.046866384035299684,0.15148983809462577,24,0.05138943258125331,0.18064951945299673
114,2-7-24,3,0.1752363649188,24x212,0.026309500011848286,2,0.12316622831851153,0.10284182300722138,7,0.04353786161327972,0.23346836946946792,24,0.040004572735277986,0.17498230250101304
115,2-7-24,3,0.15924356869693543,24x212,0.02938750002067536,2,0.10849699153562173,0.14168192128470822,7,0.04055832070280667,0.13660215788482827,24,0.03472784715905945,0.17485982852946305
116,2-7-24,3,0.15799565412177513,24x212,0.03254479999304749,2,0.10411444966317342,0.17272836898355853,7,0.03941180362218173,0.1349819522327965,24,0.03819619697381343,0.16852305986144467
117,2-7-24,3,0.16101165231973114,24x212,0.02206710001337342,2,0.10049363222629336,0.11946422900271238,7,0.04280705507886687,0.14800381155407835,24,0.039010022710363766,0.15295557417002137
118,2-7-24,3,0.16639969664656287,24x212,0.023920100007671863,2,0.11174976393733581,0.1205826915903431,7,0.04256394699166918,0.09132082043625608,24,0.03884652997875434,0.12653993904857985
119,2-7-24,3,0.16728709285517085,24x212,0.023285500006750226,2,0.10883694221205853,0.11501057977220171,7,0.03825523848854665,0.1309891113705223,24,0.04268079816295182,0.17327509572451777
120,2-7-24,3,0.16322119275462954,24x212,0.028973800013773143,2,0.11130172554556239,0.23938415929923856,7,0.042534926081462816,0.23229099345447443,24,0.03657753419872089,0.20386197677683635
121,2-7-24,3,0.16565149998902634,24x212,0.046326000010594726,2,0.11194260818697879,0.19301957097129052,7,0.03896838500480454,0.19474384633722525,24,0.042915153234883346,0.133239191472377
122,2-7-24,3,0.15759487268996517,24x212,0.02457829998456873,2,0.10235810797005462,0.1601685504860066,7,0.03831678418572404,0.19190631713930553,24,0.039663832683112916,0.17340827284299892
123,2-7-24,3,0.15797739564286178,24x212,0.024474200006807223,2,0.09950081033334794,0.231738824663067,7,0.045308917517978074,0.14083427070809776,24,0.03889111759503435,0.20192617691355053
124,2-7-24,3,0.15775808071394265,24x212,0.021266299998387694,2,0.10021516105888312,0.07918507019842874,7,0.04112542473387347,0.09318010314843403,24,0.03767365792478523,0.1769355585663482
125,2-7-24,3,0.14790532525152217,24x212,0.02649679998285137,2,0.09832935558436603,0.40509873586502426,7,0.04233375924628332,0.2658339884351684,24,0.03637180280182742,0.17624197743767953
126,2-7-24,3,0.1693004468822905,24x212,0.029505199985578656,2,0.1322136073900367,0.19377204372709383,7,0.03313523624225633,0.2385934359293073,24,0.03958976236943858,0.13564573038746913
127,2-7-24,3,0.17545689844104462,24x212,0.033375400002114475,2,0.1239511851420915,0.09319992478731641,7,0.03545109385811624,0.16363127690856685,24,0.04078487890743149,0.13740845738412724
128,2-7-24,3,0.17489778868453934,24x212,0.024470599979395047,2,0.12647911857357452,0.3161526891597735,7,0.044458680675846185,0.145988541969535,24,0.03968784087678643,0.18234635370246854
129,2-7-24,3,0.1655805290275906,24x212,0.02378109999699518,2,0.11741228101088569,0.19563942975885945,7,0.040031305834164005,0.16409726256208235,24,0.03709745359466469,0.17329954705920247
130,2-7-24,3,0.17744887766967207,24x212,0.027953000011621043,2,0.12649308959029518,0.1778520010855019,7,0.038067043005519254,0.15594804651387953,24,0.04102938860285537,0.199919762290963
131,2-7-24,3,0.17623124584946492,24x212,0.030973499990068376,2,0.12462742405289816,0.07200743213436256,7,0.04902014619100446,0.18552126834266872,24,0.035008834036788256,0.19797290113019864
132,2-7-24,3,0.19393731803092126,24x212,0.023678099998505786,2,0.15176905714272054,0.07648812397656966,7,0.03927548970415039,0.14852389322708168,24,0.040045890054117815,0.16016593724072353
133,2-7-24,3,0.17712375416259596,24x212,0.024542500003008172,2,0.12691876266886265,0.11742657563111045,7,0.04316422060590009,0.2234714802910953,24,0.04599682431487832,0.15317222986952228
134,2-7-24,3,0.17018624711352323,24x212,0.023029500007396564,2,0.12275735977269132,0.05601552832819452,7,0.035020860130152945,0.23535912791623415,24,0.03898633038107735,0.18206128123511964
135,2-7-24,3,0.18385108265639155,24x212,0.02835190002224408,2,0.1394550616523804,0.1003470670032188,7,0.04086318321183174,0.24322640033774762,24,0.033371079501459386,0.183456784201684
136,2-7-24,3,0.18661348681817524,24x212,0.022482200001832098,2,0.13527002812875197,0.19228019440639244,7,0.045053786990010454,0.18578063851345045,24,0.043614704712140795,0.13903558367944482
137,2-7-24,3,0.17557922666048092,24x212,0.022470700001576915,2,0.13237252640088024,0.20611519545528578,7,0.040486336804935096,0.17120440056052044,24,0.036650672389478375,0.17056996145061937
138,2-7-24,3,0.18642195550609733,24x212,0.022669499972835183,2,0.13497086741911535,0.14909642734360662,7,0.046030007375694515,0.1309279242690168,24,0.03972773994878263,0.1751398294705954
139,2-7-24,3,0.1806264868323336,24x212,0.021750399988377467,2,0.12456620480508773,0.18191827604908317,7,0.039907034809891245,0.14695545574958999,24,0.046437111649453376,0.12499785699114567
140,2-7-24,3,0.17321358262564826,24x212,0.021059999999124557,2,0.12446950274429483,0.19210607013470918,7,0.043953312030721864,0.1957037858744692,24,0.03592700417740952,0.21890472136462313
141,2-7-24,3,0.17864664664996893,24x212,0.023223700001835823,2,0.13368408331960116,0.16142286134358635,7,0.042855884595891944,0.2047824405067999,24,0.03439692635569216,0.20673924914939779
142,2-7-24,3,0.18567359293324787,24x212,0.023682300001382828,2,0.12977984313715157,0.17257564340059955,7,0.04360913770033765,0.1637681542978121,24,0.04515464917926558,0.2117588428649068
143,2-7-24,3,0.1779307609867295,24x212,0.027136399992741644,2,0.13366221251483656,0.051968373916153214,7,0.03492397480893336,0.1677496468552669,24,0.041640674308905355,0.13633987043924076
144,2-7-24,3,0.17659608107365343,24x212,0.02622579998569563,2,0.12088191935482859,0.09113025530429493,7,0.04475382847653241,0.14015425890750668,24,0.03745435007952445,0.18594319253736286
145,2-7-24,3,0.16888716905946222,24x212,0.03492279999773018,2,0.1226604924376084,0.10768285889991619,7,0.040672041622669027,0.19685134533655288,24,0.030561735609113974,0.1682391520090858
146,2-7-24,3,0.1784844090674709,24x212,0.027466500003356487,2,0.12931036020617245,0.08739995022003257,7,0.04908503218059512,0.21511639667746704,24,0.031406948027094615,0.2144612174656865
147,2-7-24,3,0.17254507412661385,24x212,0.027736000018194318,2,0.1335717006128609,0.16411581023995903,7,0.03703337407351847,0.2575890642269606,24,0.03480040962920971,0.17100366766243885
148,2-7-24,3,0.17145361968467418,24x212,0.02613230000133626,2,0.12269927363805805,0.17324225139323607,7,0.04167091050706499,0.1611786914279804,24,0.03641794296332697,0.1762982931936784
149,2-7-24,3,0.17623750574678596,24x212,0.021799300011480227,2,0.1330224868808686,0.204551018449485,7,0.041630066953662156,0.2590745984827726,24,0.033324249793974726,0.17669106164624157
150,2-7-24,3,0.17821072165230917,24x212,0.023168600018834695,2,0.13156659052361766,0.15069594404274483,7,0.03494590536728388,0.25726239155857145,24,0.046857605562327535,0.18487575365118306
151,2-7-24,3,0.17832689062940266,24x212,0.025827000004937872,2,0.1289055730324174,0.11543320570696256,7,0.04385577541868563,0.11685702471110179,24,0.033184191870031084,0.1778038891995603
152,2-7-24,3,0.17487910522528743,24x212,0.02989439998054877,2,0.1345959379292363,0.193098408636422,7,0.03665419256501015,0.2408750385576425,24,0.03901198447052729,0.15296316165156365
153,2-7-24,3,0.1835212191534014,24x212,0.02253650000784546,2,0.1330463143906033,0.05699323681364644,7,0.04893461215758341,0.10844081823851985,24,0.03428505966622541,0.2333084829425456
154,2-7-24,3,0.18506597815469844,24x212,0.022365900018485263,2,0.13249118429781137,0.15048748306906637,7,0.04633926110560796,0.18121618124000183,24,0.03876672333346201,0.18213711573646546
155,2-7-24,3,0.18017151289137215,24x212,0.024239299993496388,2,0.13072529178211229,0.18421035956135456,7,0.0450218428442299,0.2627694680427564,24,0.03862224625322544,0.1558356203131724
156,2-7-24,3,0.17050162161109925,24x212,0.022739999985788018,2,0.12391589022445412,0.17086038340926535,7,0.04288182646351358,0.21951391506335696,24,0.03593889429035818,0.1676756112122501
157,2-7-24,3,0.19715493017937646,24x212,0.02120330001343973,2,0.14977580282812702,0.0910264980063773,7,0.04558437388432413,0.2592216113050754,24,0.039764975080615717,0.20172751241866588
158,2-7-24,3,0.20384431155840096,24x212,0.022795400000177324,2,0.16027010635976643,0.09690740508675078,7,0.04117011584861161,0.1789243091445196,24,0.04019159918893572,0.1769418822699202
159,2-7-24,3,0.19505457853913857,24x212,0.02155859998310916,2,0.15251105567334608,0.1791301714731315,7,0.03965952161562818,0.1913217353542069,24,0.038431807115931305,0.19911925508395129
160,2-7-24,3,0.19634319572612477,24x212,0.03216020000400022,2,0.15493130336673666,0.2015738192905207,7,0.04108171278298707,0.2084968793396192,24,0.04014660985516647,0.16924450659187443
161,2-7-24,3,0.20322774632612545,24x212,0.019911900017177686,2,0.16194562846241267,0.13572403234184013,7,0.03923214910775527,0.11964467508441148,24,0.03916962116709667,0.13113820724320155
162,2-7-24,3,0.19708265013458787,24x212,0.025653000018792227,2,0.15856484329038054,0.10469589596562359,7,0.03765868364016956,0.27442375692481435,24,0.04367306145403628,0.18003498384645175
163,2-7-24,3,0.18356013906330215,24x212,0.030386500002350658,2,0.14255790568073912,0.19565233577102997,7,0.035268903687372156,0.26186729541744047,24,0.03828919574809581,0.1586147155673907
164,2-7-24,3,0.20050763065453656,24x212,0.028749399993102998,2,0.15738529652323824,0.13869265148805415,7,0.045274557362472,0.21847297704709043,24,0.03589294916610489,0.17372614874114836
165,2-7-24,3,0.2034325099148878,24x212,0.024897299997974187,2,0.160705690648472,0.12061863497199432,7,0.04171829294483716,0.11991204123253509,24,0.041362880237178934,0.14245324051300454
166,2-7-24,3,0.21001547328413672,24x212,0.023471099993912503,2,0.1631661259312598,0.14459869077325713,7,0.04352667952021712,0.1435802229569578,24,0.04336695961165997,0.13364301062801476
167,2-7-24,3,0.20658254011722804,24x212,0.02455309999641031,2,0.15987983940941677,0.2214809577742324,7,0.04342830056705217,0.18328107003593572,24,0.05032089839836733,0.17853518095876042
