indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
520,SNR_5db,MR,New_MR_121.wav,30-13-6,DeepONMF_H3,3,0.4706750629287273,6x212,0.025291199912317097,30,0.19507226417056628,0.2290982128356352,0.017039600061252713,13,0.39608205383885703,0.11648609754915945,0.004362200037576258,6,0.5883544716519917,0.12140040061243616,0.002685900079086423
521,SNR_5db,MR,New_MR_122.wav,30-13-6,DeepONMF_H3,3,0.4468832456824431,6x212,0.024702500086277723,30,0.19503662324722612,0.23960519801291125,0.016253899899311364,13,0.40191408306143167,0.13355600263643846,0.004818500019609928,6,0.5445189431293183,0.10985049812718324,0.0027320999652147293
522,SNR_5db,MR,New_MR_123.wav,30-13-6,DeepONMF_H3,3,0.4116122366647858,6x212,0.02404049993492663,30,0.19425707569603612,0.23223816994086333,0.016172699979506433,13,0.3809708129785867,0.14157021969176822,0.004233099985867739,6,0.5064043307235125,0.12401451447966808,0.00260930007789284
523,SNR_5db,MR,New_MR_124.wav,30-13-6,DeepONMF_H3,3,0.37971390524790305,6x212,0.024645400000736117,30,0.19935679689283287,0.24616814847927193,0.0164814000017941,13,0.43449762753895893,0.12808580580044923,0.004641199950128794,6,0.5437003211948908,0.1149021006449035,0.00266519992146641
524,SNR_5db,MR,New_MR_125.wav,30-13-6,DeepONMF_H3,3,0.506547643407543,6x212,0.023882599896751344,30,0.1981286072367102,0.24401473027427342,0.0160335999680683,13,0.3676753080114929,0.11433646625071212,0.004334699944593012,6,0.5496145293156101,0.10555603433909745,0.0026629000203683972
525,SNR_5db,MR,New_MR_126.wav,30-13-6,DeepONMF_H3,3,0.36311161705704775,6x212,0.02503129991237074,30,0.1996615050713178,0.24711007559799647,0.01700620003975928,13,0.4433147371578852,0.11703093470966462,0.004481300013139844,6,0.5735738506518556,0.1250933954850029,0.0028210000600665808
526,SNR_5db,MR,New_MR_127.wav,30-13-6,DeepONMF_H3,3,0.4019401233904422,6x212,0.0230403000023216,30,0.19525559483836488,0.2403908536168511,0.015221399953588843,13,0.4159776413976144,0.12985883819702232,0.00429519999306649,6,0.5321412422773218,0.12434060091961188,0.002643299987539649
527,SNR_5db,MR,New_MR_128.wav,30-13-6,DeepONMF_H3,3,0.439265184150532,6x212,0.024153999984264374,30,0.19503549318870728,0.24465883675600286,0.016165600041858852,13,0.4104702991534624,0.1402732895594149,0.004306199960410595,6,0.5585451912245294,0.1338729959782669,0.002638799953274429
528,SNR_5db,MR,New_MR_129.wav,30-13-6,DeepONMF_H3,3,0.4418033675051825,6x212,0.022710699937306345,30,0.19932903115609074,0.2392505280127571,0.014231699984520674,13,0.37400167743813184,0.13237313330515404,0.004871000070124865,6,0.474556649468863,0.11132894039169676,0.002707200008444488
529,SNR_5db,MR,New_MR_130.wav,30-13-6,DeepONMF_H3,3,0.3946610575228116,6x212,0.024452799931168556,30,0.19437307590767347,0.23482535087229,0.016649099998176098,13,0.43567577229135973,0.12397175467579899,0.004263899987563491,6,0.5611161107573199,0.11048967847572731,0.0026041000382974744
530,SNR_5db,MR,New_MR_131.wav,30-13-6,DeepONMF_H3,3,0.4361236177688406,6x212,0.026054600020870566,30,0.196512046610024,0.23026022237147048,0.016370900091715157,13,0.3642158766885518,0.12421591554030191,0.0060680999886244535,6,0.5195715482261465,0.12183899291688281,0.0026807000394910574
531,SNR_5db,MR,New_MR_132.wav,30-13-6,DeepONMF_H3,3,0.3944133792215082,6x212,0.023614600067958236,30,0.1979821099546499,0.23722180831558445,0.01591980003286153,13,0.4055582367681719,0.14396787656041024,0.004177700029686093,6,0.5205356416393115,0.1400035137396935,0.002579999971203506
532,SNR_5db,MR,New_MR_133.wav,30-13-6,DeepONMF_H3,3,0.43322253347749445,6x212,0.024209900060668588,30,0.2024608982709376,0.2412778171071501,0.014983800007030368,13,0.34934765169111975,0.12939016199668904,0.005702499998733401,6,0.5309416924586161,0.0967880501171636,0.002657499979250133
533,SNR_5db,MR,New_MR_134.wav,30-13-6,DeepONMF_H3,3,0.38162420875492503,6x212,0.02258699992671609,30,0.19238826950068114,0.2556963398621061,0.014725000015459955,13,0.37987459186561323,0.14463835289416507,0.004213200067169964,6,0.49440340223685125,0.0974038269911053,0.0026687999488785863
534,SNR_5db,MR,New_MR_135.wav,30-13-6,DeepONMF_H3,3,0.4423554908932128,6x212,0.023416000069119036,30,0.196430047635716,0.24074388141483247,0.015557700069621205,13,0.3904473239866517,0.12279928833142084,0.004223200026899576,6,0.5651051654426509,0.12291461336645963,0.002799400012008846
535,SNR_5db,MR,New_MR_136.wav,30-13-6,DeepONMF_H3,3,0.4607811805347449,6x212,0.02306450007017702,30,0.19571910970754122,0.24323655876359448,0.014575800043530762,13,0.38295433258458683,0.12606221068198176,0.004774400033056736,6,0.603693173006487,0.13501840224227024,0.0027560999151319265
536,SNR_5db,MR,New_MR_137.wav,30-13-6,DeepONMF_H3,3,0.418935171746855,6x212,0.02443150000181049,30,0.19559817989130268,0.24011429642670798,0.016837600036524236,13,0.42425791989704437,0.15465254777125842,0.004208300029858947,6,0.5182472899662277,0.14992211930400184,0.0026137999957427382
537,SNR_5db,MR,New_MR_138.wav,30-13-6,DeepONMF_H3,3,0.41598954437981156,6x212,0.02374400000553578,30,0.1927058544071396,0.23287293595837788,0.01560130005236715,13,0.4056699253335957,0.14153506190086468,0.004609700059518218,6,0.5132343919056991,0.10152520791839283,0.0026635000249370933
