indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos,capa_4_rango,capa_4_error,capa_4_ortogonalidad_h,capa_4_segundos
16,SNR_0db,N,New_N_017.wav,24-15-10-6,DeepONMF_H4,4,nndsvd,0.39991750995446096,6x212,0.03758789994753897,24,0.25254533068044893,0.30028985227265526,0.02380660001654178,15,0.18030212747676563,0.3162968842168242,0.006169200059957802,10,0.15962309312574136,0.3137366226940061,0.003744299989193678,6,0.16118831984250548,0.32374672890549633,0.0028286000015214086
17,SNR_0db,N,New_N_018.wav,24-15-10-6,DeepONMF_H4,4,nndsvd,0.40062434225568266,6x212,0.0351703999331221,24,0.2502908355096573,0.29693046687936686,0.020989599986933172,15,0.17596726309861593,0.30160312660580163,0.006123999948613346,10,0.15465743469959703,0.2900609724072126,0.0039005998987704515,6,0.1599393964013064,0.29381662310258366,0.0028945000376552343
18,SNR_0db,N,New_N_019.wav,24-15-10-6,DeepONMF_H4,4,nndsvd,0.3971023018001499,6x212,0.03730379999615252,24,0.24854328951452387,0.2958135530522882,0.023879499989561737,15,0.1749542165176232,0.3020321577410556,0.005561799975112081,10,0.15313853992073614,0.2986716778705026,0.0037369999336078763,6,0.1554826388301886,0.3033083210391003,0.0028052000561729074
19,SNR_0db,N,New_N_020.wav,24-15-10-6,DeepONMF_H4,4,nndsvd,0.3934144772496573,6x212,0.03737170004751533,24,0.250181504554813,0.30081498935290263,0.024135100073181093,15,0.17104778313330607,0.3077782110042216,0.00521380000282079,10,0.15358918287017637,0.30721654365861517,0.003593200002796948,6,0.15504194938919963,0.30440302453913265,0.00314839999191463
20,SNR_0db,N,New_N_021.wav,24-15-10-6,DeepONMF_H4,4,nndsvd,0.39273149843049354,6x212,0.03532879997510463,24,0.24539228049078476,0.3035002612525453,0.021823200047947466,15,0.1769253634558733,0.3089417270894347,0.00548179994802922,10,0.1533498226160766,0.3085928459433397,0.004089799942448735,6,0.15481307540679937,0.3146033711142151,0.0030230000847950578
21,SNR_0db,N,New_N_022.wav,24-15-10-6,DeepONMF_H4,4,nndsvd,0.3990137770581792,6x212,0.03575310006272048,24,0.25007717821060027,0.3036906034054081,0.021986600011587143,15,0.17417840885852923,0.30285056300773366,0.005458400002680719,10,0.15738819213027655,0.31073074872558265,0.004486899939365685,6,0.15640255105101555,0.3143158599494675,0.002978899981826544
22,SNR_0db,N,New_N_023.wav,24-15-10-6,DeepONMF_H4,4,nndsvd,0.39144773053974885,6x212,0.03601100004743785,24,0.2444660374972004,0.3019307045652089,0.02266570006031543,15,0.1671903338337313,0.30513286458322236,0.00566280004568398,10,0.15499926560194802,0.3114641238273174,0.003725099959410727,6,0.1560405887477784,0.307488939997473,0.002782600000500679
23,SNR_0db,N,New_N_024.wav,24-15-10-6,DeepONMF_H4,4,nndsvd,0.3958143382138778,6x212,0.0382140000583604,24,0.2508566022048631,0.29961127915008307,0.025795199908316135,15,0.17312056832600226,0.30483126247282766,0.0049940000753849745,10,0.15296554328802428,0.30771952555248994,0.003509499947540462,6,0.15456501805153738,0.3009730827655887,0.002679299912415445
24,SNR_0db,N,New_N_025.wav,24-15-10-6,DeepONMF_H4,4,nndsvd,0.4022608912124993,6x212,0.03719429997727275,24,0.24920786358239286,0.30311617082997366,0.023784899967722595,15,0.1847628263294418,0.2929684944249943,0.005888800020329654,10,0.15324640066555317,0.2878934755887724,0.003474299912340939,6,0.15929235993056437,0.31413351470902634,0.0031649000011384487
25,SNR_0db,N,New_N_026.wav,24-15-10-6,DeepONMF_H4,4,nndsvd,0.39568235621356446,6x212,0.036156099988147616,24,0.24789623778959397,0.31118241058845053,0.022872200002893806,15,0.18153350988586675,0.3099349733861378,0.00543170003220439,10,0.15446335211050743,0.30693081775002495,0.004031899967230856,6,0.1574215460364597,0.31598611080446765,0.002902099979110062
26,SNR_0db,N,New_N_027.wav,24-15-10-6,DeepONMF_H4,4,nndsvd,0.3912172522888359,6x212,0.03623219998553395,24,0.24777157236673064,0.2941424619064956,0.022872100002132356,15,0.17159716075947282,0.30025974532869315,0.005646000034175813,10,0.1489509778523679,0.2998293274754309,0.0038963999832049012,6,0.16002225171553075,0.3031593633860769,0.002830799901857972
27,SNR_0db,N,New_N_028.wav,24-15-10-6,DeepONMF_H4,4,nndsvd,0.40156093043221036,6x212,0.03711889998521656,24,0.24858390772056962,0.3037249771829662,0.023435599985532463,15,0.17620397114942768,0.29586478194807264,0.00599159998819232,10,0.15376257618529762,0.31201642590325024,0.0036365999840199947,6,0.14816603167133968,0.30900600761457253,0.0027230000123381615
28,SNR_0db,N,New_N_029.wav,24-15-10-6,DeepONMF_H4,4,nndsvd,0.4007305370705977,6x212,0.03331840003374964,24,0.2536272068686946,0.28883289707560716,0.019812799990177155,15,0.18400146562006447,0.3043674491260218,0.00562860001809895,10,0.15842264156578542,0.3227456226692609,0.003683400107547641,6,0.15364897996488117,0.30524725731122765,0.002765099983662367
