indice_interno,clase,archivo,distribucion,numero_capas,error_final,forma_w_final,forma_h_final,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos,capa_4_rango,capa_4_error,capa_4_ortogonalidad_h,capa_4_segundos,capa_5_rango,capa_5_error,capa_5_ortogonalidad_h,capa_5_segundos
21,N,New_N_022.wav,20-19-18-17-16,5,0.4606698026185917,126x16,16x212,20,0.04734639839699121,0.4256137814496445,0.02598890001536347,19,0.15604263775066662,0.1383750339021094,0.013041400001384318,18,0.10719974497649014,0.11032659115462604,0.01023650000570342,17,0.2502008388821378,0.09089330279574359,0.01121880000573583,16,0.18497451854681984,0.08278963428155066,0.01012369999079965
22,N,New_N_023.wav,20-19-18-17-16,5,0.38684730011239843,126x16,16x212,20,0.04449631629804392,0.3978681248596175,0.026564799976767972,19,0.15606496089376137,0.16209985999298657,0.008575899992138147,18,0.13222100839245834,0.10227204896551947,0.007939400005852804,17,0.2358181638293406,0.0775508458579148,0.008854799991240725,16,0.16840128644847824,0.07684456240043641,0.011044400016544387
23,N,New_N_024.wav,20-19-18-17-16,5,0.4137389300110972,126x16,16x212,20,0.04332636032703836,0.37735084425966575,0.026415000000270084,19,0.1730216961290227,0.12902131361547886,0.008309400000143796,18,0.17769470726204575,0.08631261262210395,0.0086940000182949,17,0.1705549303750575,0.07997530582011446,0.011275500000920147,16,0.22174750664135667,0.07425408129215848,0.010532600019359961
24,N,New_N_025.wav,20-19-18-17-16,5,0.44724082553007627,126x16,16x212,20,0.04690329236848266,0.3644052348831463,0.026929099985864013,19,0.15111712441879985,0.16881289135533792,0.013097499991999939,18,0.18377170983403884,0.12334476771790538,0.013693999993847683,17,0.22175741630404558,0.10156668831818794,0.008919999992940575,16,0.19130211001359376,0.0858810181771105,0.007368499995209277
25,N,New_N_026.wav,20-19-18-17-16,5,0.44171172488141625,126x16,16x212,20,0.045942324046901975,0.3425770903226286,0.030591399990953505,19,0.16037539639603038,0.12155067364160328,0.01423079997766763,18,0.1330970394586824,0.09587881161612272,0.012182099977508187,17,0.20323279933010047,0.08313874893120515,0.011561899998923764,16,0.19391149874940336,0.05405618072434352,0.010470100009115413
26,N,New_N_027.wav,20-19-18-17-16,5,0.4090188018117434,126x16,16x212,20,0.04088602960540215,0.40519307669941723,0.027677299978677183,19,0.1777327765735794,0.15208429966536308,0.0135774000082165,18,0.1546370880607725,0.11662827170118018,0.01345590001437813,17,0.14174418607535189,0.0971555063267724,0.013014000025577843,16,0.21694893427084103,0.08528665697057153,0.011803100001998246
27,N,New_N_028.wav,20-19-18-17-16,5,0.41273331735631164,126x16,16x212,20,0.03861779856903191,0.41941478240330654,0.02850179999950342,19,0.17176855659530108,0.20190833592508117,0.011317600001348183,18,0.13875195149630284,0.1654900095341295,0.007542399980593473,17,0.12835638782065945,0.1433943637005363,0.009962600015569478,16,0.15753150188833487,0.11923421064757535,0.011671300017042086
28,N,New_N_029.wav,20-19-18-17-16,5,0.3966342708336632,126x16,16x212,20,0.045123495266432896,0.3925067670831869,0.027990800008410588,19,0.18020377778213312,0.15614322388152346,0.009364300000015646,18,0.13706367365497232,0.11806581963839818,0.007771200005663559,17,0.20241246178776628,0.10579618183932993,0.012332100013736635,16,0.1173155987742566,0.0908736564067078,0.00978739999118261
29,N,New_N_030.wav,20-19-18-17-16,5,0.42356330255208285,126x16,16x212,20,0.042712987966004604,0.3910748397533911,0.028834700002335012,19,0.18280226179108475,0.16138677755016276,0.010383300017565489,18,0.2576076845917913,0.10779631296586693,0.01183210001909174,17,0.07244083015268162,0.0939795208963713,0.009462799993343651,16,0.14551068924417124,0.08241505452140872,0.011624399980064481
30,N,New_N_031.wav,20-19-18-17-16,5,0.40280619033744014,126x16,16x212,20,0.04640911805327694,0.40000460166646734,0.03169420000631362,19,0.14875793275942195,0.1417423127900824,0.01371679999283515,18,0.18174087158137192,0.09493040994513888,0.011449300014646724,17,0.1462962470666632,0.08240768917309944,0.011289099988061935,16,0.14529933721026778,0.07634729012410837,0.01117290000547655
