indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos
804,original,MVP,New_MVP_005.wav,12-6,DeepONMF_H2,2,nndsvd,0.12952887248247918,6x212,0.018578600022010505,12,0.07544577496070339,0.2020708124332499,0.013928800006397069,6,0.06543868450668665,0.22045014120871922,0.003752000047825277
805,original,MVP,New_MVP_006.wav,12-6,DeepONMF_H2,2,nndsvd,0.13154591330720392,6x212,0.018344699987210333,12,0.07624793880049796,0.2546956190136852,0.014627500087954104,6,0.06421981224748906,0.34939938348604976,0.0028334000380709767
806,original,MVP,New_MVP_007.wav,12-6,DeepONMF_H2,2,nndsvd,0.1281121515190987,6x212,0.018824499915353954,12,0.07261253607108237,0.23678329986324798,0.014336099964566529,6,0.06656103586643827,0.2633562424847798,0.003532600007019937
807,original,MVP,New_MVP_008.wav,12-6,DeepONMF_H2,2,nndsvd,0.12948825071478465,6x212,0.018460100051015615,12,0.07510371746608738,0.19991795100529744,0.013584300060756505,6,0.06556365204515509,0.27837808913070095,0.004010300035588443
808,original,MVP,New_MVP_009.wav,12-6,DeepONMF_H2,2,nndsvd,0.12775843547768426,6x212,0.01764279999770224,12,0.07476096245835576,0.2528298019301696,0.013923000078648329,6,0.06344027361127146,0.3077739286897044,0.0029474999755620956
809,original,MVP,New_MVP_010.wav,12-6,DeepONMF_H2,2,nndsvd,0.12702826856038887,6x212,0.01846839999780059,12,0.07095109664853001,0.2707832453459727,0.014714100048877299,6,0.06389247844418772,0.28817532276196506,0.002971600042656064
810,original,MVP,New_MVP_011.wav,12-6,DeepONMF_H2,2,nndsvd,0.12333245420330209,6x212,0.017786000040359795,12,0.06767060288701561,0.2405671521150784,0.014050500001758337,6,0.06114684861196607,0.31523946161027555,0.002956200041808188
811,original,MVP,New_MVP_012.wav,12-6,DeepONMF_H2,2,nndsvd,0.13211907922835206,6x212,0.0192105999449268,12,0.07654839918776656,0.23492223666170242,0.015494899940676987,6,0.06626081474812906,0.28816575714126896,0.0029869000427424908
812,original,MVP,New_MVP_013.wav,12-6,DeepONMF_H2,2,nndsvd,0.12781606733791268,6x212,0.018822000012733042,12,0.07537583482090215,0.20218899036710192,0.014684900059364736,6,0.061286839119604135,0.20291963150210743,0.0033939999993890524
813,original,MVP,New_MVP_014.wav,12-6,DeepONMF_H2,2,nndsvd,0.12199655697263034,6x212,0.01864460005890578,12,0.06709938430012181,0.26874040610919464,0.014255299931392074,6,0.0600546411571473,0.38843312291985704,0.0032458000350743532
814,original,MVP,New_MVP_015.wav,12-6,DeepONMF_H2,2,nndsvd,0.12431474221077553,6x212,0.019944700063206255,12,0.06714912130898873,0.27922412957808207,0.014953600009903312,6,0.06381825779090058,0.3070139804275747,0.004134700051508844
815,original,MVP,New_MVP_016.wav,12-6,DeepONMF_H2,2,nndsvd,0.13162924464048298,6x212,0.018349300022237003,12,0.075958218779515,0.22216685228612604,0.01349579996895045,6,0.06890100059221795,0.20425843275899677,0.004065899993292987
816,original,MVP,New_MVP_017.wav,12-6,DeepONMF_H2,2,nndsvd,0.12576628260351522,6x212,0.017868699971586466,12,0.0711888417123954,0.23215698000303017,0.01343250006902963,6,0.06120016200132468,0.2745524321334513,0.003677799948491156
817,original,MVP,New_MVP_018.wav,12-6,DeepONMF_H2,2,nndsvd,0.12635151578466194,6x212,0.017563499975949526,12,0.07062744068002949,0.22117222543810444,0.013829699950292706,6,0.06331596702094577,0.27248367127094575,0.0029328000964596868
818,original,MVP,New_MVP_019.wav,12-6,DeepONMF_H2,2,nndsvd,0.1264970945274998,6x212,0.017830500029958785,12,0.06916565780657202,0.25501733378848696,0.013927399995736778,6,0.06599091347524909,0.2954359972472043,0.003133899997919798
819,original,MVP,New_MVP_020.wav,12-6,DeepONMF_H2,2,nndsvd,0.12524178682816436,6x212,0.018399000051431358,12,0.0714339266809977,0.24517257212687696,0.0143758999183774,6,0.061814243945258154,0.311357694529253,0.0033086000476032495
820,original,MVP,New_MVP_021.wav,12-6,DeepONMF_H2,2,nndsvd,0.13183996554129673,6x212,0.018026000005193055,12,0.08115600625604937,0.24747888011402752,0.014335099956952035,6,0.06403464140594547,0.30437468604105844,0.0029420999344438314
821,original,MVP,New_MVP_022.wav,12-6,DeepONMF_H2,2,nndsvd,0.12921977469578003,6x212,0.019857300096191466,12,0.07732906408199433,0.23763281528549607,0.015324600040912628,6,0.061757109744521366,0.3171410144644841,0.003724799957126379
822,original,MVP,New_MVP_023.wav,12-6,DeepONMF_H2,2,nndsvd,0.12616201982906008,6x212,0.01907000003848225,12,0.0683055778138361,0.24966172156968977,0.014272200060077012,6,0.06652850071566521,0.3077270320086859,0.0038548000156879425
823,original,MVP,New_MVP_024.wav,12-6,DeepONMF_H2,2,nndsvd,0.13234371745035553,6x212,0.019051300012506545,12,0.07419732138158074,0.20979783964680698,0.014112800010479987,6,0.06873387664368348,0.2471537299134591,0.004088300047442317
824,original,MVP,New_MVP_025.wav,12-6,DeepONMF_H2,2,nndsvd,0.12479150812755337,6x212,0.01748879998922348,12,0.0738890720216009,0.2592099162993113,0.013628500048071146,6,0.059436073826707604,0.29864280535116394,0.0030898000113666058
825,original,MVP,New_MVP_026.wav,12-6,DeepONMF_H2,2,nndsvd,0.12970503846464812,6x212,0.018012800021097064,12,0.07425036336295131,0.19486502931833413,0.013967100065201521,6,0.06458207707286139,0.25199137616556283,0.003321700030937791
826,original,MVP,New_MVP_027.wav,12-6,DeepONMF_H2,2,nndsvd,0.12541400242276776,6x212,0.01834830001462251,12,0.07457340404576208,0.23409326390713484,0.013946200022473931,6,0.05934938549673693,0.3249527205133815,0.003632199950516224
827,original,MVP,New_MVP_028.wav,12-6,DeepONMF_H2,2,nndsvd,0.12734489817584685,6x212,0.017687099985778332,12,0.07194457382744668,0.21113322109187072,0.013897800003178418,6,0.06392471932876773,0.21442947987070354,0.0030641999328508973
828,original,MVP,New_MVP_029.wav,12-6,DeepONMF_H2,2,nndsvd,0.12879629121767744,6x212,0.017715799971483648,12,0.0782324325211759,0.24546629025054675,0.014047699980437756,6,0.061789062079273226,0.3289907558216244,0.002933099982328713
829,original,MVP,New_MVP_030.wav,12-6,DeepONMF_H2,2,nndsvd,0.13868577384609587,6x212,0.017900299979373813,12,0.07901734411462166,0.267611451885086,0.013742599985562265,6,0.08389771028592304,0.2897163599496741,0.003379700006917119
830,original,MVP,New_MVP_031.wav,12-6,DeepONMF_H2,2,nndsvd,0.14372712575440752,6x212,0.01827270002104342,12,0.08727752080686503,0.23673908643472075,0.01408430002629757,6,0.07779582821059512,0.2796986878297236,0.0033585999626666307
831,original,MVP,New_MVP_032.wav,12-6,DeepONMF_H2,2,nndsvd,0.13623857539876735,6x212,0.018166300025768578,12,0.07951747079949718,0.2428401100615297,0.01451659994199872,6,0.07574305940817097,0.26469252034151475,0.002867799950763583
832,original,MVP,New_MVP_033.wav,12-6,DeepONMF_H2,2,nndsvd,0.14045323645736035,6x212,0.01929620001465082,12,0.0783197252368141,0.23482348284495946,0.014859999995678663,6,0.08403401375349688,0.27547272554569624,0.0036046000896021724
833,original,MVP,New_MVP_034.wav,12-6,DeepONMF_H2,2,nndsvd,0.13872320562186277,6x212,0.01782990002539009,12,0.08212271369622837,0.2476181622096222,0.014296500012278557,6,0.07519548523080377,0.28960535741730536,0.0028164999093860388
834,original,MVP,New_MVP_035.wav,12-6,DeepONMF_H2,2,nndsvd,0.14188437362062725,6x212,0.01897029997780919,12,0.08283732237922138,0.20709949609703573,0.014238900039345026,6,0.0788430066611999,0.2749026630389976,0.00381380005273968
835,original,MVP,New_MVP_036.wav,12-6,DeepONMF_H2,2,nndsvd,0.13721436454228755,6x212,0.018270800006575882,12,0.08616973434908624,0.22542335109775102,0.013999099959619343,6,0.06856895198597246,0.29293102726987896,0.003414799924939871
836,original,MVP,New_MVP_037.wav,12-6,DeepONMF_H2,2,nndsvd,0.132424719563456,6x212,0.019280700013041496,12,0.07595586345503198,0.24235322769513412,0.014999200007878244,6,0.07708030766913736,0.26885096933125946,0.003494099946692586
837,original,MVP,New_MVP_038.wav,12-6,DeepONMF_H2,2,nndsvd,0.1333343837200531,6x212,0.0203544000396505,12,0.07415832110171257,0.2550416101802307,0.016253800014965236,6,0.07835634445673031,0.30161719920163355,0.003285699989646673
838,original,MVP,New_MVP_039.wav,12-6,DeepONMF_H2,2,nndsvd,0.13815146850452042,6x212,0.019041200052015483,12,0.08147124268732014,0.24969588151786376,0.014887499972246587,6,0.07768994196035041,0.32808201354117267,0.003414000035263598
839,original,MVP,New_MVP_040.wav,12-6,DeepONMF_H2,2,nndsvd,0.13872608650960108,6x212,0.01865179999731481,12,0.08035051151971745,0.2338224166696417,0.014987300033681095,6,0.07459864634791441,0.30768910928327,0.002919799997471273
840,original,MVP,New_MVP_041.wav,12-6,DeepONMF_H2,2,nndsvd,0.13760273330037415,6x212,0.01833490002900362,12,0.08282211094839684,0.23077856850180295,0.014658399973995984,6,0.07333845600809086,0.29831991193174573,0.0028808999340981245
841,original,MVP,New_MVP_042.wav,12-6,DeepONMF_H2,2,nndsvd,0.14106593230561681,6x212,0.020366500015370548,12,0.09000009488909821,0.25582862402451684,0.014865600038319826,6,0.07189774312221345,0.3088570086862831,0.004454800044186413
842,original,MVP,New_MVP_043.wav,12-6,DeepONMF_H2,2,nndsvd,0.13686892092377612,6x212,0.018473500036634505,12,0.08154854087916114,0.2528633798766821,0.013582200044766068,6,0.07235790539238567,0.2842921507540737,0.004096799995750189
843,original,MVP,New_MVP_044.wav,12-6,DeepONMF_H2,2,nndsvd,0.1378028643213757,6x212,0.017393600079230964,12,0.08447903761934611,0.267078014303728,0.013521999935619533,6,0.07313719318869824,0.26334606713398895,0.0030370999593287706
844,original,MVP,New_MVP_045.wav,12-6,DeepONMF_H2,2,nndsvd,0.13863622958623115,6x212,0.01825039996765554,12,0.0844741016564558,0.2704085432192723,0.014534599962644279,6,0.07367656213805214,0.2888739257995684,0.002907599904574454
