indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos
254,SNR_-8db,AS,New_AS_055.wav,28-10,DeepONMF_H2,2,0.4017796043300104,10x212,0.02051449997816235,28,0.31006530019422246,0.2812149557861066,0.016006199992261827,10,0.5496468082797986,0.22746444003935887,0.0036588999209925532
255,SNR_-8db,AS,New_AS_056.wav,28-10,DeepONMF_H2,2,0.4070713339697678,10x212,0.01944190007634461,28,0.31635368660332386,0.2629861217076189,0.014688199968077242,10,0.5946952845396387,0.19913432070514,0.0038961999816820025
256,SNR_-8db,AS,New_AS_057.wav,28-10,DeepONMF_H2,2,0.4062857169511437,10x212,0.021820100024342537,28,0.31619287036809646,0.28257872741050105,0.01683680003043264,10,0.5592154567672419,0.22958848670096077,0.004020999884232879
257,SNR_-8db,AS,New_AS_058.wav,28-10,DeepONMF_H2,2,0.40744478422985636,10x212,0.02088490000460297,28,0.31785422852340145,0.27550260904936713,0.01616760005708784,10,0.5792450599713673,0.24152743024866322,0.004010799922980368
258,SNR_-8db,AS,New_AS_059.wav,28-10,DeepONMF_H2,2,0.4098715419431349,10x212,0.02126980002503842,28,0.3208573109543207,0.26744495505472843,0.016723499982617795,10,0.5695982111854702,0.20969693089162864,0.003874800051562488
259,SNR_-8db,AS,New_AS_060.wav,28-10,DeepONMF_H2,2,0.4067547953685965,10x212,0.023492900072596967,28,0.3192078381765779,0.28102112067684515,0.018244000035338104,10,0.5515681619707167,0.23056630721170765,0.004344800021499395
260,SNR_-8db,AS,New_AS_061.wav,28-10,DeepONMF_H2,2,0.41212314533215033,10x212,0.022788400063291192,28,0.32088602821646717,0.27780274028055146,0.017099800053983927,10,0.5766807100691891,0.25193731485970716,0.004916999954730272
261,SNR_-8db,AS,New_AS_062.wav,28-10,DeepONMF_H2,2,0.4097738572604039,10x212,0.02001490001566708,28,0.3161466916468132,0.2754913667974116,0.014666100032627583,10,0.567987855538182,0.22563017065189517,0.004471500054933131
262,SNR_-8db,AS,New_AS_063.wav,28-10,DeepONMF_H2,2,0.40598439331191427,10x212,0.021054400014691055,28,0.31461073888295743,0.27216130766433677,0.01616389991249889,10,0.5650739824160559,0.21994671382797637,0.003609999897889793
263,SNR_-8db,AS,New_AS_064.wav,28-10,DeepONMF_H2,2,0.4030592538764767,10x212,0.020768500049598515,28,0.3156418033941111,0.27082938102753995,0.014966199989430606,10,0.5572127045518522,0.2122686581920661,0.004445499973371625
