indice_interno,clase,archivo,distribucion,numero_capas,error_final,forma_w_final,forma_h_final,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
858,MVP,New_MVP_059.wav,15-7-6,3,0.2602547871094671,126x6,6x212,15,0.08499270457359376,0.3830366373130493,0.009126500001002569,7,0.3320418875893663,0.19859225855861823,0.00382960000570165,6,0.3191345349725936,0.16699912227600217,0.002263300004415214
859,MVP,New_MVP_060.wav,15-7-6,3,0.2733723355081432,126x6,6x212,15,0.07245708078034238,0.35284684740897077,0.009238500002538785,7,0.3732580100999438,0.18950164068668918,0.0038204000011319295,6,0.27901704504809255,0.20150910972989167,0.002279599997564219
860,MVP,New_MVP_061.wav,15-7-6,3,0.2188883311904594,126x6,6x212,15,0.06713692832471711,0.32627492705256506,0.00933439999789698,7,0.3567370214746991,0.19865229297117584,0.0036982000019634143,6,0.2429472630068938,0.15141718362044615,0.0023027999995974824
861,MVP,New_MVP_062.wav,15-7-6,3,0.23290671724800457,126x6,6x212,15,0.0629938597798588,0.3180185181697333,0.009671799998614006,7,0.3387779601367555,0.1368769990678431,0.0037694999991799705,6,0.1488700421598163,0.11472034325540648,0.0022865999999339692
862,MVP,New_MVP_063.wav,15-7-6,3,0.24409384385380112,126x6,6x212,15,0.059322336720085515,0.3296871284268196,0.009401499999512453,7,0.2947471927425633,0.12875717363811628,0.0027995999989798293,6,0.27636530350857785,0.11109675104939164,0.002330800001800526
863,MVP,New_MVP_064.wav,15-7-6,3,0.237245027625978,126x6,6x212,15,0.0460755789567271,0.3649032527549583,0.008937499995226972,7,0.32777441227381465,0.19652636280079305,0.0028059999967808835,6,0.3200125762164601,0.14573080726168922,0.0023790999985067174
864,MVP,New_MVP_065.wav,15-7-6,3,0.21551097217226345,126x6,6x212,15,0.05512481664194538,0.32898795539708625,0.008882699999958277,7,0.22815719948913776,0.20684079787675472,0.003042500000447035,6,0.2558137517574685,0.15894394483186328,0.0023205999968922697
865,MVP,New_MVP_066.wav,15-7-6,3,0.2245456056242422,126x6,6x212,15,0.06378961354217424,0.3656010806556751,0.008627399998658802,7,0.29799099712322985,0.1759482985358575,0.0032325000065611675,6,0.24684539183091542,0.16205800764019798,0.002355399999942165
866,MVP,New_MVP_067.wav,15-7-6,3,0.22323323884537707,126x6,6x212,15,0.06401984856889188,0.34141706060042365,0.009237999998731539,7,0.2581847401298956,0.13421592128502077,0.0027457999967737123,6,0.18425661476413138,0.10924665917032365,0.0023142999998526648
867,MVP,New_MVP_068.wav,15-7-6,3,0.2609940965996813,126x6,6x212,15,0.051881024162665525,0.3175458613346239,0.008711499998753425,7,0.3053576875247316,0.17838415044000427,0.0028275000004214235,6,0.29605903336157846,0.1695803484645068,0.0023614000019733794
868,MVP,New_MVP_069.wav,15-7-6,3,0.21680417358817183,126x6,6x212,15,0.05233334549413669,0.3516097573538229,0.008333600002515595,7,0.30119364811507454,0.19218948025331528,0.0038354999996954575,6,0.23250244085636118,0.18508111120846288,0.0023604999951203354
869,MVP,New_MVP_070.wav,15-7-6,3,0.2339755021833388,126x6,6x212,15,0.04717901207790939,0.3774566226015334,0.008202500001061708,7,0.24666306319234427,0.1868137141529028,0.003096299995377194,6,0.2592167829396886,0.14041216270145482,0.0024018999974941835
870,MVP,New_MVP_071.wav,15-7-6,3,0.25543347805607913,126x6,6x212,15,0.05845512524050564,0.39067270178464003,0.008432499998889398,7,0.26447966820004637,0.14769971021705214,0.002908899994508829,6,0.3871167434817182,0.15641481303778507,0.0025164000035147183
871,MVP,New_MVP_072.wav,15-7-6,3,0.22438133624075887,126x6,6x212,15,0.06057621941221733,0.33671704745089553,0.00855730000330368,7,0.319614698204701,0.1768976223095724,0.003726200004166458,6,0.284515700105276,0.160590670871433,0.003108199998678174
872,MVP,New_MVP_073.wav,15-7-6,3,0.2140053541000583,126x6,6x212,15,0.060294472756578406,0.3615240585703179,0.008628399998997338,7,0.2805044184012565,0.17892782300474477,0.0028019000019412488,6,0.18340496826455377,0.12662574116442954,0.0031696000005467795
873,MVP,New_MVP_074.wav,15-7-6,3,0.23033303837287633,126x6,6x212,15,0.05826348597756352,0.3548922253312458,0.008418099998380058,7,0.337136620863346,0.22538320027771985,0.004043400003865827,6,0.2209806697040584,0.1812690336397101,0.002460299998347182
874,MVP,New_MVP_075.wav,15-7-6,3,0.2552008603450927,126x6,6x212,15,0.06369632203437833,0.40593154026074874,0.008369700000912417,7,0.2393943073732836,0.20293237676665535,0.0036240000044927,6,0.3281826516303192,0.15958979921367447,0.00252129999716999
875,MVP,New_MVP_076.wav,15-7-6,3,0.2588519437983452,126x6,6x212,15,0.060747942761082085,0.39247551420654264,0.008732700000109617,7,0.23953722010640469,0.15021645807713416,0.003778700003749691,6,0.1978326678042366,0.11438494062814349,0.002385100000537932
876,MVP,New_MVP_077.wav,15-7-6,3,0.2554153048960801,126x6,6x212,15,0.06330400149063906,0.34138106503677484,0.008512100001098588,7,0.2630118242997951,0.2170147973650368,0.0036451999985729344,6,0.29864057054882687,0.23963558112793223,0.0027259999988018535
877,MVP,New_MVP_078.wav,15-7-6,3,0.24530429528027675,126x6,6x212,15,0.05478596859511402,0.35260654055944857,0.008657400001538917,7,0.26827955852583374,0.17411783500254083,0.0027359000014257617,6,0.27598806997589426,0.166270427807532,0.0028158999994047917
878,MVP,New_MVP_079.wav,15-7-6,3,0.1968911388897436,126x6,6x212,15,0.06166615961573771,0.3615745802665478,0.008593799997470342,7,0.30674391822373925,0.1957785454613577,0.0027704999956768006,6,0.19119008220437086,0.16349715038352888,0.0024996000065584667
879,MVP,New_MVP_080.wav,15-7-6,3,0.30116890544168673,126x6,6x212,15,0.06353071156611957,0.38733681807594905,0.008633700002974365,7,0.2637024538518301,0.13406591182313013,0.002756599998974707,6,0.3088474682398989,0.10953663132108853,0.0024076000045170076
