indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos,capa_4_rango,capa_4_error,capa_4_ortogonalidad_h,capa_4_segundos
888,original,MVP,New_MVP_089.wav,18-15-12-10,DeepONMF_H4,4,nndsvd,0.248052404583023,10x212,0.029585400014184415,18,0.07236901466635469,0.16129676156739614,0.016283300006762147,15,0.05639833035316533,0.14761321694231955,0.004837000044062734,12,0.057220492457415166,0.16004999297299236,0.0037934998981654644,10,0.056644191213500464,0.17477810105291508,0.0037085000658407807
889,original,MVP,New_MVP_090.wav,18-15-12-10,DeepONMF_H4,4,nndsvd,0.24757476981032628,10x212,0.031886400072835386,18,0.07142931530235312,0.18432963251644643,0.01794219994917512,15,0.05744519311824337,0.15710842459651128,0.005704000010155141,12,0.0579738000291172,0.15709833717558347,0.0037701999535784125,10,0.058622709710326286,0.15034423586024884,0.003560099983587861
890,original,MVP,New_MVP_091.wav,18-15-12-10,DeepONMF_H4,4,nndsvd,0.2460089067373104,10x212,0.03103079996071756,18,0.07338715382333201,0.19197987467116867,0.016720899962820113,15,0.05585167784854612,0.17862998454616238,0.006192500004544854,12,0.056615452573873196,0.17492731568019818,0.0037026999052613974,10,0.05724909396038575,0.20043735975026658,0.0033391000470146537
891,original,MVP,New_MVP_092.wav,18-15-12-10,DeepONMF_H4,4,nndsvd,0.24706151477258387,10x212,0.030576599994674325,18,0.06992274936302932,0.1688321425661018,0.016926300013437867,15,0.056586400576571716,0.15379370922205768,0.00465959997382015,12,0.056640010993263726,0.14379870394094818,0.004256599931977689,10,0.058377436448088724,0.15337612025588368,0.003335300018079579
892,original,MVP,New_MVP_093.wav,18-15-12-10,DeepONMF_H4,4,nndsvd,0.24559054187491897,10x212,0.03177150001283735,18,0.07409102971278156,0.21750839413315026,0.01742210006341338,15,0.055837064615302086,0.2188270617916046,0.005793599993921816,12,0.05640434153851828,0.22783215962791545,0.004170399974100292,10,0.05638868925706187,0.2411352699672561,0.0033408000599592924
893,original,MVP,New_MVP_094.wav,18-15-12-10,DeepONMF_H4,4,nndsvd,0.24912121430940473,10x212,0.028835900011472404,18,0.07193341107133122,0.2028325862578836,0.015952900052070618,15,0.05672266290923546,0.16420299689419693,0.00469970004633069,12,0.05738485697517042,0.1726975176986814,0.0037249999586492777,10,0.05849455756630039,0.1954106967248728,0.0035569999599829316
894,original,MVP,New_MVP_095.wav,18-15-12-10,DeepONMF_H4,4,nndsvd,0.2458481318017211,10x212,0.029619499924592674,18,0.07018289263890704,0.1963052118425153,0.016758000012487173,15,0.05699400805007613,0.1948816404001783,0.0047574000200256705,12,0.05711312842073307,0.19444048696518446,0.003738500061444938,10,0.05755054760028206,0.19746282335765758,0.003327299957163632
895,original,MVP,New_MVP_096.wav,18-15-12-10,DeepONMF_H4,4,nndsvd,0.24478802071883565,10x212,0.031072900048457086,18,0.07026011487840451,0.20268427799577646,0.01728610007558018,15,0.05622738414258215,0.18073804329496193,0.005429700016975403,12,0.05681839439970203,0.1721343374918458,0.003688100026920438,10,0.05723736497529419,0.16631735667936104,0.0034202999668195844
896,original,MVP,New_MVP_097.wav,18-15-12-10,DeepONMF_H4,4,nndsvd,0.24800764537860898,10x212,0.031987000023946166,18,0.07170998424355979,0.17950710646365392,0.017157900030724704,15,0.055847605433944236,0.17397639349550056,0.006011200021021068,12,0.056975242039548145,0.17243939848219245,0.003724000067450106,10,0.05782325767899328,0.18206747441358292,0.004172299988567829
897,original,MVP,New_MVP_098.wav,18-15-12-10,DeepONMF_H4,4,nndsvd,0.25334454111027777,10x212,0.03148000000510365,18,0.08864043204405711,0.19629086662217818,0.0165285998955369,15,0.05743669086985321,0.1780577682605077,0.006823199917562306,12,0.062289399432488464,0.19571494614173005,0.0037848999490961432,10,0.06607907213895947,0.21042831245608312,0.0032987999729812145
898,original,MVP,New_MVP_099.wav,18-15-12-10,DeepONMF_H4,4,nndsvd,0.25148299691954895,10x212,0.032102399971336126,18,0.08368751458901723,0.1913745094853513,0.017402300029061735,15,0.057727822224724036,0.17823657289657696,0.006323799956589937,12,0.05940425770164067,0.2025604671193196,0.003802899969741702,10,0.06050583194024214,0.2140987607240558,0.0032869999995455146
