distribucion,rangos,numero_capas,ronda,segundos,audios,folds,evaluaciones_esperadas
8-6,"[8, 6]",2,3,152.61503200000152,1000,5,60
8-6-3,"[8, 6, 3]",3,3,122.20504190000064,1000,5,60
9-3,"[9, 3]",2,3,124.60108390000096,1000,5,60
9-7-3,"[9, 7, 3]",3,3,129.08988229999522,1000,5,60
10-6-3,"[10, 6, 3]",3,4,126.70646320000378,1000,5,60
11-4,"[11, 4]",2,4,124.21815999999671,1000,5,60
11-8-3,"[11, 8, 3]",3,4,123.95995390000462,1000,5,60
11-8-4,"[11, 8, 4]",3,4,126.48851719999948,1000,5,60
12-3,"[12, 3]",2,4,122.54369489999954,1000,5,60
12-9-3,"[12, 9, 3]",3,4,130.49430479999864,1000,5,60
13-10-3,"[13, 10, 3]",3,4,128.32065750000038,1000,5,60
13-3,"[13, 3]",2,4,120.41898180000136,1000,5,60
5-4,"[5, 4]",2,4,119.73033759999817,1000,5,60
8-7,"[8, 7]",2,4,145.97101340000518,1000,5,60
9-6,"[9, 6]",2,4,147.51815709999937,1000,5,60
9-6-3,"[9, 6, 3]",3,4,123.81385169999704,1000,5,60
10-7,"[10, 7]",2,5,144.98633130000235,1000,5,60
11-8,"[11, 8]",2,5,188.7139444999993,1000,5,60
12-8-3,"[12, 8, 3]",3,5,123.27514920000247,1000,5,60
13-8-3,"[13, 8, 3]",3,5,129.8523253999956,1000,5,60
15-11-4,"[15, 11, 4]",3,5,126.45691510000324,1000,5,60
15-4,"[15, 4]",2,5,115.3801203999974,1000,5,60
17-13-3,"[17, 13, 3]",3,5,125.8105687999996,1000,5,60
17-3,"[17, 3]",2,5,126.99725529999704,1000,5,60
17-7,"[17, 7]",2,5,151.88152869999612,1000,5,60
9-5-4,"[9, 5, 4]",3,5,124.70216330000405,1000,5,60
9-8,"[9, 8]",2,5,189.3884384999983,1000,5,60
10-5-4,"[10, 5, 4]",3,6,125.75541169999632,1000,5,60
10-9,"[10, 9]",2,6,192.31520440000168,1000,5,60
11-6-3,"[11, 6, 3]",3,6,127.87504659999831,1000,5,60
11-9,"[11, 9]",2,6,182.84188240000367,1000,5,60
13-8,"[13, 8]",2,6,185.13204540000152,1000,5,60
16-11-4,"[16, 11, 4]",3,6,124.77089310000156,1000,5,60
16-4,"[16, 4]",2,6,123.19710810000106,1000,5,60
16-9,"[16, 9]",2,6,184.27872480000224,1000,5,60
17-10-3,"[17, 10, 3]",3,6,128.98120610000478,1000,5,60
17-8,"[17, 8]",2,6,178.48271060000116,1000,5,60
11-10,"[11, 10]",2,7,203.31169780000343,1000,5,60
11-5-4,"[11, 5, 4]",3,7,126.53133730000263,1000,5,60
14-3,"[14, 3]",2,7,126.21526390000508,1000,5,60
14-8-3,"[14, 8, 3]",3,7,148.28347239999857,1000,5,60
14-9,"[14, 9]",2,7,207.3961543999976,1000,5,60
16-10,"[16, 10]",2,7,205.2088764,1000,5,60
