distribucion,numero_capas,clasificador,representacion,fold,clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte,pareja,sentido,orden_excel,dimensiones_repetidas
32-6,2,UjaNet,DeepONMF_H2,2,PROMEDIO_MACRO,179,779,21,21,0.958,0.8949999999999999,0.97375,0.8960510438771309,0.934375,200,7,decreciente,12,False
32-6,2,UjaNet,DeepONMF_H2,3,PROMEDIO_MACRO,184,784,16,16,0.968,0.9200000000000002,0.98,0.9219763467866284,0.95,200,7,decreciente,12,False
32-6,2,UjaNet,DeepONMF_H2,4,PROMEDIO_MACRO,184,784,16,16,0.968,0.92,0.98,0.9210788334472544,0.95,200,7,decreciente,12,False
32-6,2,UjaNet,DeepONMF_H2,5,PROMEDIO_MACRO,187,787,13,13,0.974,0.935,0.98375,0.9360666704569144,0.959375,200,7,decreciente,12,False
6-32,2,UjaNet,DeepONMF_H2,1,PROMEDIO_MACRO,181,781,19,19,0.962,0.905,0.97625,0.9044318112354056,0.940625,200,7,creciente,13,False
6-32,2,UjaNet,DeepONMF_H2,2,PROMEDIO_MACRO,178,778,22,22,0.956,0.8899999999999999,0.9725,0.8954464434449442,0.93125,200,7,creciente,13,False
6-32,2,UjaNet,DeepONMF_H2,3,PROMEDIO_MACRO,182,782,18,18,0.964,0.91,0.9775,0.9150600077429344,0.94375,200,7,creciente,13,False
6-32,2,UjaNet,DeepONMF_H2,4,PROMEDIO_MACRO,183,783,17,17,0.966,0.915,0.97875,0.9182444304846183,0.946875,200,7,creciente,13,False
6-32,2,UjaNet,DeepONMF_H2,5,PROMEDIO_MACRO,185,785,15,15,0.97,0.925,0.98125,0.931589068825911,0.953125,200,7,creciente,13,False
32-14-6,3,UjaNet,DeepONMF_H3,1,PROMEDIO_MACRO,189,789,11,11,0.978,0.945,0.98625,0.9465481282270846,0.965625,200,8,decreciente,14,False
32-14-6,3,UjaNet,DeepONMF_H3,2,PROMEDIO_MACRO,186,786,14,14,0.972,0.93,0.9825,0.9299253057597088,0.95625,200,8,decreciente,14,False
32-14-6,3,UjaNet,DeepONMF_H3,3,PROMEDIO_MACRO,182,782,18,18,0.964,0.91,0.9774999999999998,0.9120081878905408,0.94375,200,8,decreciente,14,False
32-14-6,3,UjaNet,DeepONMF_H3,4,PROMEDIO_MACRO,186,786,14,14,0.972,0.93,0.9825000000000002,0.9312601718966468,0.95625,200,8,decreciente,14,False
32-14-6,3,UjaNet,DeepONMF_H3,5,PROMEDIO_MACRO,190,790,10,10,0.98,0.95,0.9875,0.9510080007164822,0.96875,200,8,decreciente,14,False
6-14-32,3,UjaNet,DeepONMF_H3,1,PROMEDIO_MACRO,189,789,11,11,0.978,0.945,0.98625,0.9458812475500536,0.965625,200,8,creciente,15,False
6-14-32,3,UjaNet,DeepONMF_H3,2,PROMEDIO_MACRO,174,774,26,26,0.948,0.8699999999999999,0.9675,0.8805096870844485,0.91875,200,8,creciente,15,False
6-14-32,3,UjaNet,DeepONMF_H3,3,PROMEDIO_MACRO,180,780,20,20,0.96,0.9,0.975,0.9036058426272782,0.9375,200,8,creciente,15,False
6-14-32,3,UjaNet,DeepONMF_H3,4,PROMEDIO_MACRO,181,781,19,19,0.962,0.905,0.97625,0.9092501536403976,0.940625,200,8,creciente,15,False
6-14-32,3,UjaNet,DeepONMF_H3,5,PROMEDIO_MACRO,186,786,14,14,0.972,0.93,0.9825000000000002,0.9315651059553496,0.9562500000000002,200,8,creciente,15,False
32-18-10-6,4,UjaNet,DeepONMF_H4,1,PROMEDIO_MACRO,192,792,8,8,0.984,0.96,0.99,0.9606097560975608,0.975,200,9,decreciente,16,False
32-18-10-6,4,UjaNet,DeepONMF_H4,2,PROMEDIO_MACRO,181,781,19,19,0.962,0.905,0.97625,0.9053164853164852,0.940625,200,9,decreciente,16,False
32-18-10-6,4,UjaNet,DeepONMF_H4,3,PROMEDIO_MACRO,181,781,19,19,0.962,0.905,0.97625,0.907508514876936,0.940625,200,9,decreciente,16,False
32-18-10-6,4,UjaNet,DeepONMF_H4,4,PROMEDIO_MACRO,184,784,16,16,0.968,0.92,0.98,0.920794250231364,0.95,200,9,decreciente,16,False
32-18-10-6,4,UjaNet,DeepONMF_H4,5,PROMEDIO_MACRO,192,792,8,8,0.984,0.96,0.99,0.9609053049526824,0.975,200,9,decreciente,16,False
6-10-18-32,4,UjaNet,DeepONMF_H4,1,PROMEDIO_MACRO,189,789,11,11,0.978,0.945,0.9862499999999998,0.9463320463320464,0.965625,200,9,creciente,17,False
6-10-18-32,4,UjaNet,DeepONMF_H4,2,PROMEDIO_MACRO,176,776,24,24,0.952,0.8799999999999999,0.97,0.8851951801260558,0.925,200,9,creciente,17,False
6-10-18-32,4,UjaNet,DeepONMF_H4,3,PROMEDIO_MACRO,179,779,21,21,0.958,0.8949999999999999,0.97375,0.9007645043128912,0.934375,200,9,creciente,17,False
6-10-18-32,4,UjaNet,DeepONMF_H4,4,PROMEDIO_MACRO,182,782,18,18,0.964,0.91,0.9775,0.911483631146472,0.94375,200,9,creciente,17,False
6-10-18-32,4,UjaNet,DeepONMF_H4,5,PROMEDIO_MACRO,181,781,19,19,0.962,0.905,0.97625,0.9084917656868876,0.940625,200,9,creciente,17,False
32-8,2,UjaNet,DeepONMF_H2,1,PROMEDIO_MACRO,195,795,5,5,0.99,0.975,0.99375,0.9758420441347272,0.984375,200,10,decreciente,18,False
32-8,2,UjaNet,DeepONMF_H2,2,PROMEDIO_MACRO,185,785,15,15,0.97,0.925,0.9812500000000002,0.92802050194415,0.953125,200,10,decreciente,18,False
32-8,2,UjaNet,DeepONMF_H2,3,PROMEDIO_MACRO,188,788,12,12,0.976,0.94,0.985,0.9415407929483816,0.9625,200,10,decreciente,18,False
32-8,2,UjaNet,DeepONMF_H2,4,PROMEDIO_MACRO,184,784,16,16,0.968,0.92,0.98,0.9229143777924266,0.95,200,10,decreciente,18,False
32-8,2,UjaNet,DeepONMF_H2,5,PROMEDIO_MACRO,190,790,10,10,0.98,0.95,0.9875,0.9506063688826324,0.96875,200,10,decreciente,18,False
8-32,2,UjaNet,DeepONMF_H2,1,PROMEDIO_MACRO,184,784,16,16,0.968,0.92,0.98,0.9240419917200102,0.95,200,10,creciente,19,False
8-32,2,UjaNet,DeepONMF_H2,2,PROMEDIO_MACRO,178,778,22,22,0.956,0.89,0.9725,0.8931618962432916,0.93125,200,10,creciente,19,False
8-32,2,UjaNet,DeepONMF_H2,3,PROMEDIO_MACRO,179,779,21,21,0.958,0.8949999999999999,0.97375,0.8987887513755375,0.934375,200,10,creciente,19,False
8-32,2,UjaNet,DeepONMF_H2,4,PROMEDIO_MACRO,187,787,13,13,0.974,0.935,0.98375,0.9364295038713644,0.959375,200,10,creciente,19,False
8-32,2,UjaNet,DeepONMF_H2,5,PROMEDIO_MACRO,189,789,11,11,0.978,0.945,0.9862499999999998,0.9457407526727168,0.965625,200,10,creciente,19,False
32-16-8,3,UjaNet,DeepONMF_H3,1,PROMEDIO_MACRO,192,792,8,8,0.984,0.96,0.99,0.9611289111005504,0.975,200,11,decreciente,20,False
32-16-8,3,UjaNet,DeepONMF_H3,2,PROMEDIO_MACRO,179,779,21,21,0.958,0.8949999999999999,0.97375,0.8982529291039928,0.934375,200,11,decreciente,20,False
32-16-8,3,UjaNet,DeepONMF_H3,3,PROMEDIO_MACRO,182,782,18,18,0.964,0.91,0.9774999999999998,0.9107892107892108,0.94375,200,11,decreciente,20,False
32-16-8,3,UjaNet,DeepONMF_H3,4,PROMEDIO_MACRO,185,785,15,15,0.97,0.925,0.98125,0.9264317261685684,0.953125,200,11,decreciente,20,False
32-16-8,3,UjaNet,DeepONMF_H3,5,PROMEDIO_MACRO,190,790,10,10,0.98,0.95,0.9875,0.9505402749305188,0.96875,200,11,decreciente,20,False
8-16-32,3,UjaNet,DeepONMF_H3,1,PROMEDIO_MACRO,187,787,13,13,0.974,0.935,0.98375,0.9360975609756098,0.959375,200,11,creciente,21,False
8-16-32,3,UjaNet,DeepONMF_H3,2,PROMEDIO_MACRO,174,774,26,26,0.948,0.8699999999999999,0.9675,0.8741451625579628,0.91875,200,11,creciente,21,False
8-16-32,3,UjaNet,DeepONMF_H3,3,PROMEDIO_MACRO,180,780,20,20,0.96,0.9,0.975,0.9033142142435736,0.9375,200,11,creciente,21,False
8-16-32,3,UjaNet,DeepONMF_H3,4,PROMEDIO_MACRO,180,780,20,20,0.96,0.9,0.975,0.9065103374271456,0.9375,200,11,creciente,21,False
8-16-32,3,UjaNet,DeepONMF_H3,5,PROMEDIO_MACRO,187,787,13,13,0.974,0.935,0.98375,0.9366751100330226,0.959375,200,11,creciente,21,False
32-20-13-8,4,UjaNet,DeepONMF_H4,1,PROMEDIO_MACRO,192,792,8,8,0.984,0.96,0.99,0.9607640982774576,0.975,200,12,decreciente,22,False
32-20-13-8,4,UjaNet,DeepONMF_H4,2,PROMEDIO_MACRO,176,776,24,24,0.952,0.8799999999999999,0.97,0.8874849119777224,0.925,200,12,decreciente,22,False
32-20-13-8,4,UjaNet,DeepONMF_H4,3,PROMEDIO_MACRO,180,780,20,20,0.96,0.9,0.975,0.9005763070778551,0.9375,200,12,decreciente,22,False
32-20-13-8,4,UjaNet,DeepONMF_H4,4,PROMEDIO_MACRO,184,784,16,16,0.968,0.92,0.98,0.9208999558999558,0.95,200,12,decreciente,22,False
32-20-13-8,4,UjaNet,DeepONMF_H4,5,PROMEDIO_MACRO,192,792,8,8,0.984,0.96,0.99,0.9604303848206288,0.975,200,12,decreciente,22,False
8-13-20-32,4,UjaNet,DeepONMF_H4,1,PROMEDIO_MACRO,183,783,17,17,0.966,0.915,0.97875,0.9187434818570864,0.946875,200,12,creciente,23,False
8-13-20-32,4,UjaNet,DeepONMF_H4,2,PROMEDIO_MACRO,178,778,22,22,0.9559999999999998,0.89,0.9725,0.8943430945529023,0.93125,200,12,creciente,23,False
8-13-20-32,4,UjaNet,DeepONMF_H4,3,PROMEDIO_MACRO,179,779,21,21,0.958,0.8949999999999999,0.97375,0.8994945767369174,0.9343749999999998,200,12,creciente,23,False
8-13-20-32,4,UjaNet,DeepONMF_H4,4,PROMEDIO_MACRO,178,778,22,22,0.956,0.89,0.9725,0.8967324816105304,0.93125,200,12,creciente,23,False
8-13-20-32,4,UjaNet,DeepONMF_H4,5,PROMEDIO_MACRO,180,780,20,20,0.96,0.9,0.975,0.9007004377736084,0.9375,200,12,creciente,23,False
32-10,2,UjaNet,DeepONMF_H2,1,PROMEDIO_MACRO,194,794,6,6,0.988,0.97,0.9925,0.9705610179294388,0.98125,200,13,decreciente,24,False
32-10,2,UjaNet,DeepONMF_H2,2,PROMEDIO_MACRO,180,780,20,20,0.96,0.9,0.975,0.9012436181591628,0.9375,200,13,decreciente,24,False
32-10,2,UjaNet,DeepONMF_H2,3,PROMEDIO_MACRO,187,787,13,13,0.974,0.935,0.98375,0.9361538461538462,0.959375,200,13,decreciente,24,False
32-10,2,UjaNet,DeepONMF_H2,4,PROMEDIO_MACRO,189,789,11,11,0.978,0.945,0.98625,0.9453210888384188,0.965625,200,13,decreciente,24,False
32-10,2,UjaNet,DeepONMF_H2,5,PROMEDIO_MACRO,192,792,8,8,0.984,0.96,0.99,0.9603287298922728,0.975,200,13,decreciente,24,False
10-32,2,UjaNet,DeepONMF_H2,1,PROMEDIO_MACRO,180,780,20,20,0.96,0.9,0.975,0.913862950058072,0.9375,200,13,creciente,25,False
10-32,2,UjaNet,DeepONMF_H2,2,PROMEDIO_MACRO,176,776,24,24,0.952,0.8800000000000001,0.97,0.8843683218101823,0.925,200,13,creciente,25,False
10-32,2,UjaNet,DeepONMF_H2,3,PROMEDIO_MACRO,177,777,23,23,0.954,0.885,0.97125,0.8909173171588733,0.928125,200,13,creciente,25,False
10-32,2,UjaNet,DeepONMF_H2,4,PROMEDIO_MACRO,176,776,24,24,0.952,0.8799999999999999,0.97,0.8851029579341004,0.925,200,13,creciente,25,False
10-32,2,UjaNet,DeepONMF_H2,5,PROMEDIO_MACRO,186,786,14,14,0.972,0.93,0.9825,0.9331731626286364,0.95625,200,13,creciente,25,False
32-18-10,3,UjaNet,DeepONMF_H3,1,PROMEDIO_MACRO,194,794,6,6,0.988,0.97,0.9925,0.9705610179294388,0.98125,200,14,decreciente,26,False
32-18-10,3,UjaNet,DeepONMF_H3,2,PROMEDIO_MACRO,181,781,19,19,0.962,0.905,0.97625,0.906213610950453,0.940625,200,14,decreciente,26,False
32-18-10,3,UjaNet,DeepONMF_H3,3,PROMEDIO_MACRO,187,787,13,13,0.974,0.935,0.98375,0.9352014652014652,0.959375,200,14,decreciente,26,False
32-18-10,3,UjaNet,DeepONMF_H3,4,PROMEDIO_MACRO,192,792,8,8,0.984,0.96,0.99,0.9612918660287082,0.975,200,14,decreciente,26,False
32-18-10,3,UjaNet,DeepONMF_H3,5,PROMEDIO_MACRO,189,789,11,11,0.978,0.945,0.98625,0.9450709324907012,0.965625,200,14,decreciente,26,False
10-18-32,3,UjaNet,DeepONMF_H3,1,PROMEDIO_MACRO,189,789,11,11,0.978,0.945,0.98625,0.9454395604395606,0.965625,200,14,creciente,27,False
10-18-32,3,UjaNet,DeepONMF_H3,2,PROMEDIO_MACRO,181,781,19,19,0.962,0.905,0.97625,0.9053057146080402,0.940625,200,14,creciente,27,False
10-18-32,3,UjaNet,DeepONMF_H3,3,PROMEDIO_MACRO,183,783,17,17,0.966,0.915,0.97875,0.9182594512889762,0.946875,200,14,creciente,27,False
10-18-32,3,UjaNet,DeepONMF_H3,4,PROMEDIO_MACRO,184,784,16,16,0.968,0.92,0.98,0.9207085709167986,0.95,200,14,creciente,27,False
10-18-32,3,UjaNet,DeepONMF_H3,5,PROMEDIO_MACRO,187,787,13,13,0.974,0.935,0.98375,0.9387806411062224,0.959375,200,14,creciente,27,False
32-22-15-10,4,UjaNet,DeepONMF_H4,1,PROMEDIO_MACRO,193,793,7,7,0.986,0.965,0.99125,0.9652439024390244,0.978125,200,15,decreciente,28,False
32-22-15-10,4,UjaNet,DeepONMF_H4,2,PROMEDIO_MACRO,178,778,22,22,0.956,0.89,0.9725,0.8963003003003003,0.93125,200,15,decreciente,28,False
32-22-15-10,4,UjaNet,DeepONMF_H4,3,PROMEDIO_MACRO,184,784,16,16,0.968,0.92,0.98,0.919883170617714,0.95,200,15,decreciente,28,False
32-22-15-10,4,UjaNet,DeepONMF_H4,4,PROMEDIO_MACRO,189,789,11,11,0.978,0.945,0.98625,0.9450915750915752,0.965625,200,15,decreciente,28,False
32-22-15-10,4,UjaNet,DeepONMF_H4,5,PROMEDIO_MACRO,186,786,14,14,0.972,0.93,0.9825,0.9306139080557684,0.95625,200,15,decreciente,28,False
10-15-22-32,4,UjaNet,DeepONMF_H4,1,PROMEDIO_MACRO,182,782,18,18,0.964,0.91,0.9775,0.910226595110316,0.94375,200,15,creciente,29,False
10-15-22-32,4,UjaNet,DeepONMF_H4,2,PROMEDIO_MACRO,176,776,24,24,0.952,0.8799999999999999,0.97,0.8861930573943164,0.925,200,15,creciente,29,False
10-15-22-32,4,UjaNet,DeepONMF_H4,3,PROMEDIO_MACRO,179,779,21,21,0.958,0.8950000000000001,0.97375,0.9051533071546716,0.934375,200,15,creciente,29,False
10-15-22-32,4,UjaNet,DeepONMF_H4,4,PROMEDIO_MACRO,185,785,15,15,0.97,0.925,0.98125,0.9258521303258146,0.953125,200,15,creciente,29,False
10-15-22-32,4,UjaNet,DeepONMF_H4,5,PROMEDIO_MACRO,187,787,13,13,0.974,0.935,0.98375,0.9353854725805946,0.959375,200,15,creciente,29,False
30-2,2,UjaNet,DeepONMF_H2,1,PROMEDIO_MACRO,193,793,7,7,0.986,0.965,0.9912500000000002,0.9658990510439894,0.978125,200,16,decreciente,30,False
30-2,2,UjaNet,DeepONMF_H2,2,PROMEDIO_MACRO,183,783,17,17,0.966,0.915,0.97875,0.9189770952761844,0.946875,200,16,decreciente,30,False
30-2,2,UjaNet,DeepONMF_H2,3,PROMEDIO_MACRO,184,784,16,16,0.968,0.92,0.98,0.921073128839496,0.95,200,16,decreciente,30,False
30-2,2,UjaNet,DeepONMF_H2,4,PROMEDIO_MACRO,187,787,13,13,0.974,0.935,0.98375,0.9365804440736524,0.959375,200,16,decreciente,30,False
30-2,2,UjaNet,DeepONMF_H2,5,PROMEDIO_MACRO,192,792,8,8,0.984,0.96,0.99,0.9606829691489512,0.975,200,16,decreciente,30,False
2-30,2,UjaNet,DeepONMF_H2,1,PROMEDIO_MACRO,189,789,11,11,0.978,0.945,0.9862499999999998,0.9452905652905654,0.965625,200,16,creciente,31,False
2-30,2,UjaNet,DeepONMF_H2,2,PROMEDIO_MACRO,179,779,21,21,0.958,0.8949999999999999,0.97375,0.8983658675411448,0.934375,200,16,creciente,31,False
